cell,transform,window,SR_IS,SR_OOS,SR_full,SR_of_SR,SR_of_SR_IS,SR_of_SR_OOS,positive_years,beta,n_years,max_dd_days,turnover_ann,OOS_minus_IS,gate_srsr,gate_posyr,gate_beta,gate_nyr,n_gates
EW3|selfz|w60,selfz,60,0.577,0.379,0.523,0.268,0.263,0.265,0.462,-0.063,26,3909,8.1,-0.19799999999999995,False,False,True,True,2
EW3|selfz|w120,selfz,120,0.702,0.484,0.638,0.509,0.527,0.437,0.731,-0.051,26,2483,5.85,-0.21799999999999997,False,True,True,True,3
EW3|selfz|w252,selfz,252,0.407,0.72,0.513,0.459,0.393,0.562,0.72,-0.056,25,3061,4.73,0.313,False,True,True,True,3
EW3|robustz|w60,robustz,60,0.584,0.058,0.45,0.302,0.327,0.22,0.654,-0.03,26,4018,7.21,-0.5259999999999999,False,True,True,True,3
EW3|robustz|w120,robustz,120,0.659,0.462,0.601,0.435,0.496,0.338,0.72,-0.058,25,2310,5.96,-0.197,False,True,True,True,3
EW3|robustz|w252,robustz,252,0.416,0.62,0.487,0.498,0.458,0.547,0.72,-0.112,25,2965,4.87,0.20400000000000001,False,True,True,True,3
EW3|bdtanh|w60,bdtanh,60,0.525,0.365,0.481,0.263,0.277,0.22,0.538,-0.061,26,3916,7.47,-0.16000000000000003,False,False,True,True,2
EW3|bdtanh|w120,bdtanh,120,0.662,0.509,0.617,0.581,0.623,0.459,0.808,-0.059,26,1460,5.48,-0.15300000000000002,False,True,True,True,3
EW3|bdtanh|w252,bdtanh,252,0.307,0.677,0.43,0.418,0.346,0.532,0.72,-0.047,25,3272,4.48,0.37000000000000005,False,True,True,True,3
EW3|rankc|w60,rankc,60,0.553,0.389,0.506,0.339,0.352,0.294,0.538,-0.059,26,3823,8.02,-0.16400000000000003,False,False,True,True,2
EW3|rankc|w120,rankc,120,0.569,0.561,0.567,0.548,0.547,0.517,0.731,-0.059,26,2482,6.18,-0.007999999999999896,False,True,True,True,3
EW3|rankc|w252,rankc,252,0.356,0.695,0.465,0.416,0.327,0.563,0.72,-0.061,25,3201,4.9,0.33899999999999997,False,True,True,True,3
EW3|signth|w60,signth,60,0.458,0.532,0.476,0.287,0.213,0.437,0.615,-0.063,26,3821,7.57,0.07400000000000001,False,False,True,True,2
EW3|signth|w120,signth,120,0.468,0.538,0.491,0.326,0.264,0.533,0.692,-0.073,26,2441,5.64,0.07,False,True,True,True,3
EW3|signth|w252,signth,252,0.204,0.616,0.344,0.296,0.206,0.462,0.615,-0.084,26,3049,4.67,0.41200000000000003,False,False,True,True,2
EW3|dev|w60,dev,60,0.558,0.508,0.543,0.421,0.392,0.454,0.654,-0.057,26,3798,6.87,-0.050000000000000044,False,True,True,True,3
EW3|dev|w120,dev,120,0.488,0.595,0.522,0.501,0.433,0.623,0.808,-0.063,26,2404,5.31,0.10699999999999998,False,True,True,True,3
EW3|dev|w252,dev,252,0.302,0.711,0.441,0.48,0.402,0.617,0.72,-0.049,25,2930,4.45,0.409,False,True,True,True,3
