transform,window,sign,SR_IS,SR_OOS,SR_full,SR_of_SR,positive_years,beta,held_pct,turnover_ann,max_dd_pct,max_dd_days
selfz,60,1,0.43,0.424,0.428,0.277,0.654,-0.054,99.35,10.85,-50.71,3892
selfz,120,1,0.522,0.606,0.545,0.494,0.692,-0.031,99.25,6.84,-28.38,1557
selfz,252,1,0.232,0.884,0.419,0.511,0.68,-0.001,99.51,5.26,-43.65,1148
robustz,60,1,0.171,0.351,0.221,0.083,0.5,-0.063,99.25,8.22,-60.53,4073
robustz,120,1,0.304,0.816,0.446,0.433,0.64,-0.076,99.23,6.14,-33.55,2381
robustz,252,1,0.211,0.849,0.391,0.47,0.6,-0.118,99.55,5.55,-44.14,1414
bdtanh,60,1,0.428,0.329,0.4,0.29,0.615,-0.052,99.68,8.75,-56.35,3924
bdtanh,120,1,0.544,0.474,0.523,0.519,0.654,-0.026,99.64,6.14,-33.86,1251
bdtanh,252,1,0.228,0.901,0.416,0.577,0.72,0.007,99.62,4.83,-45.45,1290
rankc,60,1,0.325,0.363,0.335,0.263,0.692,-0.057,99.71,9.55,-54.13,3899
rankc,120,1,0.379,0.523,0.419,0.343,0.615,-0.028,99.46,7.13,-31.08,1532
rankc,252,1,0.268,0.779,0.407,0.546,0.68,-0.006,99.49,5.44,-42.96,867
signth,60,1,0.303,0.426,0.337,0.286,0.538,-0.084,99.69,7.74,-41.51,3730
signth,120,1,0.316,0.406,0.342,0.367,0.615,-0.086,99.66,5.37,-53.55,1292
signth,252,1,0.112,0.927,0.345,0.313,0.654,-0.1,99.83,4.4,-82.22,1455
dev,60,1,0.383,0.547,0.424,0.346,0.654,-0.077,99.37,8.54,-41.76,2486
dev,120,1,0.224,0.626,0.336,0.165,0.538,-0.057,99.45,6.25,-40.5,1498
dev,252,1,0.25,0.865,0.42,0.531,0.72,0.001,99.47,5.04,-42.93,1218
