grid,cand,how,variant,SR,srsr,tilt,beta
daily macro,d:us_dxy_broad_level|selfz|w60,raw,c2c,0.2573860765382237,0.19511142457512526,-0.004058887332234591,-0.17144787961923863
daily macro,d:us_dxy_broad_level|selfz|w60,raw,day,-0.04188979109295754,0.03864023162088556,-0.004058887332234591,-0.17271705940705978
daily macro,d:us_dxy_broad_level|selfz|w60,detilt,c2c,0.26209919627529116,0.20065116610085834,-0.0003021348145412369,-0.16769113404408492
daily macro,d:us_dxy_broad_level|selfz|w60,detilt,day,-0.04066454320156337,0.04059413241983733,-0.0003021348145412369,-0.16896032468848557
daily macro,d:us_dxy_broad_level|selfz|w120,raw,c2c,0.39151498277195834,0.3821680124359924,-0.0005026736152186092,-0.2132798889720879
daily macro,d:us_dxy_broad_level|selfz|w120,raw,day,0.112048085725023,0.17949233820695407,-0.0005026736152186092,-0.20311624911001444
daily macro,d:us_dxy_broad_level|selfz|w120,detilt,c2c,0.39192725928055167,0.3827370710106151,-0.00018724061130670863,-0.2129644558510548
daily macro,d:us_dxy_broad_level|selfz|w120,detilt,day,0.11217292266928686,0.1797238838563247,-0.00018724061130670863,-0.20280081492727142
daily macro,d:us_dxy_broad_level|selfz|w252,raw,c2c,0.3466596749861029,0.4357444862257112,0.019521598893992527,-0.24425764092404811
daily macro,d:us_dxy_broad_level|selfz|w252,raw,day,0.05956826454885941,0.15504549436093418,0.019521598893992527,-0.22505133758544277
daily macro,d:us_dxy_broad_level|selfz|w252,detilt,c2c,0.32291876303914124,0.4038214815095365,-0.00015895151317074315,-0.26393818455205187
daily macro,d:us_dxy_broad_level|selfz|w252,detilt,day,0.05312597465054196,0.14416153775807394,-0.00015895151317074315,-0.24473187049060527
daily macro,d:us_dxy_broad_level|robustz|w60,raw,c2c,0.36442442162524363,0.3201015651465217,0.026322459048870452,-0.11999226590287979
daily macro,d:us_dxy_broad_level|robustz|w60,raw,day,0.02934324804751298,0.09728862995804136,0.026322459048870452,-0.13392517426345352
daily macro,d:us_dxy_broad_level|robustz|w60,detilt,c2c,0.3285895234970972,0.27754102655636326,-0.00023888270482510154,-0.1465534944817863
daily macro,d:us_dxy_broad_level|robustz|w60,detilt,day,0.019039213757671286,0.07992608741801169,-0.00023888270482510154,-0.16048636593232116
daily macro,d:us_dxy_broad_level|robustz|w120,raw,c2c,0.4024373749025812,0.4354072280675457,0.021427243644838844,-0.20259525406261644
daily macro,d:us_dxy_broad_level|robustz|w120,raw,day,0.16900713993495328,0.22563064016220077,0.021427243644838844,-0.21015113460254717
daily macro,d:us_dxy_broad_level|robustz|w120,detilt,c2c,0.3750021567118355,0.3929143283221317,-7.282316603085319e-05,-0.22409537050515718
daily macro,d:us_dxy_broad_level|robustz|w120,detilt,day,0.1606060588820316,0.2098312003040576,-7.282316603085319e-05,-0.23165121116029516
daily macro,d:us_dxy_broad_level|robustz|w252,raw,c2c,0.3143707374062695,0.4178875051832639,-0.023263926394358144,-0.29345578999232025
daily macro,d:us_dxy_broad_level|robustz|w252,raw,day,0.04568957440239748,0.15421686111196836,-0.023263926394358144,-0.2749495818183135
