frac,p,rep,sign,n_bars,SR_gross,SR_net,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,start_date,end_date,mean_abs_w,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes,passes_old
0.05,0.52,0,1,2264,0.6690942471071356,0.5329672475864583,0.056960915326252005,0.5,-3.3657249896141472,10,0.005169140995592423,0.00441696113074205,0.04858657243816254,-3.661429344444409,751,24.153710247349824,4.858657243816254,2017-05-16,2026-09-01,0.04858657243816254,0.106,False,False,True,True,True,2,False,False
0.05,0.52,1,1,2264,-0.1992633869173628,-0.30976466647986545,-0.3927388448485258,0.4,-1.4925799492139245,10,-0.002639493511754924,0.00044169611307420494,0.04372791519434629,-10.025743522248641,2192,21.48233215547703,4.372791519434629,2017-05-16,2026-09-01,0.04372791519434629,-0.06,False,False,True,True,True,2,False,False
0.05,0.52,2,1,2264,0.27266190192359185,0.1250378888622033,-0.0927059742743129,0.2,-1.5837769472842351,10,0.003160223849646384,0.001325088339222615,0.04902826855123675,-6.256478318384581,1220,24.042402826855124,4.902826855123675,2017-05-16,2026-09-01,0.04902826855123675,0.064,False,False,True,True,True,2,False,False
0.05,0.52,3,1,2264,0.05906962215838675,-0.09195135439050738,-0.3155517087662875,0.4,-2.4092294469449747,10,0.017002144020297566,0.0066254416961130744,0.05079505300353357,-6.234324342239931,2257,24.93286219081272,5.079505300353357,2017-05-16,2026-09-01,0.05079505300353357,0.335,False,False,True,False,True,1,False,False
0.05,0.52,4,1,2264,-0.27063455292309024,-0.4110496162860081,-0.37399797598644197,0.4,-1.9350397293994617,10,-0.008231516449499649,0.00044169611307420494,0.05167844522968198,-13.460041186441268,1396,25.37809187279152,5.167844522968198,2017-05-16,2026-09-01,0.05167844522968198,-0.159,False,False,True,False,True,1,False,False
0.05,0.52,5,1,2264,0.11126319344391024,0.010032792063913184,0.30031243934216123,0.6,-1.317236902605767,10,-0.027083133438159802,-0.0088339222614841,0.04946996466431095,-8.62082558135031,1015,24.265017667844525,4.946996466431095,2017-05-16,2026-09-01,0.04946996466431095,-0.547,False,False,True,False,True,1,False,False
0.05,0.52,6,1,2264,0.6533052628867447,0.5147897654901842,0.6854192718899544,0.6,-0.45953237545462644,10,-0.0007220093556802313,-0.0017667844522968198,0.04770318021201413,-3.8496010359776593,426,23.708480565371026,4.770318021201414,2017-05-16,2026-09-01,0.04770318021201413,-0.015,True,False,True,True,True,3,False,False
0.05,0.52,7,1,2264,-0.3477479573572064,-0.4866858532941734,-0.4414425730620141,0.3,-1.93843101071738,10,0.018135682244883072,0.0017667844522968198,0.05035335689045936,-12.957469237673042,2212,25.26678445229682,5.035335689045936,2017-05-16,2026-09-01,0.05035335689045936,0.36,False,False,True,False,True,1,False,False
0.05,0.52,8,1,2264,-0.2678564237735968,-0.36867278943503395,-0.23159550320996558,0.4,-1.6469199159271801,10,-0.03385841543966452,-0.00044169611307420494,0.04726148409893993,-12.600503493392857,2119,23.151943462897528,4.726148409893993,2017-05-16,2026-09-01,0.04726148409893993,-0.716,False,False,True,False,True,1,False,False
0.05,0.52,9,1,2264,0.12377396474198832,0.040825281607239,-0.11107824547709813,0.4,-1.4878704056449237,10,0.030537941353488224,-0.00265017667844523,0.044169611307420496,-14.293343036390304,2015,21.037102473498233,4.41696113074205,2017-05-16,2026-09-01,0.044169611307420496,0.691,False,False,True,False,True,1,False,False
