event,offset,hold,window,cell,sign,SR_IS,SR_OOS,full_SR_net,full_SR_of_SR,full_positive_years,full_yr_sr_min,full_n_years,full_beta,full_abs_exec_w,full_turnover_ann,full_held_pct,full_n_bars,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
CPI,-2,1,c2c,CPI|off-2|h1|c2c,1,0.2630472588130568,0.6239820029495381,0.4019704393497484,0.5229936768836835,0.7647058823529411,-1.4105717811427592,17,0.0250585465788687,0.0318196354333226,16.037096258394627,3.181963543332268,6254,0.788,False,True,True,False,True,2,False
CPI,-2,1,o2o,CPI|off-2|h1|o2o,1,0.1977568184158434,0.4710870874062923,0.3036010835217122,0.5812657736926334,0.7647058823529411,-1.0829963054908796,17,0.0209235799412904,0.0318196354333226,16.037096258394627,3.181963543332268,6254,0.658,False,True,True,False,True,2,False
CPI,-2,1,day,CPI|off-2|h1|day,1,-0.0617849348617115,-0.3873250544419532,-0.1872009484833819,-0.1729633637059317,0.3529411764705882,-1.2464961698220425,17,0.0156441575883682,0.0318145483613109,16.03453237410072,3.181454836131095,6255,0.492,False,False,True,False,True,1,False
CPI,-2,1,ongap,CPI|off-2|h1|ongap,-1,0.5414486535216265,-0.9736984159428465,-0.1704122193476971,-0.86012077172646,0.2,-2.1355748634825664,10,-0.0469122565969528,0.0485865724381625,24.48763250883392,4.858657243816254,2264,-0.966,False,False,True,False,True,1,False
CPI,-2,1,night,CPI|off-2|h1|night,1,0.1889367672389741,0.5827653100890604,0.5341519247761046,0.5308407910087994,0.7,-1.3866822801214165,10,0.0900920918945409,0.0485865724381625,24.48763250883392,4.858657243816254,2264,1.854,False,True,True,False,True,2,False
CPI,-2,2,c2c,CPI|off-2|h2|c2c,1,0.3049142230908852,0.8771253830358297,0.5278935524763297,0.7423019929866979,0.7647058823529411,-0.9722333665390942,17,0.0395711518541923,0.0636392708666453,16.037096258394627,6.363927086664535,6254,0.622,True,True,True,False,True,3,False
CPI,-2,2,o2o,CPI|off-2|h2|o2o,1,0.3231846625951838,0.4827964090490545,0.3709925878230286,0.5573834210345342,0.7647058823529411,-1.5209790415679658,17,0.0480646845788619,0.0636392708666453,16.037096258394627,6.363927086664535,6254,0.755,False,True,True,False,True,2,False
CPI,-2,2,day,CPI|off-2|h2|day,1,0.0492856843644877,-0.2366926744285223,-0.0664183473516607,-0.1083612440435172,0.5294117647058824,-1.9524026227227784,17,0.0340743462117506,0.0636290967226219,16.03453237410072,6.36290967226219,6255,0.536,False,False,True,False,True,1,False
CPI,-2,2,ongap,CPI|off-2|h2|ongap,1,-0.0621071121680704,0.4872591385913277,0.3260852692100821,0.395558687670453,0.6,-0.8096247084704307,10,0.1157323296928347,0.097173144876325,24.598939929328623,9.717314487632509,2264,1.191,False,False,True,False,True,1,False
CPI,-2,2,night,CPI|off-2|h2|night,1,0.824182850148769,0.7760044069587794,0.7428889304395926,0.8773372561921204,0.8,-0.5416728130985017,10,0.1555720292604845,0.097173144876325,24.598939929328623,9.717314487632509,2264,1.601,True,True,True,False,False,3,False
CPI,-1,1,c2c,CPI|off-1|h1|c2c,1,0.0452632733235434,0.5467762892974071,0.2448366940843637,0.3790573606200356,0.5882352941176471,-1.5304741643471966,17,0.0144996547262905,0.0318196354333226,16.037096258394627,3.181963543332268,6254,0.456,False,False,True,False,True,1,False
CPI,-1,1,o2o,CPI|off-1|h1|o2o,1,0.156391301604801,0.1915946204579207,0.1570743859523929,0.2883462071094443,0.5882352941176471,-1.457559552786935,17,0.0271376497279461,0.0318196354333226,16.037096258394627,3.181963543332268,6254,0.853,False,False,True,False,True,1,False
CPI,-1,1,day,CPI|off-1|h1|day,1,-0.0032113085646009,-0.0689363196829682,-0.0298903431528303,-0.072923897107231,0.4117647058823529,-1.9505411192722757,17,0.0184335327148234,0.0318145483613109,16.03453237410072,3.181454836131095,6255,0.579,False,False,True,False,True,1,False
CPI,-1,1,ongap,CPI|off-1|h1|ongap,1,1.3600677316786378,0.3129000141792563,0.4552008478150373,0.3888003839756314,0.7,-1.0700471802555704,10,0.0686095103144384,0.0485865724381625,24.598939929328623,4.858657243816254,2264,1.412,False,True,True,False,True,2,False
CPI,-1,1,night,CPI|off-1|h1|night,1,0.6172804929609848,0.4243405427334315,0.4167759130976403,0.6354644937788564,0.7,-0.6071721969737551,10,0.0653144187746009,0.0485865724381625,24.598939929328623,4.858657243816254,2264,1.344,True,True,True,False,True,3,False
CPI,-1,2,c2c,CPI|off-1|h2|c2c,1,0.0425453058619886,0.4251625055925962,0.1886463946010753,0.3810492425796016,0.6470588235294118,-0.9103863912013764,17,0.0386766377667697,0.0636392708666453,16.037096258394627,6.363927086664535,6254,0.608,False,False,True,False,True,1,False
