event,field,kwin,hold,shape,variant,cell,sign,SR_IS,SR_OOS,full_SR_net,full_SR_of_SR,full_positive_years,full_yr_sr_min,full_n_years,full_beta,full_mean_exec_w,full_abs_exec_w,full_turnover_ann,full_held_pct,full_max_dd_days,full_n_bars,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
CPI,cpi_all_sa,12,1,z,c2c,CPI|cpi_all_sa|k12|h1|z|c2c,-1,-0.0654048924482251,-0.2516746592231534,-0.1463230852021234,-0.0706151000924865,0.3529411764705882,-1.7591343840652789,17,0.0039437193121654,9.14009330247054e-05,0.0101956341645471,5.138599618931745,3.118004477134634,3463,6254,0.387,False,False,True,False,True,1,False
CPI,cpi_all_sa,12,1,z,o2o,CPI|cpi_all_sa|k12|h1|z|o2o,-1,-0.0994097129850908,-0.0357407265314093,-0.0594093137088468,-0.0077684822053076,0.5294117647058824,-2.0247336599742725,17,0.0007951698753345,9.14009330247054e-05,0.0101956341645471,5.138599618931745,3.118004477134634,2307,6254,0.078,False,False,True,True,True,2,False
CPI,cpi_all_sa,12,1,z,day,CPI|cpi_all_sa|k12|h1|z|day,-1,-0.1364164242226895,0.1977589493269179,0.0271332724146128,0.0208615288332035,0.4705882352941176,-1.043518579151702,17,0.0011301521805829,9.138632056538893e-05,0.0101940041670787,5.137778100207696,3.117505995203837,2307,6255,0.111,False,False,True,True,True,2,False
CPI,cpi_all_sa,12,1,z,ongap,CPI|cpi_all_sa|k12|h1|z|ongap,1,-0.0686982210356658,0.3147890668476013,0.2684212629866247,0.0452779625176345,0.4,-1.642958134552099,10,-0.0039998707693439,0.0008657970488128,0.0155084955533551,7.816281758890994,4.726148409893993,1032,2264,-0.258,False,False,True,False,True,1,False
CPI,cpi_all_sa,12,1,sgn,c2c,CPI|cpi_all_sa|k12|h1|sgn|c2c,1,-0.0356340220156025,0.0763132478701505,0.0180687498505075,-0.148110541672771,0.5294117647058824,-1.6520225305693412,17,-0.0033055437608651,0.0011192836584585,0.0113527342500799,5.721778062040294,1.135273425007995,2390,6254,-0.291,False,False,True,False,True,1,False
CPI,cpi_all_sa,12,1,sgn,o2o,CPI|cpi_all_sa|k12|h1|sgn|o2o,1,-0.0707037194777854,-0.2874689571790113,-0.1653629493877663,-0.2025116534200282,0.2941176470588235,-1.2054409030715172,17,-0.0001981725241564,0.0011192836584585,0.0113527342500799,5.721778062040294,1.135273425007995,3615,6254,-0.017,False,False,True,True,True,2,False
CPI,cpi_all_sa,12,1,sgn,day,CPI|cpi_all_sa|k12|h1|sgn|day,-1,-0.0943148050262619,0.1712302755319654,0.0389428610936804,-0.123124887392869,0.4705882352941176,-1.2816282806551509,17,0.0021332356227464,-0.001119104716227,0.0113509192645883,5.720863309352518,1.135091926458833,2390,6255,0.188,False,False,True,False,True,1,False
CPI,cpi_all_sa,12,1,sgn,ongap,CPI|cpi_all_sa|k12|h1|sgn|ongap,1,0.2659738571091933,0.2404535163965178,0.2348109420588017,0.2904375526198393,0.6,-1.1144642577677115,10,-0.0063252271041474,0.0035335689045936,0.0167844522968197,8.459363957597175,1.678445229681979,600,2264,-0.377,False,False,True,False,True,1,False
CPI,cpi_all_sa,12,3,z,c2c,CPI|cpi_all_sa|k12|h3|z|c2c,-1,-0.0420937516173542,0.0139195686657849,-0.011987396943578,-0.0079148059408879,0.5294117647058824,-1.481279956540554,17,0.0047754089222812,0.0002742027990741,0.0305869024936413,5.138599618931745,9.3540134314039,3423,6254,0.156,False,False,True,False,True,1,False
CPI,cpi_all_sa,12,3,z,o2o,CPI|cpi_all_sa|k12|h3|z|o2o,1,-0.0045195247021269,0.1258051332925545,0.0552427694579373,0.1369634315620556,0.4705882352941176,-1.6203636496044913,17,-0.0018179013426319,-0.0002742027990741,0.0305869024936413,5.138599618931745,9.3540134314039,3744,6254,-0.059,False,False,True,True,True,2,False
CPI,cpi_all_sa,12,3,z,day,CPI|cpi_all_sa|k12|h3|z|day,1,0.0878191988169919,0.3572527917090067,0.2013332915067579,0.1766289502427088,0.5882352941176471,-1.7878502874800912,17,-0.0010122487517076,-0.0002741589616961,0.0305820125012362,5.137778100207696,9.352517985611511,2498,6255,-0.033,False,False,True,True,True,2,False
CPI,cpi_all_sa,12,3,z,ongap,CPI|cpi_all_sa|k12|h3|z|ongap,-1,0.430641807043937,-0.2790676695661382,-0.2124231951153749,-0.3516659013648954,0.5,-2.097756300131263,10,0.0080804513130523,-0.0025973911464386,0.0465254866600654,7.816281758890994,14.17844522968198,978,2264,0.174,False,False,True,False,True,1,False
CPI,cpi_all_sa,12,3,sgn,c2c,CPI|cpi_all_sa|k12|h3|sgn|c2c,1,0.0750477006121811,-0.0888235406147336,-0.0043711633863798,-0.0776454456545763,0.5882352941176471,-1.578216209313762,17,-0.0029133279999625,0.0033578509753757,0.0340582027502398,5.721778062040294,3.4058202750239843,2390,6254,-0.086,False,False,True,True,True,2,False
