role,grid,series,kind,variant,freq,shift,op,op_family,window,sign_IS,is_claim,SR_IS,SR_OOS,SR_net,SR_gross,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,n_bars,start_date,end_date,SR_stub,SR_real3x,gate_srsr,gate_posyr,gate_beta,gate_nyr,n_gates,beta_per_w,gate_beta_raw,passes
candidate,G2 night,cny_usd,level,ongap,D,1,selfz,location,20,-1,0,-0.160031214617079,0.5346086824704077,0.2473164650705464,0.3885445031708011,0.1142425413972745,0.7,-1.3806259816418884,10,-0.0848019416525954,0.0418894164198159,0.5917895998766204,-6.946005812105755,611,49.28039436196008,99.46996466431096,2264,2017-05-16,2026-09-01,0.3390770828060769,-0.0350363033158493,False,True,True,True,3,-0.143,True,False
candidate,G2 night,cny_usd,level,ongap,D,1,selfz,location,40,-1,0,0.0532830248122124,0.3513265089220309,0.2143128917686961,0.3147298796213503,0.1764303812494162,0.7,-1.2328701312799475,10,0.0321877496933351,0.0586536055073484,0.5917014035096899,-5.851919973656126,461,31.890394886302463,99.51413427561836,2264,2017-05-16,2026-09-01,0.2794416365601601,0.0134911817887453,False,True,True,True,3,0.054,True,False
candidate,G2 night,cny_usd,level,ongap,D,1,selfz,location,60,-1,0,0.0753304205016478,0.3267734904695965,0.2079012282485179,0.2863089560647601,0.1738272047834883,0.6,-1.6507348564710431,10,0.0800828129659384,0.0639737956279987,0.5858139713000251,-6.687746710108389,511,24.250321435096268,99.51413427561836,2264,2017-05-16,2026-09-01,0.2586794849823799,0.051010985045982,False,False,True,True,2,0.137,True,False
candidate,G2 night,cny_usd,level,ongap,D,1,selfz,location,90,-1,0,0.0713807600897493,0.4223401765564024,0.2581365740358521,0.3157565701724351,0.1749331374462698,0.7,-2.0967596021603248,10,0.0375517213321931,0.0594861660995358,0.5989998675349072,-9.97378985093426,794,18.37840615726752,99.38162544169612,2264,2017-05-16,2026-09-01,0.2954688292466786,0.1428053114929026,False,True,True,True,3,0.063,True,False
candidate,G2 night,cny_usd,level,ongap,D,1,selfz,location,120,-1,0,0.1306121240413978,0.6674028875817688,0.422661406484586,0.4703725385866873,0.279095647901723,0.8,-1.8768682523835956,10,-0.0166203402530728,0.0609106508333139,0.6136804848099542,-10.98295380233252,794,15.455028443742068,99.42579505300353,2264,2017-05-16,2026-09-01,0.4535885504282094,0.3271604854791201,False,True,True,True,3,-0.027,True,False
candidate,G2 night,cny_usd,level,ongap,D,1,selfz,location,180,-1,0,0.4818778172718735,0.9776663996200304,0.7615229533675357,0.8014832555161503,0.6521495001125173,0.8,-1.5926089221794213,10,-0.0398238883078155,0.1092716450072827,0.6316789720796733,-9.75082037504605,557,13.94381128402858,99.33745583038868,2264,2017-05-16,2026-09-01,0.7874696001059965,0.6815186531324422,True,True,True,True,4,-0.063,True,True
candidate,G2 night,cny_usd,level,ongap,D,1,selfz,location,252,-1,0,0.6534655437140876,1.185357400970781,0.947118583317356,0.9838208102678342,0.947060896408428,0.9,-1.4818954116746,10,0.043143437340176,0.1585023903876038,0.6239768133410741,-9.244956641734731,533,12.535122374944192,99.42579505300353,2264,2017-05-16,2026-09-01,0.9709497111989998,0.8736459411723272,True,True,True,True,4,0.069,True,True
candidate,G2 night,cny_usd,level,ongap,D,1,selfz,location,378,-1,0,0.5129367086787436,1.276413078137382,0.913083439938479,0.9455812799271625,0.8339224707987896,0.9,-1.7508227950101714,10,0.0634529630242673,0.1634375530321505,0.6574474508418022,-10.527660597030003,557,11.721374904074542,99.20494699646645,2264,2017-05-16,2026-09-01,0.9342233674847084,0.8480077832205725,True,True,True,True,4,0.097,True,True
candidate,G2 night,cny_usd,level,ongap,D,1,selfz,location,504,-1,0,0.6394601526807484,1.2498350927181607,0.9687284659814178,0.9943644280367994,0.9058844636674848,0.9,-1.757413731729002,10,0.1179916339329111,0.1488556895813594,0.6735992116727627,-9.360521625493076,534,8.99679551896318,98.93992932862191,2264,2017-05-16,2026-09-01,0.9853983824765076,0.917421316929794,True,True,False,True,3,0.175,True,False
candidate,G2 night,cny_usd,level,ongap,D,1,robustz,location,20,-1,0,-0.0298717159387565,0.2322168748549229,0.1368362397768321,0.2820490054833495,0.0384327193122254,0.6,-2.1818865358852357,10,-0.0382176690224887,0.0258758371016624,0.4004767704829907,-6.4407524742380025,525,37.61665974098441,97.65901060070672,2264,2017-05-16,2026-09-01,0.2310203307482254,-0.153452446997258,False,False,True,True,2,-0.095,True,False
