panel,feature,transform,window,variant,cell,sign,SR_IS,SR_OOS,full_SR_net,full_SR_of_SR,full_positive_years,full_yr_sr_min,full_n_years,full_beta,full_mean_exec_w,full_abs_exec_w,full_turnover_ann,full_held_pct,full_max_dd_days,full_n_bars,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
monthly,put_oi_total,selfz,20,c2c,monthly|put_oi_total|selfz|w20|c2c,-1,0.0658046068083334,0.1690892549929694,0.1222123052764662,0.0728146703500315,0.5,-2.042535521456172,18,0.0168445692524112,-0.0536096660680651,0.8731665252883157,84.73861728055515,99.35245143385754,3457,4324,0.019,False,False,True,True,True,2,False
monthly,put_oi_total,selfz,20,o2o,monthly|put_oi_total|selfz|w20|o2o,-1,0.1687956451986222,0.064295515031593,0.1130243665977435,0.0624785233993943,0.5,-3.179931546853397,18,0.0033758265046333,-0.0536096660680651,0.8731665252883157,84.73861728055515,99.35245143385754,1461,4324,0.004,False,False,True,True,True,2,False
monthly,put_oi_total,selfz,20,day,monthly|put_oi_total|selfz|w20|day,-1,0.2541261825044231,-0.1439399378003403,0.0538768433015387,0.0193755077238653,0.5,-3.3449895466567026,18,-0.0051436305807929,-0.0534422726843408,0.8731196351595877,84.7235476513615,99.35260115606935,1228,4325,-0.006,False,False,True,True,True,2,False
monthly,put_oi_total,selfz,60,c2c,monthly|put_oi_total|selfz|w60|c2c,1,-0.0091155839715682,-0.3015511543637454,-0.17288382572374,-0.1802964637841376,0.3888888888888889,-1.9318716408326488,18,-0.0533583308931548,0.0046474710023023,0.8512140300210269,80.11326599736825,99.27973977695169,4266,4304,-0.063,False,False,True,True,True,2,False
monthly,put_oi_total,selfz,60,o2o,monthly|put_oi_total|selfz|w60|o2o,1,-0.0157799341610088,-0.180848466372625,-0.1070607938282315,-0.0807488535793643,0.3888888888888889,-1.933806671705696,18,-0.0335972080216842,0.0046474710023023,0.8512140300210269,80.11326599736825,99.27973977695169,4244,4304,-0.039,False,False,True,True,True,2,False
monthly,put_oi_total,selfz,60,day,monthly|put_oi_total|selfz|w60|day,-1,0.2484578587116374,-0.4071429719485588,-0.0907910367585668,-0.0967723540903694,0.6111111111111112,-2.959968146958189,18,0.0432306858388344,-0.0044792623825632,0.8511834322526073,80.0975855573589,99.27990708478514,1911,4305,0.051,False,False,True,True,True,2,False
monthly,put_oi_total,selfz,120,c2c,monthly|put_oi_total|selfz|w120|c2c,1,-0.0519881814680117,-0.3260400949432913,-0.2088406254399605,-0.1885959865798909,0.4444444444444444,-1.9020981941134196,18,-0.0994605535937693,-0.02615538179838,0.842208241344858,76.80747846392663,99.22788956481048,4266,4274,-0.118,False,False,True,True,True,2,False
monthly,put_oi_total,selfz,120,o2o,monthly|put_oi_total|selfz|w120|o2o,1,-0.0943643137374705,-0.2246016930886077,-0.1681768919252798,-0.0990882094684202,0.3888888888888889,-2.161055435884561,18,-0.0848543992490513,-0.02615538179838,0.842208241344858,76.80747846392663,99.22788956481048,4244,4274,-0.101,False,False,True,True,True,2,False
monthly,put_oi_total,selfz,120,day,monthly|put_oi_total|selfz|w120|day,-1,0.3268993802968484,-0.4326508986683219,-0.0800664097093137,-0.1075312777683093,0.6111111111111112,-2.7370564815942644,18,0.0926968668598434,0.0263557577111593,0.8422177276998487,76.79182288209779,99.2280701754386,1911,4275,0.11,False,False,True,True,True,2,False
monthly,put_oi_total,selfz,252,c2c,monthly|put_oi_total|selfz|w252|c2c,1,-0.0878507320073345,-0.3796932544644529,-0.2611363927144058,-0.2585324235467509,0.5,-1.9510053470358644,18,-0.1674194092044278,-0.0606527346726342,0.8570157646510117,72.63043130032544,99.4296577946768,2214,4208,-0.195,False,False,True,False,False,1,False
monthly,put_oi_total,selfz,252,o2o,monthly|put_oi_total|selfz|w252|o2o,-1,0.0179188306741174,0.1652189297582292,0.1043588965588596,0.0260117074451522,0.5,-2.639304665465632,18,0.1434136864303482,0.0606527346726342,0.8570157646510117,72.63043130032544,99.4296577946768,1868,4208,0.167,False,False,True,False,True,1,False
monthly,put_oi_total,selfz,252,day,monthly|put_oi_total|selfz|w252|day,-1,0.3627976281575124,-0.465242923191606,-0.0924362887084841,-0.1280754795145396,0.5555555555555556,-2.6040884346006083,18,0.1337494386766791,0.0608871754479039,0.8570610006199194,72.6150674389263,99.42979330007128,2723,4209,0.156,False,False,True,False,True,1,False
monthly,put_oi_total,robustz,20,c2c,monthly|put_oi_total|robustz|w20|c2c,-1,0.0878304364178257,-0.5428823616085537,-0.3275555120897157,-0.2763346320144135,0.3888888888888889,-3.1828824637369344,18,-0.2209875187655042,-0.2884759515332447,0.938729092107066,98.60628300829286,99.11935110081112,3616,4315,-0.235,False,False,True,False,False,1,False
monthly,put_oi_total,robustz,20,o2o,monthly|put_oi_total|robustz|w20|o2o,-1,0.0453960033957576,-0.5620510089178425,-0.3513466961488928,-0.200478567262999,0.3333333333333333,-4.184378211845511,18,-0.202933559629636,-0.2884759515332447,0.938729092107066,98.60628300829286,99.11935110081112,2689,4315,-0.216,False,False,True,False,False,1,False
monthly,put_oi_total,robustz,20,day,monthly|put_oi_total|robustz|w20|day,-1,0.3788989021320504,-0.2352996658950727,-0.0108962753390063,0.0015119240978585,0.5555555555555556,-3.776670948055033,18,-0.200042640045996,-0.2882706260317686,0.9386500790905532,98.58586832182154,99.11955514365152,1020,4316,-0.213,False,False,True,False,False,1,False
monthly,put_oi_total,robustz,60,c2c,monthly|put_oi_total|robustz|w60|c2c,1,-0.0928275025586937,0.0133695698268626,-0.026959324767169,0.0175356586904095,0.5555555555555556,-1.197058938794315,18,0.1327810837123471,0.2132926900681155,0.8588077709392178,85.50994843349707,98.76023391812866,4219,4275,0.155,False,False,True,False,True,1,False
monthly,put_oi_total,robustz,60,o2o,monthly|put_oi_total|robustz|w60|o2o,-1,-0.0348393461496342,-0.3700094647067932,-0.2409393984664093,-0.2262754048290816,0.3333333333333333,-4.121140356483023,18,-0.1408469360293081,-0.2132926900681155,0.8588077709392178,85.50994843349707,98.76023391812866,3616,4275,-0.164,False,False,True,False,True,1,False
monthly,put_oi_total,robustz,60,day,monthly|put_oi_total|robustz|w60|day,-1,0.2976961129572677,-0.6044613216139694,-0.2301703558363156,-0.1769095881235378,0.5,-3.272160236906059,18,-0.1282785989155746,-0.2131451095567273,0.8587046263661795,85.49253381107974,98.76052385406922,1911,4276,-0.149,False,False,True,True,True,2,False
monthly,put_oi_total,robustz,120,c2c,monthly|put_oi_total|robustz|w120|c2c,1,0.0042958629707205,-0.0456786086015415,-0.0273592496378752,0.0219733413817626,0.5555555555555556,-1.332695326119424,18,0.1016576864148537,0.1746591076192566,0.8381828483732987,80.21592814140253,98.69513641755636,1626,4215,0.121,False,False,True,True,True,2,False
monthly,put_oi_total,robustz,120,o2o,monthly|put_oi_total|robustz|w120|o2o,-1,-0.0722776830946908,-0.241069680482893,-0.1776205270056942,-0.1954716675636658,0.3333333333333333,-3.848700621809998,18,-0.1085525554484399,-0.1746591076192566,0.8381828483732987,80.21592814140253,98.69513641755636,3631,4215,-0.13,False,False,True,True,True,2,False
monthly,put_oi_total,robustz,120,day,monthly|put_oi_total|robustz|w120|day,-1,0.3513635864209546,-0.5381816057060798,-0.1844182051170314,-0.1403424157645957,0.5555555555555556,-2.92438614949306,18,-0.1022603847447576,-0.1745020231647141,0.8380996951722451,80.19991349200035,98.6954459203036,2723,4216,-0.122,False,False,True,True,True,2,False
monthly,put_oi_total,robustz,252,c2c,monthly|put_oi_total|robustz|w252|c2c,1,-0.05936284892344,-0.0671869503873608,-0.0637611735030263,4.598355962666392e-05,0.5294117647058824,-1.3525946171337917,17,0.066940300431667,0.1422544445236395,0.8110590268566188,71.33389114158331,99.02032819005632,1831,4083,0.083,False,False,True,True,True,2,False
monthly,put_oi_total,robustz,252,o2o,monthly|put_oi_total|robustz|w252|o2o,-1,-0.0282196641453368,-0.1268281343830771,-0.0905546514922423,-0.2034097180821903,0.4117647058823529,-3.2744539626249938,17,-0.0720481600040459,-0.1422544445236395,0.8110590268566188,71.33389114158331,99.02032819005632,2386,4083,-0.089,False,False,True,True,True,2,False
monthly,put_oi_total,robustz,252,day,monthly|put_oi_total|robustz|w252|day,-1,0.3623491767225013,-0.4623052043825393,-0.1336642742754949,-0.2057856930441981,0.5294117647058824,-2.74421555496236,17,-0.0570221262844571,-0.1419963233608463,0.8110837216062434,71.31833312024987,99.0205680705191,1565,4084,-0.07,False,False,True,True,True,2,False
monthly,put_oi_total,bdtanh,20,c2c,monthly|put_oi_total|bdtanh|w20|c2c,-1,0.103739476999763,0.3679432314128511,0.2485053936522277,0.258705008735234,0.6666666666666666,-1.499621586028249,18,0.075498922933544,0.0235344123241241,0.5915785941769351,44.87707267703088,99.35245143385754,2107,4324,0.128,False,True,True,True,True,3,False
monthly,put_oi_total,bdtanh,20,o2o,monthly|put_oi_total|bdtanh|w20|o2o,-1,0.1248777124842919,0.2563028667144856,0.1954311497584686,0.15138160484757,0.4444444444444444,-2.4382459771343674,18,0.061644949599441,0.0235344123241241,0.5915785941769351,44.87707267703088,99.35245143385754,764,4324,0.104,False,False,True,True,True,2,False
monthly,put_oi_total,bdtanh,20,day,monthly|put_oi_total|bdtanh|w20|day,-1,0.1919155187003969,-0.1164937860285154,0.0374260997793952,0.0396079348199185,0.5,-2.7313129384431902,18,0.0532236698044367,0.0236642820688008,0.5915771242263858,44.86953580488808,99.35260115606935,1462,4325,0.09,False,False,True,True,True,2,False
monthly,put_oi_total,bdtanh,60,c2c,monthly|put_oi_total|bdtanh|w60|c2c,-1,-0.0490031891935644,0.4784411007649324,0.2540314964427123,0.2293612624909863,0.6111111111111112,-1.7747623691661432,18,0.0937346552524378,0.0515280679570063,0.5859727679107998,43.76847773542767,99.27973977695169,1367,4304,0.16,False,False,True,False,True,1,False
monthly,put_oi_total,bdtanh,60,o2o,monthly|put_oi_total|bdtanh|w60|o2o,-1,-0.0150322122887214,0.3551388957208771,0.1928950051886344,0.139109822741795,0.6666666666666666,-2.742998545152031,18,0.0668430180708496,0.0515280679570063,0.5859727679107998,43.76847773542767,99.27973977695169,1275,4304,0.114,False,True,True,True,True,3,False
monthly,put_oi_total,bdtanh,60,day,monthly|put_oi_total|bdtanh|w60|day,-1,0.2876164852142278,-0.2189593971459831,0.0227724500457984,0.0360964345127004,0.5555555555555556,-2.590264226042686,18,0.0765995668893006,0.051659325941825,0.5859798807852924,43.76007046251581,99.27990708478514,1045,4305,0.131,False,False,True,True,True,2,False
monthly,put_oi_total,bdtanh,120,c2c,monthly|put_oi_total|bdtanh|w120|c2c,-1,-0.0543071213488501,0.454205860962995,0.2433448213558039,0.1926740414558089,0.5555555555555556,-1.7280186242105584,18,0.1228520435974499,0.0701000561815266,0.583075019789047,42.51854652438563,99.22788956481048,1863,4274,0.211,False,False,True,False,True,1,False
monthly,put_oi_total,bdtanh,120,o2o,monthly|put_oi_total|bdtanh|w120|o2o,-1,0.0252368454180271,0.3337896483268403,0.2020310474921202,0.1341698039849566,0.5555555555555556,-2.561510455017324,18,0.0987299399943543,0.0701000561815266,0.583075019789047,42.51854652438563,99.22788956481048,1277,4274,0.169,False,False,True,False,True,1,False
monthly,put_oi_total,bdtanh,120,day,monthly|put_oi_total|bdtanh|w120|day,-1,0.4170408400868841,-0.2956013140193718,0.0342715744481985,0.0390301801169185,0.6666666666666666,-2.390995559573498,18,0.1104955798236365,0.0702492258784249,0.5831041953424114,42.50972223883933,99.2280701754386,1911,4275,0.189,False,True,True,False,True,2,False
monthly,put_oi_total,bdtanh,252,c2c,monthly|put_oi_total|bdtanh|w252|c2c,-1,-0.0402536608528073,0.4918711573627786,0.2838907171606702,0.2158830865014728,0.4444444444444444,-1.3842128641477125,18,0.1734908725242915,0.0954582137122586,0.5925031917684269,40.65922835441507,99.4296577946768,1721,4208,0.293,False,False,True,False,False,1,False
monthly,put_oi_total,bdtanh,252,o2o,monthly|put_oi_total|bdtanh|w252|o2o,-1,0.0724228134200456,0.3797521551840496,0.2562594461681832,0.1703037730630476,0.6111111111111112,-2.131706511450217,18,0.1438933546559416,0.0954582137122586,0.5925031917684269,40.65922835441507,99.4296577946768,1692,4208,0.243,False,False,True,False,True,1,False
monthly,put_oi_total,bdtanh,252,day,monthly|put_oi_total|bdtanh|w252|day,-1,0.3999289984069443,-0.347249011772236,-0.018955984959423,-0.0191548311976828,0.6111111111111112,-2.467709859015547,18,0.1441900682624801,0.0956210411560434,0.5925479282219395,40.65028886077299,99.42979330007128,2723,4209,0.243,False,False,True,False,True,1,False
monthly,put_oi_total,rankc,20,c2c,monthly|put_oi_total|rankc|w20|c2c,-1,0.0332448342202497,-0.3575660168994659,-0.1766077668556358,-0.265223468289658,0.3888888888888889,-2.634097042615508,18,-0.1341512748704534,-0.16450046253469,0.528654024051804,45.31221091581869,95.44403330249769,3595,4324,-0.254,False,False,True,False,True,1,False
monthly,put_oi_total,rankc,20,o2o,monthly|put_oi_total|rankc|w20|o2o,-1,0.0176888695112972,-0.561480559398818,-0.2877911295125595,-0.2824663731696939,0.3333333333333333,-3.730199520393904,18,-0.1407295498561235,-0.16450046253469,0.528654024051804,45.31221091581869,95.44403330249769,2689,4324,-0.266,False,False,True,False,True,1,False
monthly,put_oi_total,rankc,20,day,monthly|put_oi_total|rankc|w20|day,-1,0.2606439837384974,-0.3797643147517685,-0.055434765037626,-0.0919452958172473,0.5,-3.612489637878411,18,-0.1326416211013809,-0.1644161849710982,0.5285780346820809,45.30756069364162,95.44508670520231,1897,4325,-0.251,False,False,True,False,True,1,False
monthly,put_oi_total,rankc,60,c2c,monthly|put_oi_total|rankc|w60|c2c,-1,-0.0613999214770944,0.1152853461438977,0.039792789809592,0.0032726881369401,0.4444444444444444,-2.593547097380416,18,-0.0173587733699379,-0.0522227385377943,0.5129104708798017,43.0460966542751,98.69888475836431,3616,4304,-0.034,False,False,True,True,True,2,False
monthly,put_oi_total,rankc,60,o2o,monthly|put_oi_total|rankc|w60|o2o,-1,-0.0390758609374686,-0.0809853333180583,-0.0628133426092389,-0.0816718072419975,0.4444444444444444,-3.894768955329109,18,-0.0389928515946508,-0.0522227385377943,0.5129104708798017,43.0460966542751,98.69888475836431,2843,4304,-0.076,False,False,True,True,True,2,False
monthly,put_oi_total,rankc,60,day,monthly|put_oi_total|rankc|w60|day,-1,0.4143446816884144,-0.3946635452086082,-0.0135993953292035,-0.0239446340742796,0.6111111111111112,-3.350585480100364,18,-0.0192306491554957,-0.0520789779326364,0.5129229578010066,43.038048780487806,98.69918699186992,1911,4305,-0.037,False,False,True,True,True,2,False
monthly,put_oi_total,rankc,120,c2c,monthly|put_oi_total|rankc|w120|c2c,-1,0.0130256919014117,0.1716452351459703,0.1073460040178206,0.055498749145259,0.5,-2.519063435108873,18,0.0516572111477538,-0.0035524879114022,0.5124668538449539,41.33373888628919,99.18109499298082,3616,4274,0.101,False,False,True,True,True,2,False
monthly,put_oi_total,rankc,120,o2o,monthly|put_oi_total|rankc|w120|o2o,-1,0.1042374992644185,0.005275404346533,0.0459444807109701,-0.0084527701057317,0.3888888888888889,-3.5637952961916683,18,0.0291681557127731,-0.0035524879114022,0.5124668538449539,41.33373888628919,99.18109499298082,3083,4274,0.057,False,False,True,True,True,2,False
monthly,put_oi_total,rankc,120,day,monthly|put_oi_total|rankc|w120|day,-1,0.4359500691159527,-0.4512612488575403,-0.050512953010862,-0.0499539075793954,0.6111111111111112,-3.0590924781131497,18,0.0452052817302882,-0.0033684210526315,0.5125302144249513,41.32505263157894,99.1812865497076,1911,4275,0.088,False,False,True,True,True,2,False
monthly,put_oi_total,rankc,252,c2c,monthly|put_oi_total|rankc|w252|c2c,-1,0.0021627377254486,0.2283679906577379,0.1411527023993343,0.105046034396848,0.5,-1.877926649771776,18,0.1159936249376315,0.0398636007001026,0.5255824129398273,39.21958174904943,99.0731939163498,1983,4208,0.221,False,False,True,False,True,1,False
monthly,put_oi_total,rankc,252,o2o,monthly|put_oi_total|rankc|w252|o2o,-1,0.1093767272035902,0.0841993419406368,0.0933198043038875,0.0575615158402612,0.4444444444444444,-2.8803716202169376,18,0.0829453173732089,0.0398636007001026,0.5255824129398273,39.21958174904943,99.0731939163498,1865,4208,0.158,False,False,True,False,True,1,False
monthly,put_oi_total,rankc,252,day,monthly|put_oi_total|rankc|w252|day,-1,0.3889838237956106,-0.4858443355060491,-0.1109392458944843,-0.0976694433134602,0.6666666666666666,-3.0482348541584487,18,0.0931510851452865,0.0400634317241587,0.5256668439134583,39.21073889284865,99.07341411261582,2723,4209,0.177,False,True,True,False,True,2,False
