signal,variant,enabled,rec,sign,n_bars,SR_gross,SR_net,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,start_date,end_date,mean_abs_w,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes,passes_old
lt_top10_bsdiff_selftanh_w15,c2c,True,True,1,4276,0.8454393784300659,0.7551207712739073,0.7351162770835948,0.7222222222222222,-1.3645894928565232,18,-0.0667942717203461,-0.002533500352679174,0.6707670028290651,-24.72478743660167,400,73.48047484106519,99.555659494855,2009-04-03,2026-09-01,0.6707670028290651,-0.1,True,True,True,True,True,4,True,True
lt_top10npct_signth_w60,day,True,True,1,4283,0.8309643168444083,0.7425577173075938,0.5430141340061493,0.7777777777777778,-1.51807914094123,18,-0.09867207153933318,-0.005243141695501156,0.6161036510374751,-16.763586559176424,819,49.42272055797749,98.69250525332711,2009-03-25,2026-09-01,0.6161036510374751,-0.16,False,True,True,False,True,2,False,False
month_turn_drift_d5_d10,c2c,True,True,1,6254,0.6812185741225512,0.656669734330116,0.8046238897341524,0.6923076923076923,-1.147503208657419,26,0.7293631795156196,0.7265749920051168,0.7265749920051168,-75.51588609574956,743,22.927406459865686,72.65749920051168,2001-04-11,2026-09-01,0.7265749920051168,1.004,True,True,True,False,False,3,False,False
nfci_loose_drift_d3_12,c2c,True,True,1,6254,0.6819497155270339,0.6740493633601281,0.8531330958485664,0.75,-0.7035948887886398,24,0.15338515944328515,0.19059801726894787,0.19059801726894787,-19.138060654387377,550,3.586184841701311,19.059801726894786,2001-04-11,2026-09-01,0.19059801726894787,0.805,True,True,True,False,False,3,False,False
opt_call_all_oi_signth_w20,c2c,False,False,1,6015,0.11591189298136634,0.019374631631882997,0.1354072982737848,0.44,-2.4042286901225287,25,-0.07053129621668137,-0.0031463883382187178,0.5850868954260905,-68.40000987322836,4434,87.62675958159718,97.3732335827099,2002-04-04,2026-09-01,0.5850868954260905,-0.121,False,False,True,True,True,2,False,False
opt_call_all_oi_signth_w20,o2o,False,False,1,6015,0.2611797901897874,0.1651846111823271,0.220510101725337,0.56,-1.9269406723185785,25,-0.04382604896547922,-0.0031463883382187178,0.5850868954260905,-59.697681054384944,1694,87.62675958159718,97.3732335827099,2002-04-04,2026-09-01,0.5850868954260905,-0.075,False,False,True,True,True,2,False,False
opt_call_all_oi_signth_w20,day,False,False,1,6016,0.21950169932609545,0.09002472208848196,0.15268713019009497,0.64,-2.816938313978786,25,-0.050393186884862065,-0.0030164856257436225,0.585119019999642,-36.702387421676974,3142,87.65274555257454,97.37367021276596,2002-04-03,2026-09-01,0.585119019999642,-0.086,False,False,True,True,True,2,False,False
opt_call_all_oi_signth_w20,night,False,False,1,2264,-0.16144832383405797,-0.36471634411239523,-0.40401552463286144,0.3,-1.271198835665938,10,-0.030611306489596778,0.013807416244666727,0.5603445442642188,-52.19572020369827,2079,142.09037046697347,95.8922261484099,2017-05-16,2026-09-01,0.5603445442642188,-0.055,False,False,True,True,True,2,False,False
opt_call_all_oi_signth_w20,ongap,False,False,1,2264,-0.1880184922418523,-0.551080233334245,-0.5141115065865156,0.3,-3.5277620935111105,10,-0.09405109242934308,0.013807416244666727,0.5603445442642188,-27.69236311268501,1614,142.09037046697347,95.8922261484099,2017-05-16,2026-09-01,0.5603445442642188,-0.168,False,False,True,False,True,1,False,False
opt_put_mo_oi_selftanh_w60,o2o,False,True,1,5986,0.11323476610125598,0.05864779980343098,0.035147350784705274,0.6,-2.826228574553181,25,0.08244841665252997,0.031731736315427694,0.6384155008246609,-80.90496740571666,4101,41.42465721579718,99.61577013030404,2002-05-17,2026-09-01,0.6384155008246609,0.129,False,False,True,True,True,2,False,False
tv_taiex_over_spy_chg_ratio_n60_pctw120,c2c,True,True,1,5954,0.4925235112586649,0.42281512286709805,0.5510082659447881,0.68,-1.2035154004182325,25,-0.0122621322589312,0.009242878676224628,0.4352545882372015,-35.14810762173728,1688,44.1685080453569,98.70675176352032,2002-04-11,2026-09-01,0.4352545882372015,-0.028,False,True,True,True,True,3,False,False
us_log_ratio_pct_chg_w120,c2c,True,False,1,6072,0.4253999267767017,0.39970798031138216,0.5705326276294304,0.76,-1.4071246813169156,25,-0.10292199351817871,0.04539141748933194,0.6533706567825086,-58.95335429370295,1859,21.7105213242911,99.50592885375494,2002-01-03,2026-09-01,0.6533706567825086,-0.158,False,True,True,False,True,2,False,False
us_log_ratio_pct_chg_w120,o2o,True,False,1,6072,0.46632991438203086,0.440624526322602,0.6373557673954029,0.84,-1.3673653121384286,25,-0.07520762700777138,0.04539141748933194,0.6533706567825086,-59.210739253482814,1870,21.7105213242911,99.50592885375494,2002-01-03,2026-09-01,0.6533706567825086,-0.115,True,True,True,True,True,4,True,True
us_log_ratio_pct_chg_w120,day,True,False,1,6072,0.2651182482148485,0.231522185839874,0.620531379057412,0.72,-1.5250860057827818,25,-0.09721786735141327,0.04539141748933194,0.6533706567825086,-52.37866094563982,3022,21.7105213242911,99.50592885375494,2002-01-02,2026-08-31,0.6533706567825086,-0.149,True,True,True,True,True,4,True,True
us_log_ratio_pct_chg_w120,night,True,False,1,2263,-0.09827282658220043,-0.13431143119451558,-0.24809988401707306,0.4,-2.391350705754911,10,-0.04253988842140974,0.023580213934643723,0.6768915413728692,-38.2004508111215,1344,24.592506685206953,99.69067609368095,2017-05-16,2026-08-31,0.6768915413728692,-0.063,False,False,True,True,True,2,False,False
us_log_ratio_pct_chg_w120,ongap,True,False,1,2263,0.814597278536346,0.7514924893873359,0.4037218660121476,0.8,-2.0284321881879053,10,-0.1533695388428734,0.023580213934643723,0.6768915413728692,-6.7140011683628265,813,24.592506685206953,99.69067609368095,2017-05-16,2026-08-31,0.6768915413728692,-0.227,False,True,True,False,False,2,False,False
us_sox_agree_amp_n20_robustw20,c2c,True,False,1,5786,0.4304947670963598,0.33365811771609555,0.4015897420183881,0.6153846153846154,-2.268052776053034,26,-0.01492559936794714,0.010665020548011342,0.38060673550285085,-42.42523358834028,1682,50.79074230653983,98.34082267542344,2001-09-11,2026-09-01,0.38060673550285085,-0.039,False,False,True,True,True,2,False,False
us_sox_agree_amp_n20_robustw20,o2o,True,False,1,5786,0.45256739020062253,0.35734408571380283,0.5823408939035587,0.7692307692307693,-1.8894012154612951,26,-0.02732404787277155,0.010665020548011342,0.38060673550285085,-30.548190227427106,1590,50.79074230653983,98.34082267542344,2001-09-11,2026-09-01,0.38060673550285085,-0.072,False,True,True,True,True,3,False,False
us_sox_agree_amp_n20_robustw20,day,True,False,1,5786,0.2897965309494274,0.16361734445109224,0.3711399951359496,0.5769230769230769,-1.917385094889173,26,-0.021866303894297896,0.010665020548011342,0.38060673550285085,-36.27447829581645,4383,50.79074230653983,98.34082267542344,2001-09-10,2026-08-31,0.38060673550285085,-0.057,False,False,True,True,True,2,False,False
us_sox_agree_amp_n20_robustw20,night,True,False,1,2144,0.31259668649092376,0.19740528023615442,0.14944389081284803,0.5,-1.0581387761758987,10,-0.03471116084283022,0.018504628440819463,0.3913498848448065,-16.593275616054555,1189,51.671441910988065,98.64738805970148,2017-05-16,2026-08-31,0.3913498848448065,-0.089,False,False,True,True,True,2,False,False
us_sox_agree_amp_n20_robustw20,ongap,True,False,1,2144,-0.05996439110550297,-0.24457208574764944,-0.45704493141407293,0.4,-1.846740486455997,10,-0.07124540046593514,0.018504628440819463,0.3913498848448065,-10.93811655688174,1968,51.671441910988065,98.64738805970148,2017-05-16,2026-08-31,0.3913498848448065,-0.182,False,False,True,False,True,1,False,False
us_sox_spy_ret_product_n5_pctw20,c2c,True,False,1,6167,0.3487438833063889,0.2107431283566653,0.2643433353717302,0.6923076923076923,-2.139218032247475,26,0.0649789703127357,0.008962164811764591,0.37713665437469884,-53.456576752855,3266,83.77993081336943,96.83800875628344,2001-08-15,2026-09-01,0.37713665437469884,0.172,False,True,True,False,True,2,False,False
us_sox_spy_ret_product_n5_pctw20,o2o,True,False,1,6167,0.23244403636461067,0.1012129582669765,0.2069919818563912,0.5384615384615384,-1.7657402441160823,26,0.07616289208929489,0.008962164811764591,0.37713665437469884,-87.17242334576152,6095,83.77993081336943,96.83800875628344,2001-08-15,2026-09-01,0.37713665437469884,0.202,False,False,True,False,True,1,False,False
us_sox_spy_ret_product_n5_pctw20,day,True,False,1,6167,0.10497426565845229,-0.07017790797770793,0.0683203595878496,0.46153846153846156,-2.1520223818707467,26,0.05233328517737878,0.008962164811764591,0.37713665437469884,-85.50015973010169,6129,83.77993081336943,96.83800875628344,2001-08-14,2026-08-31,0.37713665437469884,0.139,False,False,True,True,True,2,False,False
us_sox_spy_ret_product_n5_pctw20,night,True,False,1,2263,0.5599489793213573,0.42021331788563737,0.2898871978488792,0.7,-2.8038113806450617,10,0.12018503968230615,0.005754440147385498,0.37026342735537177,-24.655969186347626,1525,81.21997607304476,96.81838267786125,2017-05-16,2026-08-31,0.37026342735537177,0.325,False,True,True,False,True,2,False,False
us_sox_spy_ret_product_n5_pctw20,ongap,True,False,1,2263,0.16546927134172187,-0.11494868495569271,-0.334859110549322,0.3,-2.6101279415060685,10,0.05416840895463092,0.005754440147385498,0.37026342735537177,-13.865671126550538,2257,81.21997607304476,96.81838267786125,2017-05-16,2026-08-31,0.37026342735537177,0.146,False,False,True,True,True,2,False,False
us_sox_spy_rollcorr_w60_rz_w120,c2c,True,False,1,6054,0.14957020057257403,0.12933280607036862,0.24539533589384266,0.56,-1.4883464372643647,25,0.07219999070217265,0.022145041085521875,0.5851966728724081,-58.92622912734635,4353,14.37082789463815,99.28972580112323,2002-01-29,2026-09-01,0.5851966728724081,0.123,False,False,True,True,True,2,False,False
us_sox_spy_rollcorr_w60_rz_w120,o2o,True,False,1,6054,0.1697867906923429,0.15016754730089002,0.3240521581106529,0.68,-1.1656515125070837,25,0.09437396853195744,0.022145041085521875,0.5851966728724081,-47.28582384858476,1838,14.37082789463815,99.28972580112323,2002-01-29,2026-09-01,0.5851966728724081,0.161,False,True,True,False,True,2,False,False
us_sox_spy_rollcorr_w60_rz_w120,day,True,False,1,6055,0.18872997975259304,0.16233711711286275,0.14135046048138042,0.48,-1.444719709234314,25,0.08576245489568907,0.022018326039481072,0.5852230837542941,-31.878034190592974,1337,14.375268151756758,99.289843104872,2002-01-28,2026-09-01,0.5852230837542941,0.147,False,False,True,True,True,2,False,False
us_sox_spy_rollcorr_w60_rz_w120,night,True,False,1,2264,0.29867858932904046,0.2798962757414313,0.37484560176822523,0.8,-1.6561174962881704,10,0.07780838101238363,0.04285676782913001,0.5970563967991019,-22.011032504443804,1625,12.533289003254726,99.16077738515902,2017-05-16,2026-09-01,0.5970563967991019,0.13,False,True,True,True,True,3,False,False
