signal,sign,n_bars,start_date,end_date,cum_gross_pct,cum_net_pct,ann_ret_gross_pct,ann_ret_net_pct,SR_gross,SR_net,sortino,calmar,max_dd_pct,max_dd_days,beta,mean_abs_w,beta_per_w,alpha_ann_pct,corr_bh,info_ratio,win_rate,profit_factor,win_loss_ratio,best_day_pct,worst_day_pct,ret_skew,ret_kurt,downside_dev_pct,yr_sr_min,yr_sr_max,yr_sr_mean,yr_sr_std,SR_of_SR,positive_years,n_years,held_pct,turnover_avg,turnover_ann,n_trades,tcost_pct_of_gross,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes,passes_old
lt_top10_bsdiff_selftanh_w15,1,4276,2009-04-03,2026-09-01,195.297,188.274,11.51,11.096,0.845,0.815,1.041,0.452,-24.55,390,-0.067,0.6708,-0.1,12.369,-0.093,0.832,0.516,1.175,1.102,6.496,-8.828,-0.494,12.729,10.662,-1.274,2.283,0.86,1.068,0.805,0.722,18,99.56,0.29159,73.48,4276,3.6,True,True,True,True,True,4,True,True
nfci_loose_drift_d3_12,1,6254,2001-04-11,2026-09-01,149.25,148.675,6.014,5.991,0.682,0.679,0.4,0.314,-19.1,550,0.153,0.1906,0.805,3.551,0.391,0.661,0.556,1.33,1.045,7.067,-6.333,0.314,38.111,14.967,-0.699,3.176,0.889,1.033,0.86,0.75,24,19.06,0.01423,3.59,89,0.39,True,True,True,False,False,3,False,False
month_turn_drift_d5_d10,1,6254,2001-04-11,2026-09-01,324.649,320.825,13.081,12.927,0.681,0.673,0.747,0.172,-75.01,705,0.729,0.7266,1.004,1.327,0.854,0.473,0.541,1.159,0.969,9.87,-10.023,-0.287,9.085,17.304,-1.136,2.508,0.867,1.055,0.822,0.692,26,72.66,0.09098,22.93,569,1.18,True,True,True,False,False,3,False,False
lt_top10npct_signth_w60,1,4282,2009-03-26,2026-09-01,146.742,142.003,8.636,8.357,0.631,0.611,0.775,0.323,-25.91,701,-0.079,0.6161,-0.128,9.872,-0.109,0.65,0.507,1.139,1.102,8.503,-8.707,0.04,14.264,10.778,-0.529,2.189,0.693,0.87,0.797,0.722,18,98.69,0.19617,49.43,3226,3.23,True,True,True,True,True,4,True,True
tv_taiex_over_spy_chg_ratio_n60_pctw120,1,5954,2002-04-11,2026-09-01,149.504,142.576,6.328,6.034,0.493,0.47,0.562,0.18,-33.57,1522,-0.012,0.4353,-0.028,6.226,-0.021,0.475,0.508,1.123,1.085,9.394,-9.641,0.223,19.316,10.737,-1.056,2.37,0.526,0.838,0.627,0.76,25,98.71,0.17527,44.17,4611,4.63,True,True,True,True,True,4,True,True
us_log_ratio_pct_chg_w120,1,6072,2002-01-03,2026-09-01,169.433,166.061,7.032,6.892,0.425,0.417,0.537,0.117,-58.71,1671,-0.103,0.6534,-0.158,8.532,-0.136,0.454,0.511,1.091,1.044,8.559,-9.015,0.282,9.863,12.836,-1.399,2.24,0.521,0.872,0.598,0.76,25,99.51,0.08615,21.71,6072,1.99,False,True,True,False,True,2,False,False
us_sox_agree_amp_n20_robustw20,1,5786,2001-09-11,2026-09-01,104.17,96.478,4.537,4.202,0.43,0.399,0.494,0.105,-40.01,1595,-0.015,0.3806,-0.039,4.425,-0.032,0.407,0.507,1.098,1.068,8.473,-6.049,0.579,20.251,8.511,-2.193,2.559,0.493,1.034,0.477,0.692,26,98.34,0.20155,50.79,6062,7.38,False,True,True,True,True,3,False,False
us_sox_spy_ret_product_n5_pctw20,1,6167,2001-08-15,2026-09-01,107.055,93.198,4.375,3.808,0.349,0.304,0.359,0.079,-48.1,2333,0.065,0.3771,0.172,2.718,0.116,0.245,0.503,1.081,1.07,9.87,-6.842,0.406,21.609,10.613,-2.048,3.115,0.432,1.179,0.366,0.731,26,96.84,0.33246,83.78,6167,12.94,False,True,True,False,True,2,False,False
us_sox_spy_rollcorr_w60_rz_w120,1,6054,2002-01-29,2026-09-01,52.585,50.256,2.189,2.092,0.15,0.143,0.173,0.037,-56.28,4107,0.072,0.5852,0.123,0.966,0.108,0.074,0.511,1.031,0.985,7.384,-9.802,-0.208,13.692,12.058,-1.47,1.675,0.215,0.811,0.265,0.56,25,99.29,0.05703,14.37,6054,4.43,False,False,True,True,True,2,False,False
opt_call_all_oi_signth_w20,1,6015,2002-04-04,2026-09-01,42.017,30.226,1.76,1.266,0.116,0.083,0.1,0.019,-66.56,3937,-0.071,0.5851,-0.121,2.361,-0.101,0.141,0.499,1.019,1.019,8.767,-8.264,-0.245,10.459,12.662,-2.365,2.126,0.229,1.095,0.209,0.52,25,97.37,0.34773,87.63,4530,28.06,False,False,True,True,True,2,False,False
opt_put_mo_oi_selftanh_w60,1,5986,2002-05-17,2026-09-01,33.97,27.589,1.43,1.161,0.096,0.078,0.097,0.016,-73.44,4764,0.106,0.6384,0.166,-0.523,0.155,-0.042,0.509,1.016,0.981,6.243,-7.218,-0.291,8.888,11.925,-2.102,1.644,0.104,1.023,0.101,0.56,25,99.62,0.16438,41.42,5986,18.78,False,False,True,False,True,1,False,False
