key,basket,variant,SR_OOS,beta_OOS,SR_alpha,SR_alpha_OOS1,SR_alpha_OOS2
monthly|callEW|c2c,callEW,c2c,0.35250781488793126,0.17681931143812749,-0.4034124082974155,-0.8206413816485983,-0.061176595401925604
monthly|combEW|c2c,combEW,c2c,0.30293501877454926,0.010888277780109472,0.21142523214465647,0.44025415596698275,-0.012685743036926605
monthly|putEW|c2c,putEW,c2c,0.441332363916469,0.15521173549018383,-0.2677541347971777,-0.0455971498302705,-0.47518535201559114
monthly|allEW|c2c,allEW,c2c,0.49455283964664054,0.11060391348036756,-0.22359263322801165,-0.2167690935210843,-0.2307649596333527
monthly|callEW|o2o,callEW,o2o,0.3510186919965339,0.15797491963898785,-0.3756488759439197,-0.6916764738053617,-0.08282886639201345
monthly|combEW|o2o,combEW,o2o,0.11411488487296034,0.009096025039657897,0.03487487999972042,0.29473069207752506,-0.21802354486966144
monthly|putEW|o2o,putEW,o2o,0.5020177738956174,0.07823146713541881,-0.023506619191162127,-0.10340005114608379,0.04137930144001343
monthly|allEW|o2o,allEW,o2o,0.4782534180879922,0.07916967780575758,-0.16510102709185778,-0.2605208114901616,-0.07121051545816146
monthly|callEW|day,callEW,day,-0.02648093803860475,0.1426413481706505,-0.18012445238686484,0.2703700571135027,-0.6344860006503763
monthly|combEW|day,combEW,day,0.14684057455027177,0.01086058519930244,0.13280083307485005,0.18548257136314117,0.07112457994628604
monthly|putEW|day,putEW,day,-0.2970013343526031,0.06459467339276992,-0.43630999025222367,-0.4005545214911824,-0.4719534967228111
monthly|allEW|day,allEW,day,0.0008855577953669939,0.07048307965021623,-0.11941561787250135,0.16981475199899773,-0.4582852113704229
all|callEW|c2c,callEW,c2c,0.4079201625013091,0.14062014721315963,-0.28561979265410853,-0.8661090284724662,0.22691787932289034
all|combEW|c2c,combEW,c2c,0.445632558066114,0.018876358337867685,0.27770736039474975,0.5578784051799481,0.04468201114471317
all|putEW|c2c,putEW,c2c,0.3805741175295713,0.04601506949006301,0.04229878851703785,0.12624384714881814,-0.02496658908594333
all|allEW|c2c,allEW,c2c,0.7109233754041251,0.06468132144657304,0.07086181216982668,-0.12467879381935494,0.24752731631086958
all|callEW|o2o,callEW,o2o,0.7229208049077256,0.039125125718352805,0.3863977593247393,0.05272743771308711,0.7440917582897569
all|combEW|o2o,combEW,o2o,0.5601135818251819,0.0006939861242525609,0.554169724545109,0.6991364042773035,0.4021621494632241
all|putEW|o2o,putEW,o2o,-0.0011914632920184676,0.027517021628017776,-0.1478246245367327,-0.23804249787356507,-0.07014415541508079
all|allEW|o2o,allEW,o2o,0.5570090134313008,0.02076873328234863,0.34881743075622595,0.2623120590118631,0.4444124198342691
all|callEW|day,callEW,day,-0.02767308621183793,0.1285116178848217,-0.14656715439318888,0.30971754752141706,-0.6134685093215079
all|combEW|day,combEW,day,0.33590723555086555,-0.0007916832754107977,0.3370278557131122,0.6308586701744324,0.016070365491298703
all|putEW|day,putEW,day,-0.370483089484397,-0.056518662986383306,-0.32428274715273897,0.13331301646766475,-0.8594878548272066
all|allEW|day,allEW,day,0.07792572727811056,0.02184618135289739,0.034505875826986,0.7345347850971773,-0.7977423243199242
