key,panel,basket,variant,n_members,SR_OOS_all,SR_OOS1,SR_OOS2
monthly|callEW|c2c,monthly,callEW,c2c,9,0.35250781488793126,0.059085803249276383,0.6046002067944546
monthly|combEW|c2c,monthly,combEW,c2c,10,0.30293501877454926,0.5304613681247481,0.08210807398405612
monthly|putEW|c2c,monthly,putEW,c2c,9,0.441332363916469,0.6278211839427372,0.27322897021061016
monthly|allEW|c2c,monthly,allEW,c2c,28,0.49455283964664054,0.49623380561397323,0.4957099588536185
monthly|callEW|o2o,monthly,callEW,o2o,9,0.3510186919965339,0.08605826245771053,0.6260728061563863
monthly|combEW|o2o,monthly,combEW,o2o,10,0.11411488487296034,0.37115993348413345,-0.13662569561232032
monthly|putEW|o2o,monthly,putEW,o2o,9,0.5020177738956174,0.4398488225129248,0.5624162397747227
monthly|allEW|o2o,monthly,allEW,o2o,28,0.4782534180879922,0.36204523369261343,0.6043035884521625
monthly|callEW|day,monthly,callEW,day,9,-0.02648093803860475,0.4435112764910566,-0.5148766542188452
monthly|combEW|day,monthly,combEW,day,10,0.14684057455027177,0.21149837741304495,0.07032874072597203
monthly|putEW|day,monthly,putEW,day,9,-0.2970013343526031,-0.16762796541801525,-0.4204236778019516
monthly|allEW|day,monthly,allEW,day,28,0.0008855577953669939,0.3374996687474405,-0.39173655948291025
all|callEW|c2c,all,callEW,c2c,8,0.4079201625013091,-0.05681546420066597,0.8084148659297651
all|combEW|c2c,all,combEW,c2c,10,0.445632558066114,0.748389335578551,0.2065724908962649
all|putEW|c2c,all,putEW,c2c,8,0.3805741175295713,0.48374307704963204,0.3016283726580988
all|allEW|c2c,all,allEW,c2c,26,0.7109233754041251,0.5910558488643561,0.8216017004523389
all|callEW|o2o,all,callEW,o2o,8,0.7229208049077256,0.3741794333054715,1.1110143171729168
all|combEW|o2o,all,combEW,o2o,10,0.5601135818251819,0.7046526404075772,0.4085138237119176
all|putEW|o2o,all,putEW,o2o,8,-0.0011914632920184676,-0.08321625459918075,0.07373827146151661
all|allEW|o2o,all,allEW,o2o,26,0.5570090134313008,0.4456051052434113,0.6860978645125748
all|callEW|day,all,callEW,day,8,-0.02767308621183793,0.4577811133441205,-0.5368942384561427
all|combEW|day,all,combEW,day,10,0.33590723555086555,0.6287762403223793,0.016143181174810953
all|putEW|day,all,putEW,day,8,-0.370483089484397,-0.00881844037414555,-0.8105855600329731
all|allEW|day,all,allEW,day,26,0.07792572727811056,0.800754173887914,-0.7750192823624928
