rep,shift,passers,passers_rawbeta,best_SR,med_SR
0,4299,9,10,0.704225630863525,0.031949974368194925
1,5076,5,5,0.9353748342862435,0.01939409599283436
2,2215,3,5,0.7248225522318723,0.04870182853740278
3,4234,6,7,0.8238649141313555,0.1903412388467817
4,1776,2,2,0.6563561600403062,-0.025641570165453095
5,1493,0,1,0.5970630196366103,-0.05830304689293947
6,1318,1,1,0.564337136831384,-0.05817122917341343
7,971,15,21,0.7111858310504658,0.01930950936760199
8,4029,6,8,0.6218471633620258,0.02064410146634239
9,2408,6,6,0.7279250562699268,0.05357426062344271
10,1282,18,19,0.925214051144119,-0.05028716133931608
11,4589,6,12,0.5480827812407623,0.0059051938798505045
12,2013,1,1,0.6918559080358896,0.008498416401375636
13,4481,9,10,0.6227651940247186,0.03382549377603061
14,2402,2,3,0.7701084720526127,0.025418145484660808
15,2626,1,1,0.6590620296708511,-0.0022906742736193385
16,5854,1,2,0.685108141147308,-0.012537957421790147
17,3962,2,3,0.6280222459829028,-0.02603923510752366
18,1458,4,4,0.6351116568340897,-0.015196412580031304
19,4994,21,28,0.7796599256316541,0.0716409961791766
20,2384,1,2,0.8163475811508698,0.042995653236852685
21,631,5,5,0.795506910366696,0.022599511367791203
22,2396,2,2,0.7880786794611115,-0.001190749767321464
23,3348,0,0,0.7235371850667198,0.0039060743479473
24,4642,3,3,0.7797392886817399,0.04687421138742573
25,4600,0,0,0.7203896115742155,-0.031272350409629196
26,5203,5,11,0.878286517146374,0.0473358809868277
27,5000,0,0,0.6151976195039842,-0.034836212181584864
28,4677,3,3,0.5637465731939706,-0.05163229767737802
29,1511,9,9,0.7092965453131764,-0.005981165730859661
30,5722,0,2,0.7708342900118543,0.011579069431503532
31,3035,0,1,0.5949703393483655,-0.005919922157595276
32,1298,11,11,0.7798562671646785,-0.015579343770099677
33,2357,0,1,0.5526134531659642,0.018360276192871082
34,2275,0,0,0.5838702513310298,0.012574702740967395
35,1777,9,10,0.6311286097141935,-0.0017922376584820093
36,4447,1,1,0.6890020547106271,0.02430631844014079
37,4845,1,7,0.7706813136051306,0.00678228080656415
38,3624,8,11,0.6266623522144894,0.04211092661972381
39,3474,3,3,0.5913626371086891,-0.023605168221700876
