cell,SR_IS,SR_net,SR_of_SR,positive_years,n_years,beta,mean_abs_w,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
monthly|call_oi_total|selfz|w20|c2c,-0.17998166304316016,0.16149201833607024,0.2185463400786527,0.5,18,-0.09687109215355702,0.8756162247856115,-0.111,False,False,True,True,True,2,False
monthly|call_oi_total|selfz|w60|c2c,-0.33784497705999184,0.2452459813202634,0.3583439845366353,0.6666666666666666,18,-0.10085489317885409,0.8428822373212208,-0.12,False,True,True,True,True,3,False
monthly|call_oi_total|selfz|w120|c2c,-0.4173225418999023,0.3157440544465423,0.4632264144996543,0.7222222222222222,18,-0.07781518306479591,0.8295766691210376,-0.094,False,True,True,True,True,3,False
monthly|call_oi_total|selfz|w252|c2c,-0.430397858432719,0.37870277012371034,0.562375963533768,0.7222222222222222,18,-0.017287475249888443,0.8410269822715616,-0.021,False,True,True,True,True,3,False
monthly|call_oi_total|robustz|w20|c2c,-0.2852854823123402,-0.1206291373875198,-0.023754876172563246,0.4444444444444444,18,-0.4399305174236642,1.0159721106656814,-0.44,False,False,True,False,False,1,False
monthly|call_oi_total|robustz|w60|c2c,-0.3239655664736639,-0.029236106779551994,0.03118051370610344,0.5,18,-0.40818842763393653,0.9001553390124243,-0.453,False,False,True,False,False,1,False
monthly|call_oi_total|robustz|w120|c2c,-0.3595002946010802,0.03938556343252885,0.09132597155588196,0.5555555555555556,18,-0.3851580817860832,0.8600396717932816,-0.448,False,False,True,False,False,1,False
monthly|call_oi_total|robustz|w252|c2c,-0.3415411188113162,0.15621950215819852,0.2112749911527212,0.5882352941176471,17,-0.30428203356080485,0.8149015432079172,-0.373,False,False,True,False,False,1,False
monthly|call_oi_total|bdtanh|w20|c2c,-0.24274555397539777,0.2807468174323492,0.40310392809970086,0.6111111111111112,18,0.008004481241080117,0.5897409530917633,0.014,False,False,True,True,True,2,False
monthly|call_oi_total|bdtanh|w60|c2c,-0.3761519757694687,0.37456661753243625,0.4592428734873897,0.7222222222222222,18,0.024304970889239226,0.5800819654466698,0.042,False,True,True,True,True,3,False
monthly|call_oi_total|bdtanh|w120|c2c,-0.44013409606403897,0.4479456219787502,0.5294061141689348,0.7222222222222222,18,0.04544835825598422,0.5767447813768658,0.079,False,True,True,True,True,3,False
monthly|call_oi_total|bdtanh|w252|c2c,-0.5253084467423861,0.5489991656380093,0.573880233282301,0.7777777777777778,18,0.09954834616126879,0.5876614505672916,0.169,False,True,True,False,True,2,False
monthly|call_oi_total|rankc|w20|c2c,0.0044239179441559725,0.06574579744770959,0.04366286174475081,0.5555555555555556,18,0.18172758091981162,0.5267345050878823,0.345,False,False,True,False,False,1,False
monthly|call_oi_total|rankc|w60|c2c,-0.3166624146611135,0.16372826756628128,0.1883024450655576,0.5,18,-0.09077148547956167,0.5186028500619587,-0.175,False,False,True,False,True,1,False
monthly|call_oi_total|rankc|w120|c2c,-0.46803785875044807,0.32248351639432543,0.356646991053742,0.6111111111111112,18,-0.03010517425965038,0.5217555763531424,-0.058,False,False,True,True,True,2,False
