panel,family,feature,n,corr_same_day,IC_2009_2013,IC_2014_2018,IC_2019_2022,IC_2023_2026,IC_sign_agree,corr_spot_h1,corr_spot_h2
monthly,call,call_oi_total,4335,-0.06414852977144737,-0.05518766986033533,-0.014259710540277208,-0.012848692152764758,-0.0453970149144096,1.0,0.11286746672758763,-0.6376465285727816
monthly,call,call_cog,4335,-0.25750545014989884,0.06325228777687736,0.0075741236703997525,0.020737240806927827,0.030070715339946874,1.0,-0.29091990595052075,-0.24528371856997414
monthly,call,call_disp,4335,0.015166513044528315,0.0858753141579003,-7.774693569272127e-05,0.030880909582808747,0.05430795708848959,0.75,-0.6461595168278517,0.016851511359564555
monthly,call,call_otm_share,4335,-0.33646319395259955,0.026572979803959076,-0.011560449602442409,-0.015311315417509914,0.0088998282265302,0.5,0.024327650747123765,-0.24583452039378167
monthly,call,call_far_share,4335,-0.2783106094154577,0.08182339075613058,-0.0022491147086463833,0.021985032635904164,0.05903232870777418,0.75,-0.4083554969435214,0.03677320282964201
monthly,call,call_wall,4335,-0.14585659661970973,0.08393729452400538,-0.04414952869645335,0.028599951292220822,0.07650606933188979,0.75,-0.42705964951383474,0.051600926941724516
monthly,call,call_front_share,4335,-0.0061171843165589756,-0.000545103191255593,-0.025113247588544958,-0.035113713550344254,0.007911285600847648,0.75,-0.10749600612005461,0.03785769303280368
monthly,call,call_churn,4335,-0.011392547638983685,0.010637811767784262,-0.005596686891940281,-0.01899210283004448,-0.003935518895558266,0.25,-0.21296818073098633,0.015122486130684065
monthly,call,call_oi_growth,4334,-0.07933103878354321,0.03415362907696358,-0.025382638821272775,0.02403856228321812,-0.010089320437863326,0.5,0.004859967744995971,-0.001684677727626236
monthly,call,call_cog_chg,4334,-0.8147066076444317,0.030332135968189768,0.004709029176124711,-0.01109524813105789,0.0049635485400645486,0.75,0.003145272238904981,-0.006129905725998278
monthly,call,call_far_chg,4334,-0.6628698486484471,0.008161587304796976,0.001138455742261942,0.00422199282268941,-0.0028817272968778137,0.75,0.0014422587549710434,-0.0021472329744611643
