regime,panel,family,feature,transform,window,variant,cell,sign,mirror,SR_IS,n_IS,SR_OOS1,SR_OOS2,SRSR_OOS1,posyr_OOS1,full_SR_net,full_SR_of_SR,full_positive_years,full_yr_sr_min,full_n_years,full_beta,full_mean_exec_w,full_abs_exec_w,full_turnover_ann,full_held_pct,full_max_dd_days,full_n_bars,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
full,monthly,call,call_oi_total,selfz,20,c2c,full|monthly|call_oi_total|selfz|w20|c2c,-1,False,-0.011617108344354646,1970,0.19976086745282984,0.3936475558822903,0.056816833059512545,0.6,0.1614733433411151,0.21855855786138642,0.5,-1.2644943926442667,18,-0.09687109215355666,-0.05446578269450631,0.8756162247856115,85.3257334614747,99.46808510638297,1209,4324,-0.111,False,False,True,True,True,2,False
full,monthly,call,call_oi_total,selfz,20,o2o,full|monthly|call_oi_total|selfz|w20|o2o,-1,False,0.07364986906413536,1970,0.16014610227504522,0.13419370131159908,-0.056933957110399946,0.4,0.11160567044164516,0.1193054875791924,0.3888888888888889,-2.117802114303273,18,-0.10782927675920413,-0.05446578269450631,0.8756162247856115,85.3257334614747,99.46808510638297,1276,4324,-0.123,False,False,True,True,True,2,False
full,monthly,call,call_oi_total,selfz,20,day,full|monthly|call_oi_total|selfz|w20|day,-1,False,0.2831628378026806,1971,-0.037042119158789744,-0.12977691326546528,-0.24097868332601396,0.4,0.09827405210013529,0.06281683001052468,0.5,-3.4544708893106777,18,-0.09757116149253366,-0.05430948891988538,0.8755574706972311,85.30985409456001,99.46820809248554,2672,4325,-0.111,False,False,True,True,True,2,False
full,monthly,call,call_oi_total,selfz,60,c2c,full|monthly|call_oi_total|selfz|w60|c2c,-1,False,0.164010402652301,1950,0.2232567579751606,0.39195841454321456,0.09283486625809624,0.6,0.24521748919338035,0.3583607236095281,0.6666666666666666,-1.1088077886964502,18,-0.10085489317885363,-0.0044685183882390775,0.8428822373212208,79.29868006552839,99.41914498141264,836,4304,-0.12,False,True,True,True,True,3,False
full,monthly,call,call_oi_total,selfz,60,o2o,full|monthly|call_oi_total|selfz|w60|o2o,-1,False,0.21806238871564937,1950,0.2765872761896611,0.13727424070932379,-0.04735947749487201,0.6,0.21231775153124147,0.1802832227033674,0.5555555555555556,-2.299282220751033,18,-0.09174420315319187,-0.0044685183882390775,0.8428822373212208,79.29868006552839,99.41914498141264,856,4304,-0.109,False,False,True,True,True,2,False
full,monthly,call,call_oi_total,selfz,60,day,full|monthly|call_oi_total|selfz|w60|day,-1,False,0.3767284455808352,1951,0.049788102693365366,-0.26090082167282613,-0.22750008515989756,0.6,0.13666880522201671,0.04877574231396257,0.6111111111111112,-3.4591121928406707,18,-0.0795979814025559,-0.004341662522394627,0.8428122637432303,79.28266485384725,99.41927990708479,1462,4305,-0.094,False,False,True,True,True,2,False
full,monthly,call,call_oi_total,selfz,120,c2c,full|monthly|call_oi_total|selfz|w120|c2c,-1,False,0.25381860829366104,1920,0.20601598684949585,0.5537344266066112,0.07370279321332943,0.6,0.3157071145160921,0.4632121371571222,0.7222222222222222,-0.8208518130692233,18,-0.0778151830647958,0.03179630075045124,0.8295766691210382,75.70479085754835,99.34487599438465,1164,4274,-0.094,False,True,True,True,True,3,False
full,monthly,call,call_oi_total,selfz,120,o2o,full|monthly|call_oi_total|selfz|w120|o2o,-1,False,0.25495614480943446,1920,0.360423240589278,0.2770053429631927,-0.053585053241845225,0.4,0.2907128283170668,0.2337734044040116,0.5,-2.105554729533219,18,-0.059036049062097404,0.03179630075045124,0.8295766691210382,75.70479085754835,99.34487599438465,832,4274,-0.071,False,False,True,True,True,2,False
full,monthly,call,call_oi_total,selfz,120,day,full|monthly|call_oi_total|selfz|w120|day,-1,False,0.36424078659785514,1921,0.07943609755880934,-0.24649913655708627,-0.2665511083932744,0.6,0.14051831402139092,0.03454863429986438,0.5555555555555556,-3.338600419154335,18,-0.05909089025382535,0.031920637840588746,0.8295143909203287,75.68946822752524,99.34502923976608,1119,4275,-0.071,False,False,True,True,True,2,False
full,monthly,call,call_oi_total,selfz,252,c2c,full|monthly|call_oi_total|selfz|w252|c2c,-1,False,0.2866504111310485,1854,0.24101455597007548,0.7083645536669517,0.07129905410868671,0.6,0.37865776949731145,0.5622628770798124,0.7222222222222222,-0.5812737810436306,18,-0.017287475249888464,0.0762294007461716,0.8410269822715655,71.58617177310828,99.40589353612167,1366,4208,-0.021,False,True,True,True,True,3,False
