regime,panel,family,feature,transform,window,variant,cell,sign,mirror,SR_IS,n_IS,SR_OOS1,SR_OOS2,SRSR_OOS1,posyr_OOS1,full_SR_net,full_SR_of_SR,full_positive_years,full_yr_sr_min,full_n_years,full_beta,full_mean_exec_w,full_abs_exec_w,full_turnover_ann,full_held_pct,full_max_dd_days,full_n_bars,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
full,monthly,call,call_oi_total,signth,120,c2c,full|monthly|call_oi_total|signth|w120|c2c,-1,False,0.23704502386097348,3900,0.5973878176521862,0.7231213804677079,0.5390293944290812,0.8,0.4333527067751622,0.6400831155997331,0.7222222222222222,-0.8413691513672447,18,0.03333189570897764,0.09354013431403901,0.4558682443236329,32.83978253917493,45.58682443236329,1991,6254,0.073,True,True,True,True,True,4,True
full,monthly,comb,pcr_oi,robustz,252,o2o,full|monthly|pcr_oi|robustz|w252|o2o,1,False,0.4398815764068754,1729,0.34382252825675175,0.877739048456891,0.4398723255044825,0.8,0.5478906103125124,0.9820660828732303,0.8823529411764706,-0.6468754370638702,17,-0.12853326671092352,0.1079099902166576,0.881982250991445,61.11529455036171,99.04481998530493,1086,4083,-0.146,True,True,True,True,True,4,True
full,monthly,comb,pcr_oi,signth,60,o2o,full|monthly|pcr_oi|signth|w60|o2o,1,False,0.6921708018556506,3900,0.007898495867177502,0.2636539739944925,0.0751770919164375,0.4,0.41410034305627336,0.7038928920721488,0.7222222222222222,-0.8704602136781858,18,-0.06975156035692119,-0.005756315957787016,0.46850015989766547,31.87272145826671,46.85001598976655,1958,6254,-0.149,True,True,True,True,True,4,True
full,monthly,comb,pcr_oi,signth,60,day,full|monthly|pcr_oi|signth|w60|day,1,False,0.37501021766607934,3901,0.22577990838077455,0.9850657766423213,0.0007224497142775871,0.4,0.4801532976360758,0.6493876483162326,0.7222222222222222,-0.8148791350658926,18,-0.06545910724594683,-0.005915267785771383,0.4685851318944844,31.867625899280572,46.858513189448445,1957,6255,-0.14,True,True,True,True,True,4,True
full,monthly,comb,pcr_oi,signth,120,o2o,full|monthly|pcr_oi|signth|w120|o2o,1,False,0.33117946859808217,3900,-0.008760009128836144,0.5209210655242246,0.131497085311129,0.4,0.29700263299465135,0.6648219003944082,0.7222222222222222,-0.4853774942615104,18,-0.05776255458782326,0.006236008954269267,0.4715382155420531,28.326830828269905,47.15382155420531,1982,6254,-0.122,True,True,True,True,True,4,True
full,monthly,comb,pcr_oi,dev,252,o2o,full|monthly|pcr_oi|dev|w252|o2o,1,False,0.4174105944605868,1854,-0.006722120763637495,0.6486949177800096,0.036719826828746235,0.4,0.368749550794774,0.7459372031087333,0.7777777777777778,-1.2082486699340664,18,-0.025573389147988408,0.010222606316451928,0.19739565828346892,13.712903175978129,96.1977186311787,1170,4208,-0.13,True,True,True,True,True,4,True
full,all,comb,front_diff,bdtanh,20,o2o,full|all|front_diff|bdtanh|w20|o2o,-1,False,0.44974721922011535,1970,0.3832548184947992,0.5155315408701288,0.9649618446296975,0.8,0.45084239442677854,0.6705561581795745,0.6666666666666666,-0.43151705042136335,18,-0.05057142311459182,-0.02101762667811084,0.5967074103151863,63.63718589411671,99.37557816836264,784,4324,-0.085,True,True,True,True,True,4,True
full,all,comb,front_diff,signth,20,c2c,full|all|front_diff|signth|w20|c2c,-1,False,0.2298603130651552,3900,0.35856877448310787,0.4909543720259962,0.5107111917755831,0.6,0.31724989528598985,0.7197859927571826,0.7777777777777778,-0.6036734364051888,18,-0.028268332192495645,-0.019187719859290055,0.45922609529900865,48.796290374160534,45.92260952990087,1931,6254,-0.062,True,True,True,True,True,4,True
full,all,comb,front_diff,signth,20,o2o,full|all|front_diff|signth|w20|o2o,-1,False,0.3105788733553008,3900,0.4279049786550834,0.5875362148155964,0.9088197030020305,0.8,0.3967316990261573,0.7811012815708963,0.7222222222222222,-0.4394696329215443,18,-0.01131306569873086,-0.019187719859290055,0.45922609529900865,48.796290374160534,45.92260952990087,1932,6254,-0.025,True,True,True,True,True,4,True
night,monthly,call,call_oi_total,signth,20,c2c,night|monthly|call_oi_total|signth|w20|c2c,-1,False,0.3832865825756583,1385,0.8713624504614881,,1.0752501137716837,0.75,0.5868302307388819,0.666225315942578,0.7,-1.0378429245173275,10,0.06896938649284472,0.12604671661524902,0.6434552666372851,49.0894667254297,64.34552666372852,392,2269,0.107,True,True,True,True,True,4,True
