family,variant,n_cells,n_days,SR_OOS,beta,SR_alpha,t_alpha
breadth,c2c,144,2109,0.1917041342217583,0.13564226026127715,-0.16195664189270306,-0.4685293297569835
breadth,day,144,2109,-0.8946759541920022,-0.003038848733317907,-0.8920373016067643,-2.580602031233372
breadth,o2o,144,2109,-0.24640229890791276,0.06590190996019164,-0.6470234701646064,-1.871794013944167
flow,c2c,168,2109,-0.12776788720093846,0.06364258276681697,-0.4097547254891486,-1.1853919953797045
flow,day,168,2109,-0.5653178185996964,0.052203044717491216,-0.6209068040832098,-1.796240310733215
flow,o2o,168,2109,-0.381232016664341,0.04230090736405587,-0.6083297500387148,-1.7598557658765206
leverage,c2c,168,2109,0.2613448651805558,0.03364594532575113,0.12250482774173711,0.35439796826521397
leverage,day,168,2109,-0.24321956492619282,0.04274158729566544,-0.28826800222567195,-0.8339393327422647
leverage,o2o,168,2109,0.27774872832006275,0.03620860784613647,0.08779880490862488,0.2539958518314744
liquidity,c2c,144,2109,0.2397838865977549,0.09654665194162174,-0.13853201116870928,-0.40076349808341305
liquidity,day,144,2109,-0.342514454072823,0.06151682146155979,-0.39750081171681856,-1.1499422729135318
liquidity,o2o,144,2109,0.12470444071514883,0.047253896912089755,-0.12391887519766659,-0.35848870946007116
xsec,c2c,72,2109,-0.5034705477640421,-0.01549072769158099,-0.423034198287507,-1.2238085889632082
xsec,day,72,2109,-0.5689420471542422,-0.10305196430193482,-0.5429998033276568,-1.570860762103412
xsec,o2o,72,2109,-0.7318948115739791,-0.04265090709350375,-0.5176981580773186,-1.4976648576171754
