date,fgn_net_k,trust_net_k,dealer_net_k,fgn_gross_k,trust_gross_k,fgn_breadth,trust_breadth
2009-01-05,4163585.0,400223.0,,22717388.0,4963150.0,0.6759002770083102,0.5333333333333333
2009-01-06,4753941.0,1022114.0,,31261862.0,8796665.0,0.784180790960452,0.536697247706422
2009-01-07,5241316.0,621282.0,,38867878.0,9447993.0,0.6636125654450262,0.467680608365019
2009-01-08,-11246497.0,-1131049.0,,33263813.0,5951427.0,0.1260815822002472,0.3864734299516908
2009-01-09,-6360656.0,-1201513.0,,25328286.0,4972333.0,0.43201133144475923,0.671875
2009-01-10,-3560820.0,-934130.0,,6190088.0,5116031.0,0.10940919037199125,0.3625
2009-01-12,-5937634.0,-511332.0,,28483175.0,4731448.0,0.2965986394557823,0.5723076923076923
2009-01-13,-569330.0,-407632.0,,22932383.0,5483431.0,0.5701357466063348,0.5053191489361702
2009-01-14,-3328092.0,375667.0,,30205149.0,4837944.0,0.4401772525849335,0.51010101010101
2009-01-15,-14967297.0,-51540.0,,28453355.0,3729638.0,0.15025906735751296,0.3482142857142857
2009-01-16,-6926658.0,203566.0,,19245156.0,5424846.0,0.11886586695747,0.6510903426791277
2009-01-17,-317433.0,335321.0,,2325245.0,5291336.0,0.13253012048192772,0.6576576576576577
2009-01-19,-345163.0,149585.0,,14790977.0,4997513.0,0.4035656401944895,0.340080971659919
2009-01-20,-8216663.0,-838907.0,,27389463.0,4076156.0,0.2687224669603524,0.35514018691588783
2009-01-21,-5220226.0,-253262.0,,31282597.0,4837218.0,0.2698072805139186,0.3233082706766917
2009-02-02,-557137.0,719157.0,,46799035.0,3735728.0,0.27012278308321963,0.5030674846625767
2009-02-03,-1083719.0,1101705.0,,29851999.0,6448228.0,0.7473404255319149,0.4980544747081712
2009-02-04,835741.0,1252268.0,,28676174.0,6925787.0,0.3610719322990127,0.42124542124542125
2009-02-05,-1514067.0,553036.0,,26013146.0,7001993.0,0.5619335347432024,0.41125541125541126
2009-02-06,6395225.0,628383.0,,28843166.0,6173596.0,0.5659574468085107,0.5088495575221239
2009-02-09,8834345.0,231208.0,,34723199.0,7965231.0,0.3121951219512195,0.4198473282442748
2009-02-10,972407.0,79879.0,,23860634.0,5412686.0,0.5011389521640092,0.4717741935483871
2009-02-11,-881100.0,-715975.0,,26489048.0,6210548.0,0.5104166666666666,0.2620481927710843
2009-02-12,-4294854.0,-272471.0,,32330380.0,6324173.0,0.24632352941176472,0.4044943820224719
2009-02-13,1665444.0,-252419.0,,25352788.0,4929816.0,0.6088631984585742,0.4751131221719457
2009-02-16,-1954384.0,889574.0,,22711184.0,6101476.0,0.5478615071283096,0.47804878048780486
2009-02-17,-6073779.0,-722037.0,,22512836.0,4769212.0,0.26,0.4312267657992565
2009-02-18,877346.0,-956941.0,,32686016.0,4994604.0,0.5718157181571816,0.4533333333333333
2009-02-19,-753047.0,367304.0,,27370993.0,4518241.0,0.3252496433666191,0.46524064171123
2009-02-20,-10091030.0,-54607.0,,24460038.0,4170352.0,0.20707964601769913,0.4046692607003891
2009-02-23,574295.0,-883386.0,,24008272.0,5904237.0,0.5725338491295938,0.4921875
2009-02-24,-8352881.0,-1017570.0,,21894441.0,5533511.0,0.2922077922077922,0.45098039215686275
2009-02-25,349559.0,1063223.0,,25363074.0,4931647.0,0.6636197440585009,0.49
2009-02-26,1015998.0,240387.0,,22507786.0,4685850.0,0.5303326810176126,0.43478260869565216
2009-02-27,-1602473.0,437007.0,,25924943.0,4105475.0,0.6537753222836096,0.643598615916955
2009-03-02,-13132006.0,11507.0,,30406881.0,7009796.0,0.1431095406360424,0.5463917525773195
2009-03-03,-7196475.0,-1775799.0,,22721343.0,5274622.0,0.1908256880733945,0.40298507462686567
2009-03-04,-222421.0,1835751.0,,30223296.0,7050245.0,0.6055646481178396,0.47950819672131145
2009-03-05,5048564.0,1500728.0,,32203702.0,6824176.0,0.643598615916955,0.4533333333333333
2009-03-06,3554678.0,-194387.0,,29100487.0,5269081.0,0.5934256055363322,0.4008810572687225
2009-03-09,-7057011.0,-915073.0,,29414313.0,6293854.0,0.5044404973357016,0.3953488372093023
2009-03-10,-5480422.0,-135314.0,,31286920.0,5627224.0,0.6495016611295681,0.502127659574468
2009-03-11,3123571.0,953403.0,,32835944.0,6528825.0,0.49584026622296173,0.5129310344827587
2009-03-12,444987.0,-398199.0,,28119351.0,6250007.0,0.7341772151898734,0.4481792717086835
2009-03-13,11506128.0,1786728.0,,47981753.0,6248250.0,0.7276422764227642,0.42424242424242425
2009-03-16,2906610.0,812381.0,,30571874.0,6795880.0,0.7724399494310998,0.3292307692307692
2009-03-17,3599781.0,-1094917.0,,31661735.0,7869680.0,0.6632503660322109,0.3521505376344086
2009-03-18,6121373.0,-243968.0,,36402989.0,6514203.0,0.7258261933904528,0.3131868131868132
2009-03-19,802256.0,-444945.0,,30992801.0,6706619.0,0.4608294930875576,0.3922413793103448
2009-03-20,-994625.0,-1721139.0,,32376221.0,7978813.0,0.21907600596125187,0.2754491017964072
2009-03-23,4620131.0,-12047.0,,32695573.0,6846208.0,0.6588447653429603,0.40114613180515757
2009-03-24,4059186.0,1533660.0,,40158365.0,8362065.0,0.6762360446570973,0.39943342776203966
2009-03-25,4612447.0,529556.0,,44596118.0,10002370.0,0.7081604426002767,0.5168067226890757
2009-03-26,3415327.0,-480142.0,,34730641.0,7168181.0,0.5512465373961218,0.4411764705882353
2009-03-27,-954849.0,-570349.0,,37041625.0,7034208.0,0.38153846153846155,0.4699248120300752
2009-03-30,-2041212.0,-1793499.0,,28640887.0,7368781.0,0.2088888888888889,0.2932098765432099
2009-03-31,-1747908.0,-1461806.0,,35686196.0,7766515.0,0.39588100686498856,0.29545454545454547
2009-04-01,-5579708.0,400152.0,,29930227.0,6990674.0,0.5448634590377113,0.5022421524663677
2009-04-02,12537057.0,689221.0,,49508378.0,11592158.0,0.7726708074534161,0.35128205128205126
2009-04-03,5369424.0,523603.0,,57149740.0,9902629.0,0.6721728081321474,0.34332425068119893
2009-04-06,7228941.0,-695308.0,,49294758.0,8403928.0,0.5519662921348315,0.39570552147239263
2009-04-07,-5311785.0,-1349783.0,,44009927.0,9275318.0,0.613314447592068,0.6430594900849859
2009-04-08,-9969195.0,-478307.0,,63793949.0,8535483.0,0.2496969696969697,0.3885350318471338
2009-04-09,11243161.0,322432.0,,48013990.0,7066275.0,0.8154205607476636,0.4125
2009-04-10,12319542.0,718226.0,,27999403.0,8845557.0,0.7275,0.4957983193277311
2009-04-13,7860966.0,314746.0,,29224846.0,10433330.0,0.7710396039603961,0.3657957244655582
2009-04-14,3580576.0,519204.0,,45936494.0,7847195.0,0.7028639618138425,0.3388888888888889
2009-04-15,-1850510.0,-361151.0,,46254010.0,8830192.0,0.5419126328217237,0.45
2009-04-16,8054997.0,348021.0,,52879117.0,8007336.0,0.7607296137339056,0.3008130081300813
2009-04-17,10008189.0,67056.0,,56691248.0,7863489.0,0.40064446831364126,0.3201219512195122
2009-04-20,3329923.0,-2180844.0,,37516303.0,8352085.0,0.3848797250859107,0.4144486692015209
2009-04-21,-6539868.0,-1433364.0,,39405194.0,9871821.0,0.7117852975495916,0.4591549295774648
2009-04-22,38856.0,813128.0,,39042331.0,9548890.0,0.526255707762557,0.5289256198347108
2009-04-23,-451333.0,896012.0,,36402701.0,10078805.0,0.4528735632183908,0.4160206718346253
2009-04-24,2294648.0,388329.0,,40198807.0,7950514.0,0.5511811023622047,0.3968253968253968
2009-04-27,5476505.0,-922588.0,,39178969.0,9939957.0,0.3961661341853035,0.5323076923076923
2009-04-28,5337721.0,-1090770.0,,34087618.0,8902007.0,0.4556818181818182,0.5315315315315315
2009-04-29,10136307.0,-527638.0,,40602585.0,7520096.0,0.6593406593406593,0.40869565217391307
2009-04-30,33711336.0,1653608.0,,61246745.0,6185679.0,0.8670391061452514,0.47703180212014135
2009-05-04,20014516.0,2527776.0,,54668575.0,7958203.0,0.8413631022326674,0.711484593837535
2009-05-05,27733071.0,2192091.0,,77205558.0,10161672.0,0.6002239641657335,0.6657458563535912
2009-05-06,16812517.0,386797.0,,100309661.0,10383315.0,0.7945652173913044,0.35501355013550134
2009-05-07,7755812.0,715353.0,,92705102.0,13661317.0,0.5005488474204172,0.4196185286103542
2009-05-08,5181810.0,-113526.0,,77592161.0,11415984.0,0.6806342015855039,0.38372093023255816
2009-05-11,-4284333.0,974161.0,,54651448.0,10759530.0,0.5104166666666666,0.6049382716049383
2009-05-12,-6950134.0,-1444250.0,,53451467.0,11339062.0,0.291886195995785,0.40559440559440557
2009-05-13,-9538349.0,-470006.0,,54775338.0,10499412.0,0.44242424242424244,0.3349875930521092
2009-05-14,-11932427.0,-231363.0,,62469620.0,9060861.0,0.3548009367681499,0.5020242914979757
2009-05-15,-2987276.0,689786.0,,52388411.0,8859352.0,0.44675925925925924,0.6345609065155807
2009-05-18,-2391189.0,27026.0,,47525325.0,9714070.0,0.43427230046948356,0.46953405017921146
2009-05-19,12629510.0,2992432.0,,50014384.0,11843384.0,0.5894854586129754,0.65527950310559
2009-05-20,7170245.0,277822.0,,53153324.0,10315819.0,0.6086956521739131,0.39443155452436196
2009-05-21,-336060.0,555553.0,,55932440.0,9167902.0,0.5101351351351351,0.5369649805447471
2009-05-22,-4365751.0,-219554.0,,50770019.0,11720659.0,0.5472127417519909,0.36623376623376624
2009-05-25,-5986613.0,-949539.0,,43388318.0,10956407.0,0.44666666666666666,0.3986784140969163
2009-05-26,3755421.0,-894383.0,,43829457.0,14240994.0,0.2863202545068929,0.5099601593625498
2009-05-27,15661581.0,235401.0,,98733117.0,13250719.0,0.6511627906976745,0.526
2009-06-01,16112885.0,325597.0,,87929058.0,8324561.0,0.532258064516129,0.49583333333333335
2009-06-02,10498988.0,1251688.0,,64114258.0,10654812.0,0.26804123711340205,0.47096774193548385
2009-06-03,7995170.0,-2449758.0,,51981513.0,10326106.0,0.5056433408577878,0.39057239057239057
2009-06-04,-11740934.0,-3865235.0,,53631265.0,9832770.0,0.3628536285362854,0.4305555555555556
2009-06-05,-3025222.0,-1114513.0,,34672610.0,8793001.0,0.6682188591385332,0.4063745019920319
2009-06-06,-748955.0,-1282628.0,,2435431.0,7329796.0,0.4828897338403042,0.41810344827586204
2009-06-08,-7023406.0,-850935.0,,44992965.0,9541518.0,0.3836824696802646,0.5068027210884354
2009-06-09,-3301577.0,-3685058.0,,55898385.0,11243495.0,0.4491701244813278,0.39457831325301207
2009-06-10,-103381.0,-1883282.0,,36241048.0,9648746.0,0.5526960784313726,0.4865771812080537
2009-06-11,896925.0,587555.0,,49060235.0,7411617.0,0.5453416149068323,0.7376237623762376
2009-06-12,-5313207.0,364788.0,,45863261.0,6666301.0,0.3242320819112628,0.4881516587677725
2009-06-15,-2554649.0,-1928383.0,,39721215.0,6809347.0,0.2400932400932401,0.6507537688442211
2009-06-16,56909.0,-2141675.0,,45529756.0,9408097.0,0.45817245817245816,0.6954545454545454
2009-06-17,-5502562.0,483706.0,,43529368.0,6065859.0,0.3141426783479349,0.730593607305936
2009-06-18,-2542735.0,-633105.0,,40608081.0,6931010.0,0.41338582677165353,0.7294685990338164
2009-06-19,-692524.0,422393.0,,34667882.0,4990518.0,0.5903614457831325,0.5854700854700855
2009-06-22,3671318.0,1313875.0,,35187377.0,5255200.0,0.5314070351758794,0.7956204379562044
2009-06-23,-12936521.0,-136532.0,,36519832.0,5918097.0,0.27577639751552796,0.22077922077922077
2009-06-24,12217029.0,731512.0,,55235447.0,4237862.0,0.696969696969697,0.5492537313432836
2009-06-25,13856798.0,1238535.0,,48316623.0,5902233.0,0.5206508135168961,0.6801470588235294
2009-06-26,6792132.0,1295744.0,,40697297.0,6033753.0,0.5173745173745173,0.48
2009-06-29,-487664.0,-171306.0,,41830820.0,4492604.0,0.4405339805825243,0.5459183673469388
2009-06-30,8078412.0,-299405.0,,32876097.0,4869436.0,0.47911227154047,0.4846938775510204
2009-07-01,11118452.0,491184.0,,35213070.0,4911183.0,0.8594527363184079,0.7507692307692307
2009-07-02,7227895.0,1908178.0,,38256511.0,7937705.0,0.5597014925373134,0.6446540880503144
2009-07-03,-1136103.0,35180.0,,29779077.0,8127679.0,0.5244845360824743,0.24434389140271492
2009-07-06,-850750.0,25891.0,,24840113.0,6034764.0,0.45849297573435505,0.3522727272727273
2009-07-07,4237960.0,1701406.0,,39145955.0,8336675.0,0.5830212234706617,0.7017543859649122
2009-07-08,-5338991.0,-732876.0,,36856603.0,6994937.0,0.3175182481751825,0.25219941348973607
2009-07-09,2658676.0,1046389.0,,41871627.0,7429710.0,0.5990037359900373,0.5210084033613446
2009-07-10,-945630.0,11338.0,,31612807.0,5502643.0,0.3353658536585366,0.2677165354330709
2009-07-13,-7533243.0,-1529955.0,,45081145.0,4031934.0,0.2434881087202718,0.22358722358722358
2009-07-14,-463390.0,-347590.0,,37618245.0,6988736.0,0.37394451145958985,0.2267818574514039
2009-07-15,10569824.0,1067744.0,,44064207.0,7339337.0,0.6428571428571429,0.5540540540540541
2009-07-16,12002325.0,1764001.0,,45210323.0,8648437.0,0.5548996458087367,0.3309002433090024
2009-07-17,8939056.0,411228.0,,37515738.0,8802647.0,0.6773428232502966,0.47547169811320755
2009-07-20,11822306.0,581653.0,,35894135.0,7932695.0,0.6510791366906474,0.5221238938053098
2009-07-21,9727907.0,952278.0,,41360620.0,9301801.0,0.4860943168077388,0.2745995423340961
2009-07-22,3660188.0,-882205.0,,41923671.0,7588186.0,0.6395348837209303,0.28974358974358977
2009-07-23,4659532.0,-657371.0,,40763530.0,7289439.0,0.4870848708487085,0.2285012285012285
2009-07-24,251965.0,-301966.0,,46803278.0,10061340.0,0.45887961859356374,0.2563451776649746
2009-07-27,6883325.0,-1320921.0,,40496065.0,7886814.0,0.6523867809057528,0.39330543933054396
2009-07-28,4811695.0,916712.0,,46105571.0,10372159.0,0.658273381294964,0.4910394265232975
2009-07-29,1278404.0,471255.0,,45370695.0,10569650.0,0.49239766081871345,0.35772357723577236
2009-07-30,-3316677.0,-2413076.0,,63384992.0,10715752.0,0.4062126642771804,0.23228346456692914
2009-07-31,7047549.0,-142597.0,,68974601.0,10575047.0,0.5727482678983834,0.38082191780821917
2009-08-03,3824757.0,-823968.0,,42478534.0,9183694.0,0.5659722222222222,0.3446153846153846
2009-08-04,-2629782.0,560304.0,,50250060.0,10410704.0,0.22459893048128343,0.4585987261146497
2009-08-05,-3472561.0,-802791.0,,61159392.0,9600151.0,0.2975929978118162,0.46296296296296297
2009-08-06,-4582416.0,-2188297.0,,56354281.0,9143671.0,0.44404332129963897,0.3857677902621723
2009-08-10,1255401.0,748596.0,,50704915.0,6077388.0,0.3459196102314251,0.7398190045248869
2009-08-11,-2818463.0,-439155.0,,48249316.0,9059742.0,0.5093167701863354,0.6990049751243781
2009-08-12,-4677051.0,936422.0,,41955628.0,8233663.0,0.5364963503649635,0.5147058823529411
2009-08-13,7263008.0,1466641.0,,45094036.0,6149207.0,0.5710872162485066,0.5197368421052632
2009-08-14,5581574.0,1639252.0,,36396534.0,8057305.0,0.4542124542124542,0.4426229508196721
2009-08-17,-6972561.0,-1015974.0,,34068439.0,7362487.0,0.2617611580217129,0.3020833333333333
2009-08-18,-3963162.0,-2250578.0,,28499331.0,8108379.0,0.3203214695752009,0.5879629629629629
2009-08-19,-1704259.0,161717.0,,27274239.0,5549455.0,0.30987654320987656,0.6897506925207756
2009-08-20,684650.0,121203.0,,30095632.0,5906782.0,0.41967621419676215,0.674863387978142
2009-08-21,-5922640.0,1221613.0,,43227801.0,6980605.0,0.40942028985507245,0.4810126582278481
2009-08-24,6973468.0,1039515.0,,40481460.0,7139566.0,0.5966494845360825,0.7442455242966752
2009-08-25,-529588.0,1824144.0,,34565158.0,7336256.0,0.3478835978835979,0.49407114624505927
2009-08-26,5362187.0,-738521.0,,37854499.0,6520097.0,0.2997448979591837,0.48046875
2009-08-27,1537108.0,446046.0,,30410696.0,5544949.0,0.4912,0.6764705882352942
2009-08-28,13300794.0,622130.0,,33379152.0,5038046.0,0.6003062787136294,0.5529953917050692
2009-08-31,1200041.0,196056.0,,39846649.0,5156788.0,0.3968253968253968,0.5436507936507936
2009-09-01,12420742.0,774067.0,,41506756.0,8991534.0,0.774074074074074,0.5232558139534884
2009-09-02,2474022.0,472852.0,,41064983.0,8206026.0,0.4980494148244473,0.5375494071146245
2009-09-03,6315363.0,1006235.0,,42672702.0,7874904.0,0.48021108179419525,0.361244019138756
2009-09-04,1860464.0,851962.0,,50223743.0,6266706.0,0.48409405255878285,0.28941176470588237
2009-09-07,5580219.0,35412.0,,34944864.0,6449678.0,0.5880794701986755,0.2871046228710462
2009-09-08,19605033.0,-90209.0,,55500324.0,9528999.0,0.7676886792452831,0.5102880658436214
2009-09-09,7635432.0,-551427.0,,47771500.0,7784097.0,0.6053268765133172,0.5463137996219282
2009-09-10,28989615.0,786253.0,,65006285.0,6859665.0,0.7352601156069364,0.5352112676056338
2009-09-11,5346919.0,-361797.0,,35862994.0,5815095.0,0.7896138482023968,0.5504587155963303
2009-09-14,-2359770.0,-684405.0,,34140626.0,7300931.0,0.41255006675567424,0.27054108216432865
2009-09-15,5892956.0,-58075.0,,36774210.0,7685883.0,0.789002557544757,0.5598455598455598
2009-09-16,12333313.0,1438159.0,,41678314.0,8572313.0,0.7967479674796748,0.5640138408304498
2009-09-17,14863892.0,1379172.0,,51320799.0,8822979.0,0.7341040462427746,0.49146757679180886
2009-09-18,5864377.0,154754.0,,44266139.0,8664185.0,0.6987341772151898,0.26034063260340634
2009-09-21,-1443465.0,-28913.0,,31751292.0,7693874.0,0.44314185228604924,0.3229166666666667
2009-09-22,-677791.0,27639.0,,29573860.0,7367970.0,0.44021024967148487,0.5132075471698113
2009-09-23,2058539.0,-1277449.0,,41591364.0,7373329.0,0.2678983833718245,0.32285714285714284
2009-09-24,-5400158.0,-1641817.0,,30315294.0,6587989.0,0.4262295081967213,0.3799126637554585
2009-09-25,-1973921.0,-604783.0,,40820620.0,6334432.0,0.5341880341880342,0.4199134199134199
2009-09-28,-838297.0,-1075386.0,,30644517.0,4942839.0,0.38382541720154045,0.4180327868852459
2009-09-29,17659468.0,571060.0,,47656987.0,6483427.0,0.6204268292682927,0.6322115384615384
2009-09-30,12872196.0,843972.0,,51135152.0,6887034.0,0.7628726287262872,0.4509090909090909
2009-10-01,11310755.0,535586.0,,49012780.0,7819510.0,0.5807743658210948,0.46473029045643155
2009-10-02,-12588787.0,-319760.0,,52604823.0,6640755.0,0.3183673469387755,0.46062992125984253
2009-10-05,-10218984.0,-659833.0,,47443062.0,6503924.0,0.398970398970399,0.34105960264900664
2009-10-06,9876618.0,-74662.0,,58090911.0,9136536.0,0.6754716981132075,0.5296296296296297
2009-10-07,9886983.0,-411699.0,,58494254.0,9364810.0,0.5186972255729795,0.5
2009-10-08,1048991.0,-849729.0,,53245091.0,10008632.0,0.4909090909090909,0.5193798449612403
2009-10-09,2116655.0,-1170413.0,,46111368.0,9934168.0,0.5344387755102041,0.6211699164345403
2009-10-12,-1605382.0,776501.0,,32622650.0,7767423.0,0.3948339483394834,0.48132780082987553
2009-10-13,-3404226.0,-368234.0,,50103567.0,7129484.0,0.4359281437125748,0.671264367816092
2009-10-14,10684835.0,-185764.0,,53160499.0,7749864.0,0.6057007125890737,0.41304347826086957
2009-10-15,21205073.0,235869.0,,58679466.0,10447871.0,0.6595264937993236,0.4332344213649852
2009-10-16,2857039.0,-185290.0,,49211945.0,5959055.0,0.7712765957446809,0.39928057553956836
2009-10-19,31566.0,-120881.0,,39194712.0,5259348.0,0.7226107226107226,0.6283185840707964
2009-10-20,6151475.0,174541.0,,39479484.0,8023951.0,0.41954022988505746,0.48507462686567165
2009-10-21,-3350167.0,-1746114.0,,49111231.0,8102441.0,0.41183879093198994,0.34977578475336324
2009-10-22,-13542024.0,-1464736.0,,55525347.0,6122765.0,0.24561403508771928,0.37551020408163266
2009-10-23,-2876316.0,-905808.0,,45074855.0,6511481.0,0.4845222072678331,0.44
2009-10-26,7946816.0,-304959.0,,33722984.0,6002898.0,0.5922619047619048,0.431924882629108
2009-10-27,-4602317.0,-1742554.0,,41471530.0,7289474.0,0.2572463768115942,0.6277372262773723
2009-10-28,-11890482.0,-816009.0,,43237987.0,7493238.0,0.24514563106796117,0.2537313432835821
2009-10-29,-22934403.0,-1940875.0,,57912847.0,6686435.0,0.40341655716162944,0.5388888888888889
2009-10-30,-5677146.0,326011.0,,43539641.0,7457135.0,0.28484848484848485,0.4626865671641791
2009-11-02,-7910595.0,-490234.0,,34251785.0,6202816.0,0.3797313797313797,0.6080760095011877
2009-11-03,-10038749.0,463546.0,,34260030.0,5711680.0,0.2807825086306099,0.7156862745098039
2009-11-04,-2628257.0,1414652.0,,40990987.0,5652593.0,0.6570048309178744,0.7169811320754716
2009-11-05,-1132735.0,162095.0,,31567222.0,5563098.0,0.2998833138856476,0.6326530612244898
2009-11-06,4695206.0,971116.0,,30439435.0,5660079.0,0.5505443234836703,0.6377245508982036
2009-11-09,6194872.0,-780357.0,,27963284.0,5431406.0,0.6757925072046109,0.685785536159601
2009-11-10,9889252.0,993211.0,,39296694.0,5950175.0,0.6141141141141141,0.5310880829015544
2009-11-11,11505415.0,553411.0,,42955369.0,4595783.0,0.7199453551912568,0.46863468634686345
2009-11-12,7477075.0,358195.0,,52377824.0,6394277.0,0.6067073170731707,0.4575757575757576
2009-11-13,5744435.0,-221186.0,,36374958.0,4744801.0,0.7377666248431619,0.3752711496746204
