date,fin_bal_k,fin_bal_lots,short_bal_lots,fin_buy_lots,fin_sell_lots,fin_prev_lots,short_sell_lots
2010-01-04,320935931.0,18699074.0,1022627.0,1737225.0,1658376.0,18630071.0,74774.0
2010-01-05,320350260.0,18612460.0,1003840.0,1700880.0,1779833.0,18699066.0,59380.0
2010-01-06,324030017.0,18714761.0,1025675.0,1506881.0,1391423.0,18612461.0,77944.0
2010-01-07,322407560.0,18612729.0,1018955.0,1609623.0,1700079.0,18714768.0,74898.0
2010-01-08,324504050.0,18711648.0,1013536.0,1335074.0,1218522.0,18612873.0,77733.0
2010-01-11,326854650.0,18842736.0,1025296.0,1461815.0,1321493.0,18711625.0,70904.0
2010-01-12,329334519.0,18901450.0,1002209.0,1269924.0,1198842.0,18842736.0,56518.0
2010-01-13,331086703.0,18908372.0,972454.0,1142281.0,1126159.0,18901435.0,55069.0
2010-01-14,333333674.0,18970597.0,990045.0,1229958.0,1158773.0,18908370.0,71280.0
2010-01-15,335092073.0,19046964.0,1016610.0,1510137.0,1416423.0,18970554.0,81972.0
2010-01-18,337875059.0,19143579.0,1018234.0,1396213.0,1289442.0,19046953.0,64816.0
2010-01-19,337703517.0,18953005.0,978685.0,1439962.0,1488225.0,19013137.0,51819.0
2010-01-20,338986400.0,18987823.0,965768.0,1185270.0,1142580.0,18953126.0,53504.0
2010-01-21,337587608.0,18889620.0,930594.0,1016107.0,1091186.0,18977340.0,46305.0
2010-01-22,336806567.0,18784588.0,872575.0,945328.0,1028483.0,18889617.0,50984.0
2010-01-25,335522694.0,18745765.0,850391.0,779250.0,802981.0,18784578.0,54403.0
2010-01-26,326943287.0,18330008.0,773803.0,1063461.0,1452945.0,18745708.0,56691.0
2010-01-27,323474750.0,18202913.0,737017.0,723170.0,823319.0,18330008.0,67296.0
2010-01-28,324572452.0,18289955.0,762448.0,817152.0,706591.0,18202904.0,99886.0
2010-01-29,323807931.0,18256975.0,743436.0,704571.0,719404.0,18289955.0,60963.0
2010-02-01,325243547.0,18323848.0,742470.0,593453.0,512640.0,18256995.0,55710.0
2010-02-02,321296565.0,18147258.0,726302.0,657321.0,809298.0,18323899.0,61530.0
2010-02-03,321024144.0,18256103.0,737335.0,621800.0,597143.0,18256353.0,77238.0
2010-02-04,321548105.0,18286000.0,744689.0,541866.0,497309.0,18256096.0,54488.0
2010-02-05,313926426.0,17884948.0,698701.0,706578.0,1077280.0,18285998.0,68651.0
2010-02-06,307473472.0,17625856.0,657642.0,638802.0,854214.0,17884945.0,58051.0
2010-02-08,306765006.0,17632755.0,673004.0,467281.0,437842.0,17636188.0,65791.0
2010-02-09,304955670.0,17561481.0,652698.0,541653.0,576364.0,17640643.0,67071.0
2010-02-10,301651203.0,17394467.0,633043.0,636265.0,752099.0,17561648.0,51674.0
2010-02-22,302210298.0,17421204.0,659771.0,628009.0,556364.0,17361144.0,62902.0
2010-02-23,304494759.0,17523930.0,684972.0,565501.0,457170.0,17421199.0,66408.0
2010-02-24,306844998.0,17622650.0,696484.0,591788.0,484471.0,17523927.0,53112.0
2010-02-25,308206096.0,17694160.0,713966.0,705294.0,622828.0,17622643.0,62157.0
2010-02-26,309246040.0,17730810.0,725062.0,542092.0,493245.0,17694130.0,60573.0
