date,sbl_bal_k,sbl_sell_k
2009-01-05,772526.0,76883.0
2009-01-06,811175.0,93575.0
2009-01-07,845377.0,91048.0
2009-01-08,774328.0,70851.0
2009-01-09,805561.0,94533.0
2009-01-10,817227.0,91042.0
2009-01-12,832179.0,89248.0
2009-01-13,832239.0,79519.0
2009-01-14,854568.0,76168.0
2009-01-15,832043.0,94842.0
2009-01-16,849008.0,95809.0
2009-01-17,873915.0,73519.0
2009-01-19,885305.0,63190.0
2009-01-20,848333.0,68400.0
2009-01-21,828023.0,79238.0
2009-02-02,851929.0,82612.0
2009-02-03,888569.0,110699.0
2009-02-04,940960.0,103515.0
2009-02-05,948107.0,74286.0
2009-02-06,953244.0,90361.0
2009-02-09,955021.0,90946.0
2009-02-10,945208.0,78081.0
2009-02-11,906784.0,87192.0
2009-02-12,868823.0,83553.0
2009-02-13,864984.0,104813.0
2009-02-16,859025.0,67779.0
2009-02-17,833346.0,73523.0
2009-02-18,821058.0,82412.0
2009-02-19,836268.0,98804.0
2009-02-20,818442.0,71075.0
2009-02-23,823703.0,84870.0
2009-02-24,817851.0,65599.0
2009-02-25,830947.0,67211.0
2009-02-26,842482.0,64405.0
2009-02-27,848455.0,82362.0
2009-03-02,830930.0,87697.0
2009-03-03,799112.0,98093.0
2009-03-04,836925.0,113687.0
2009-03-05,843151.0,77645.0
2009-03-06,861138.0,89057.0
2009-03-09,853466.0,72186.0
2009-03-10,856431.0,86627.0
2009-03-11,835858.0,77972.0
2009-03-12,844565.0,69762.0
2009-03-13,815839.0,88868.0
2009-03-16,804035.0,74212.0
2009-03-17,798478.0,80406.0
2009-03-18,801925.0,81680.0
2009-03-19,811474.0,85028.0
2009-03-20,766898.0,72295.0
2009-03-23,783765.0,86202.0
2009-03-24,791862.0,85796.0
2009-03-25,776443.0,99539.0
2009-03-26,782354.0,101069.0
2009-03-27,751724.0,73673.0
2009-03-30,647498.0,64543.0
2009-03-31,627346.0,65240.0
2009-04-01,639579.0,77462.0
2009-04-02,619528.0,86761.0
2009-04-03,563797.0,112939.0
2009-04-06,536313.0,76465.0
2009-04-07,500337.0,69004.0
2009-04-08,448501.0,66058.0
2009-04-09,456423.0,111171.0
2009-04-10,414178.0,88471.0
2009-04-13,371639.0,82961.0
2009-04-14,391523.0,82705.0
2009-04-15,390550.0,57044.0
2009-04-16,430188.0,85473.0
2009-04-17,413463.0,114762.0
2009-04-20,400805.0,107741.0
2009-04-21,454845.0,131291.0
2009-04-22,525183.0,117298.0
2009-04-23,556122.0,108162.0
2009-04-24,590588.0,111322.0
2009-04-27,565284.0,108305.0
2009-04-28,522162.0,102148.0
2009-04-29,549350.0,136105.0
2009-04-30,585850.0,129091.0
2009-05-04,631139.0,132826.0
2009-05-05,687776.0,162436.0
2009-05-06,771854.0,203844.0
2009-05-07,792885.0,149352.0
2009-05-08,799223.0,127156.0
2009-05-11,825414.0,113545.0
2009-05-12,791514.0,112145.0
2009-05-13,810859.0,110909.0
2009-05-14,802655.0,104711.0
2009-05-15,834978.0,116182.0
2009-05-18,849320.0,93812.0
2009-05-19,854215.0,94615.0
2009-05-20,881987.0,104690.0
2009-05-21,906319.0,105422.0
2009-05-22,920700.0,103327.0
2009-05-25,918358.0,84965.0
2009-05-26,887798.0,84914.0
2009-05-27,903379.0,110319.0
2009-06-01,919645.0,80429.0
2009-06-02,938992.0,92421.0
2009-06-03,917304.0,70369.0
2009-06-04,910782.0,77773.0
2009-06-05,918035.0,61561.0
2009-06-06,935908.0,64851.0
2009-06-08,937466.0,88934.0
2009-06-09,822091.0,77698.0
2009-06-10,845845.0,113207.0
2009-06-11,866564.0,115566.0
2009-06-12,897226.0,100832.0
2009-06-15,852765.0,96700.0
2009-06-16,787345.0,102946.0
2009-06-17,813277.0,104982.0
2009-06-18,807497.0,91194.0
2009-06-19,815065.0,95782.0
2009-06-22,819241.0,83218.0
2009-06-23,798958.0,66401.0
2009-06-24,794903.0,102197.0
2009-06-25,796605.0,77026.0
2009-06-26,805775.0,74441.0
2009-06-29,787530.0,58507.0
2009-06-30,804702.0,91814.0
2009-07-01,802805.0,91151.0
2009-07-02,807617.0,78434.0
2009-07-03,796747.0,64548.0
2009-07-06,792284.0,51760.0
2009-07-07,785365.0,52324.0
2009-07-08,769505.0,54714.0
2009-07-09,777807.0,69543.0
2009-07-10,765144.0,49741.0
2009-07-13,746808.0,87717.0
2009-07-14,770182.0,94028.0
2009-07-15,781533.0,85186.0
2009-07-16,794109.0,67692.0
2009-07-17,803753.0,67269.0
2009-07-20,809127.0,65024.0
2009-07-21,824369.0,75380.0
2009-07-22,847316.0,82826.0
2009-07-23,832922.0,60812.0
2009-07-24,851605.0,89751.0
2009-07-27,869279.0,83457.0
2009-07-28,897610.0,89667.0
2009-07-29,901935.0,80872.0
2009-07-30,894484.0,84696.0
2009-07-31,924416.0,98336.0
2009-08-03,909459.0,70770.0
2009-08-04,903620.0,108798.0
2009-08-05,894966.0,112577.0
2009-08-06,891246.0,113973.0
2009-08-10,913380.0,96860.0
2009-08-11,888565.0,88502.0
2009-08-12,914012.0,87426.0
2009-08-13,963117.0,103205.0
2009-08-14,972813.0,73106.0
2009-08-17,913328.0,63025.0
2009-08-18,854086.0,69826.0
2009-08-19,882670.0,96456.0
2009-08-20,841582.0,74376.0
2009-08-21,872943.0,104695.0
2009-08-24,908358.0,105976.0
2009-08-25,930951.0,81073.0
2009-08-26,931130.0,100254.0
2009-08-27,932420.0,90463.0
2009-08-28,941421.0,96244.0
2009-08-31,950498.0,78686.0
2009-09-01,935747.0,95039.0
2009-09-02,949993.0,85532.0
2009-09-03,965678.0,83425.0
2009-09-04,979906.0,70397.0
2009-09-07,1008430.0,80130.0
2009-09-08,1025243.0,81882.0
2009-09-09,1034691.0,74196.0
2009-09-10,1031688.0,81439.0
2009-09-11,1058718.0,79672.0
2009-09-14,1052028.0,62060.0
2009-09-15,1064791.0,72892.0
2009-09-16,1086788.0,75436.0
2009-09-17,1097905.0,68071.0
2009-09-18,1104959.0,66928.0
2009-09-21,1108628.0,61370.0
2009-09-22,1109855.0,53863.0
2009-09-23,1078761.0,56949.0
2009-09-24,1091737.0,82114.0
2009-09-25,1098295.0,69369.0
2009-09-28,1065949.0,44376.0
2009-09-29,1084872.0,72897.0
2009-09-30,1103377.0,81005.0
2009-10-01,1107445.0,68092.0
2009-10-02,1085755.0,56964.0
2009-10-05,1091768.0,58571.0
2009-10-06,1113551.0,71749.0
2009-10-07,1130916.0,75362.0
2009-10-08,1123341.0,62136.0
2009-10-09,1136590.0,66388.0
2009-10-12,1151187.0,65293.0
2009-10-13,1135049.0,62906.0
2009-10-14,1150797.0,73263.0
2009-10-15,1159672.0,67761.0
2009-10-16,1159383.0,48472.0
2009-10-19,1164242.0,53682.0
2009-10-20,1151098.0,50463.0
2009-10-21,1135512.0,57707.0
2009-10-22,1102057.0,52019.0
2009-10-23,1119369.0,68497.0
2009-10-26,1117509.0,49660.0
2009-10-27,1092369.0,46725.0
2009-10-28,1065609.0,54051.0
2009-10-29,951262.0,61755.0
2009-10-30,980133.0,86354.0
2009-11-02,936965.0,61553.0
2009-11-03,954839.0,64761.0
2009-11-04,968693.0,78566.0
2009-11-05,981501.0,57190.0
2009-11-06,1002653.0,61762.0
2009-11-09,1002562.0,48826.0
2009-11-10,997595.0,48673.0
2009-11-11,999951.0,55165.0
2009-11-12,1012948.0,60722.0
2009-11-13,1015628.0,54618.0
2009-11-16,1040099.0,72342.0
2009-11-17,1049613.0,73219.0
2009-11-18,1057377.0,75974.0
2009-11-19,1066032.0,69089.0
2009-11-20,1024949.0,55091.0
2009-11-23,1023072.0,52054.0
2009-11-24,1029292.0,54503.0
2009-11-25,1033955.0,58354.0
2009-11-26,1031763.0,45950.0
2009-11-27,954664.0,53612.0
2009-11-30,967280.0,57321.0
2009-12-01,968678.0,64222.0
2009-12-02,976251.0,59039.0
2009-12-03,967837.0,40881.0
2009-12-04,983053.0,59715.0
2009-12-07,981767.0,54761.0
2009-12-08,975311.0,44395.0
2009-12-09,977284.0,59679.0
2009-12-10,949074.0,56689.0
2009-12-11,967980.0,62488.0
2009-12-14,972479.0,46278.0
2009-12-15,963427.0,45822.0
2009-12-16,957715.0,47214.0
2009-12-17,930967.0,40725.0
2009-12-18,921364.0,50236.0
2009-12-21,926562.0,45378.0
2009-12-22,925050.0,43725.0
2009-12-23,936758.0,53724.0
2009-12-24,934768.0,51379.0
2009-12-25,944972.0,50378.0
2009-12-28,965787.0,69370.0
2009-12-29,970028.0,51213.0
2009-12-30,990090.0,63566.0
2009-12-31,1003556.0,61259.0
2010-01-04,1022627.0,74774.0
2010-01-05,1003840.0,59380.0
2010-01-06,1025675.0,77944.0
2010-01-07,1018968.0,74898.0
2010-01-08,1013486.0,77733.0
2010-01-11,1025298.0,70904.0
2010-01-12,1002211.0,56518.0
2010-01-13,972454.0,55069.0
2010-01-14,990045.0,71280.0
2010-01-15,1016610.0,81972.0
2010-01-18,1018194.0,64816.0
2010-01-19,978685.0,51819.0
2010-01-20,965758.0,53504.0
2010-01-21,930582.0,46305.0
2010-01-22,872575.0,50984.0
2010-01-25,850391.0,54403.0
2010-01-26,773803.0,56691.0
2010-01-27,737017.0,67296.0
2010-01-28,762447.0,99886.0
2010-01-29,743436.0,60963.0
2010-02-01,742470.0,55710.0
2010-02-02,726295.0,61530.0
2010-02-03,737335.0,77238.0
2010-02-04,744689.0,54488.0
2010-02-05,698701.0,68651.0
2010-02-06,657642.0,58051.0
2010-02-08,673040.0,65791.0
2010-02-09,652698.0,67071.0
2010-02-10,629776.0,51674.0
2010-02-22,659771.0,62902.0
2010-02-23,684972.0,66408.0
2010-02-24,696484.0,53112.0
2010-02-25,713968.0,62157.0
2010-02-26,725060.0,60573.0
2010-03-01,729592.0,62488.0
2010-03-02,737852.0,47580.0
2010-03-03,763314.0,54957.0
2010-03-04,765443.0,48957.0
2010-03-05,781588.0,53777.0
2010-03-08,794586.0,56222.0
2010-03-09,795600.0,40609.0
2010-03-10,773000.0,40053.0
2010-03-11,776430.0,42406.0
2010-03-12,777907.0,40875.0
2010-03-15,762026.0,35769.0
2010-03-16,764662.0,44743.0
2010-03-17,775689.0,57257.0
2010-03-18,725931.0,66556.0
2010-03-19,720171.0,50019.0
2010-03-22,712386.0,47513.0
2010-03-23,693833.0,39389.0
2010-03-24,687008.0,42752.0
2010-03-25,668962.0,41385.0
2010-03-26,653561.0,39295.0
2010-03-29,627832.0,34356.0
2010-03-30,601347.0,28893.0
2010-03-31,564625.0,34734.0
2010-04-01,517312.0,35243.0
2010-04-02,501304.0,35498.0
2010-04-06,469945.0,33452.0
2010-04-07,423989.0,27921.0
2010-04-08,344005.0,44140.0
2010-04-09,263287.0,30880.0
2010-04-12,227518.0,30825.0
2010-04-13,219368.0,23238.0
2010-04-14,223759.0,35304.0
2010-04-15,242198.0,57591.0
2010-04-16,245505.0,62408.0
