cell,regime,series,family,transform,window,variant,sign,SR_IS,SR_OOS1,SR_OOS2,is_mirror,full_sign,n_bars,SR_gross,SR_net,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,start_date,end_date,beta_per_w
full|adv_share|selfz|w20|c2c,full,adv_share,breadth,selfz,20,c2c,-1,0.3468313401381066,-0.8214451743999106,0.7756576220805937,True,-1,4262,0.4920190770552394,0.25181726224397327,0.11459842546050125,0.5555555555555556,-2.243141742101631,18,0.06149016940679199,-0.0015269736840523786,0.582805568354389,-67.00033006343045,3587,182.10708327799145,99.3430314406382,2009-04-24,2026-09-02,0.10550717554126286
full|adv_share|selfz|w20|o2o,full,adv_share,breadth,selfz,20,o2o,-1,-0.31355189325649807,-0.6108338941936382,0.7070003961991528,True,-1,4262,0.19170636861016796,-0.05161907575226325,-0.08922325569348455,0.5,-1.7515847664490978,18,0.0500876864757921,-0.0015269736840523786,0.582805568354389,-75.57818435544466,4256,182.10708327799145,99.3430314406382,2009-04-24,2026-09-02,0.08594236087554859
full|adv_share|selfz|w20|day,full,adv_share,breadth,selfz,20,day,1,-0.18332267809942088,-0.49517136747149715,-0.07358706269764623,True,1,4263,0.1320085422112473,-0.22203802265459877,-0.40483956467790766,0.3333333333333333,-1.9600020160250216,18,-0.11622543505606556,0.0016689316889208438,0.5828111720091119,-55.263665582256884,3680,182.14594047005485,99.3431855500821,2009-04-23,2026-09-02,-0.19942211240632915
full|adv_share|selfz|w60|c2c,full,adv_share,breadth,selfz,60,c2c,-1,0.23217571502087472,-0.7124898844575186,0.787412776404514,True,-1,4242,0.45472005399055626,0.22123101002152448,0.13759937478650844,0.6111111111111112,-1.8703413666930797,18,0.07619989414126557,-0.002724224670362375,0.5802052824790502,-69.84592166283446,3586,180.41274371121466,99.19849127769919,2009-05-25,2026-09-02,0.13133264456966912
full|adv_share|selfz|w60|o2o,full,adv_share,breadth,selfz,60,o2o,1,-0.3291106758753752,0.08439531817061968,-1.025075949344634,True,1,4242,-0.21683287067214807,-0.4562144918610181,-0.49512377013113773,0.3888888888888889,-2.2253910511784105,18,-0.07717471627378342,0.002724224670362375,0.5802052824790502,-110.81775821987901,3679,180.41274371121466,99.19849127769919,2009-05-25,2026-09-02,-0.13301277772590772
full|adv_share|selfz|w60|day,full,adv_share,breadth,selfz,60,day,1,-0.2209554576272222,-0.5006758351618157,-0.020407644952562278,True,1,4243,0.11649188868591316,-0.22857221804474587,-0.4090639369910668,0.3333333333333333,-2.0579771167962777,18,-0.14551424704806015,0.0028593509333213808,0.5802043066779488,-52.65706220061854,3680,180.4373944989428,99.19868017911855,2009-05-22,2026-09-02,-0.25079828841882423
full|adv_share|selfz|w120|c2c,full,adv_share,breadth,selfz,120,c2c,-1,0.20797065920250693,-0.7163429028084534,0.8502388581027053,True,-1,4212,0.45768712365524533,0.2272098876988278,0.15669845650559383,0.5555555555555556,-1.9385454236259356,18,0.08155434698327015,-0.005455283646960367,0.5775652022347241,-65.35482707143998,3584,180.03842464777918,99.31149097815765,2009-07-07,2026-09-02,0.14120370594994094
full|adv_share|selfz|w120|o2o,full,adv_share,breadth,selfz,120,o2o,-1,-0.3210777058141814,-0.5174612094713623,0.8055743426451938,True,-1,4212,0.24049017182569118,0.003153405422645418,-0.08681044697846702,0.6111111111111112,-2.0277263361748585,18,0.07105241676197063,-0.005455283646960367,0.5775652022347241,-66.75955316239587,4207,180.03842464777918,99.31149097815765,2009-07-07,2026-09-02,0.12302059834466054
full|adv_share|selfz|w120|day,full,adv_share,breadth,selfz,120,day,1,-0.2817404331529095,-0.5391410009230252,-0.02884926661873501,True,1,4213,0.07655856104798589,-0.2692312437401146,-0.4062205691341934,0.3333333333333333,-1.93359307564034,18,-0.14225303411207105,0.005594112256007934,0.5775682345184482,-59.186147395696466,4052,180.06816673552655,99.31165440303822,2009-07-06,2026-09-02,-0.24629649902868286
full|adv_share|selfz|w252|c2c,full,adv_share,breadth,selfz,252,c2c,-1,0.12789943086207523,-0.6842873134120429,0.8731487765898092,True,-1,4146,0.43504326492010675,0.20788318892114252,0.09186903310985195,0.5,-1.9577144867584289,18,0.09171768119081485,-0.003929485865788978,0.5766489406730977,-65.85993294211947,3577,179.67787926877548,99.27641099855282,2009-10-08,2026-09-02,0.15905289114683313
