cell,regime,series,family,transform,window,variant,sign,SR_IS,SR_OOS1,SR_OOS2,is_mirror,full_sign,n_bars,SR_gross,SR_net,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,start_date,end_date,beta_per_w
night|short_fin|robustz|w120|c2c,night,short_fin,leverage,robustz,120,c2c,-1,0.7337260807692628,0.5314723305238934,,False,-1,2270,0.651702542239292,0.6389660612599353,1.0663226997314788,0.9,-0.512027116738047,10,0.05731468344413355,-0.03390155414797703,0.544184113828608,-22.962479096400674,406,12.427295670070913,99.2511013215859,2017-05-16,2026-09-02,0.10532222824531945
night|trust_gross|selfz|w120|o2o,night,trust_gross,flow,selfz,120,o2o,-1,0.524273812505263,0.3990045395203841,,False,-1,2270,0.589076878899921,0.4696748135115818,0.990314575657945,0.9,-0.08665408470371004,10,0.10287959960885996,0.06074478326616134,0.5077510788188012,-18.861602325048636,521,96.12084964821673,99.20704845814979,2017-05-16,2026-09-02,0.20261818024728243
night|trust_gross|signth|w120|o2o,night,trust_gross,flow,signth,120,o2o,-1,0.4072805319411318,0.11910563595840994,,False,-1,2270,0.39695137136574493,0.283637395396266,0.9664194628620972,0.7,-0.111605459349318,10,0.021917442539379568,-0.0029198455624974786,0.5571548398081867,-30.087531116043998,329,102.44840798374669,98.94273127753304,2017-05-16,2026-09-02,0.03933815337030035
night|trust_gross|bdtanh|w252|o2o,night,trust_gross,flow,bdtanh,252,o2o,-1,0.5636049197838685,0.4605950112516904,,False,-1,2270,0.6263768072294907,0.5150937470449758,0.9370927738227144,0.8,-0.1336897984559476,10,0.09035564910841579,0.03493120684865619,0.6257067340511542,-22.947193493202203,321,106.22706679323159,99.60352422907489,2017-05-16,2026-09-02,0.1444057482383254
night|trust_gross|selfz|w252|o2o,night,trust_gross,flow,selfz,252,o2o,-1,0.6061828485075974,0.5224537434788213,,False,-1,2270,0.6793029607529163,0.5693328404486605,0.9309231020347988,0.8,-0.22187899813008433,10,0.11508920047579502,0.05842320815735142,0.5240050938645706,-20.219016364577307,522,91.37298334807797,99.29515418502203,2017-05-16,2026-09-02,0.21963374368559074
night|short_fin|robustz|w120|o2o,night,short_fin,leverage,robustz,120,o2o,-1,0.718341704655179,0.5704401737785664,,False,-1,2270,0.6626845119176673,0.6493932716517952,0.9288304697967271,0.9,-0.7472199020095497,10,0.03916637200540383,-0.03390155414797703,0.544184113828608,-22.587056328138754,405,12.427295670070913,99.2511013215859,2017-05-16,2026-09-02,0.07197264861307466
night|trust_gross|bdtanh|w120|o2o,night,trust_gross,flow,bdtanh,120,o2o,-1,0.47652867686190953,0.3799594906550099,,False,-1,2270,0.5529181090636857,0.43236955527826615,0.9144439644270752,0.8,-0.27837070972410133,10,0.07239545374594113,0.03269441267008426,0.6195419753563505,-22.751544261182183,329,113.45115231881307,99.77973568281938,2017-05-16,2026-09-02,0.1168531861046226
night|sbl_sell|bdtanh|w252|o2o,night,sbl_sell,leverage,bdtanh,252,o2o,-1,0.5824367413632456,1.2852289406577084,,False,-1,2270,0.9686425373607201,0.8910817814402765,0.909720017242123,0.7,-0.515423620933841,10,-0.005662226510676662,0.10916461387229523,0.6240468782524698,-20.32761625088017,456,79.99802642505492,98.98678414096916,2017-05-16,2026-09-02,-0.009073399303803426
night|trust_gross|robustz|w252|o2o,night,trust_gross,flow,robustz,252,o2o,-1,0.6054541583776862,0.42233072750102946,,False,-1,2270,0.641202316593358,0.5297205973920933,0.8951597368356881,0.7,-0.17892458683140047,10,0.1014713605175002,0.026699472072815606,0.5146372910678836,-20.38426344189424,531,89.45293180144606,99.03083700440529,2017-05-16,2026-09-02,0.1971706331403714
night|trust_gross|dev|w252|o2o,night,trust_gross,flow,dev,252,o2o,-1,0.6017491380016795,0.3768008788859041,,False,-1,2270,0.6151612304964238,0.5044063711515894,0.8903765425298886,0.7,-0.24605614887219407,10,0.10461393270893028,0.041824405293763765,0.5286045869434459,-20.240505381533115,523,92.28561880888789,99.47136563876651,2017-05-16,2026-09-02,0.19790583603112522
night|trust_gross|selfz|w252|day,night,trust_gross,flow,selfz,252,day,-1,0.7862761920801125,0.46139604564084874,,False,-1,2270,0.8265689118559582,0.6582270400459846,0.8803526171904312,0.8,-0.48102975230356065,10,0.10081370501181328,0.05776002794910279,0.5241151358638394,-8.906242919541906,291,91.45790613499976,99.29515418502203,2017-05-16,2026-09-02,0.19235030265945957
night|trust_gross|robustz|w252|day,night,trust_gross,flow,robustz,252,day,-1,0.8560199919541548,0.360084462700573,,False,-1,2270,0.8374122082754685,0.6667201196365266,0.8715349259793214,0.8,-0.4286020506650079,10,0.08075823155565721,0.02614400484468762,0.5147329769930815,-9.176788577866457,505,89.53376360188292,99.03083700440529,2017-05-16,2026-09-02,0.1568934479920502
night|trust_gross|dev|w252|day,night,trust_gross,flow,dev,252,day,-1,0.803914796948444,0.3707319428028603,,False,-1,2270,0.8022386001956177,0.6316523001497144,0.8582566659547552,0.8,-0.47605248898921393,10,0.08924232509139653,0.04125682343301561,0.52872748557848,-9.000070618815526,291,92.34509015168783,99.47136563876651,2017-05-16,2026-09-02,0.1687869980766304
night|short_fin|robustz|w120|day,night,short_fin,leverage,robustz,120,day,-1,0.44060542103981065,0.4406260654440659,,False,-1,2270,0.4607510224817744,0.4407095299954872,0.853399768847322,0.8,-0.5498417451182118,10,0.03564205617321332,-0.03446479394583041,0.544157414600565,-18.683439930670527,755,12.427027783556124,99.2511013215859,2017-05-16,2026-09-02,0.06549953233546606
