cand,family,series,kind,periods,pub_lag_days,first_obs,transform,window,sign_IS,SR_IS,SR_OOS,SR_full,SR_full_gross,SR_full_stubcost,SR_of_SR,positive_years,n_years,beta,mean_pos,max_dd_days,max_dd_pct,turnover_ann,held_pct,tcost_pct_of_gross,gate_srsr,gate_posyr,gate_beta,gate_nyr,gate_oos,n_gates
igrea_level|selfz|w120,commodity,igrea,level,0,40,1968-01-01,selfz,120,1,0.522,0.606,0.545,0.554,0.551,0.494,0.692,26,-0.031,0.05392387266180022,1557,-28.38,6.84,99.25,1.59,False,True,True,True,True,4
igrea_level|bdtanh|w120,commodity,igrea,level,0,40,1968-01-01,bdtanh,120,1,0.544,0.474,0.523,0.531,0.528,0.519,0.654,26,-0.026,0.05882966729853779,1251,-33.86,6.14,99.64,1.42,False,True,True,True,True,4
kr_kospi_yoy|signth|w120,kr_tech_demand,kr_kospi,yoy,12,31,1981-01-01,signth,120,1,0.379,0.683,0.455,0.461,0.459,0.306,0.654,26,-0.043,0.023851694633722036,3838,-49.68,5.01,99.17,1.37,False,True,True,True,True,4
igrea_level|selfz|w60,commodity,igrea,level,0,40,1968-01-01,selfz,60,1,0.43,0.424,0.428,0.443,0.438,0.277,0.654,26,-0.054,0.03222931153264343,3892,-50.71,10.85,99.35,3.42,False,True,True,True,True,4
igrea_level|dev|w60,commodity,igrea,level,0,40,1968-01-01,dev,60,1,0.383,0.547,0.424,0.436,0.432,0.346,0.654,26,-0.077,0.033829941546739885,2486,-41.76,8.54,99.37,2.59,False,True,True,True,True,4
igrea_level|dev|w252,commodity,igrea,level,0,40,1968-01-01,dev,252,1,0.25,0.865,0.42,0.426,0.424,0.531,0.72,25,0.001,0.07228148239128589,1218,-42.93,5.04,99.47,1.37,False,True,True,True,True,4
igrea_level|selfz|w252,commodity,igrea,level,0,40,1968-01-01,selfz,252,1,0.232,0.884,0.419,0.426,0.424,0.511,0.68,25,-0.001,0.07769644812387429,1148,-43.65,5.26,99.51,1.51,False,True,True,True,True,4
igrea_level|bdtanh|w252,commodity,igrea,level,0,40,1968-01-01,bdtanh,252,1,0.228,0.901,0.416,0.422,0.42,0.577,0.72,25,0.007,0.07850225449977818,1290,-45.45,4.83,99.62,1.35,False,True,True,True,True,4
igrea_level|rankc|w252,commodity,igrea,level,0,40,1968-01-01,rankc,252,1,0.268,0.779,0.407,0.413,0.411,0.546,0.68,25,-0.006,0.07366099148452811,867,-42.96,5.44,99.49,1.55,False,True,True,True,True,4
epu_global_level|robustz|w120,risk,epu_global,level,0,31,1997-01-01,robustz,120,-1,0.492,0.082,0.372,0.383,0.38,0.439,0.68,25,-0.023,0.05351222067508621,1367,-31.12,7.88,99.29,2.83,False,True,True,True,True,4
us_dgs5_level|rankc|w252,rates,us_dgs5,level,0,0,1962-01-02,rankc,252,-1,0.455,0.129,0.35,0.38,0.37,0.386,0.68,25,0.06,-0.02286433625774567,875,-49.27,23.7,99.54,8.05,False,True,True,True,True,4
igrea_level|signth|w252,commodity,igrea,level,0,40,1968-01-01,signth,252,1,0.112,0.927,0.345,0.35,0.348,0.313,0.654,26,-0.1,0.017056277892014093,1455,-82.22,4.4,99.83,1.5,False,True,True,True,True,4
