regime,cand,variant,lag,sign_IS,SR_IS,SR_OOS,SR_net,SR_of_SR,positive_years,n_years,beta,mean_exec_w
full,us_dxy_broad|selfz|w60,c2c,1,-1,0.3467835701249575,0.11545063277734087,0.25892903853258725,0.19402417678086079,0.6190476190476191,21,-0.17105438268497095,-0.0040318277646730315
full,us_dxy_broad|selfz|w60,c2c,2,-1,0.20242720150275928,0.16838848991037003,0.1896868941184138,0.0757807772577119,0.5238095238095238,21,-0.16592838428204215,-0.004208791844507864
full,us_dxy_broad|selfz|w60,o2o,1,-1,0.37152326297398225,0.21855018387313668,0.3164372018943059,0.2604699070806832,0.6190476190476191,21,-0.21784819009691264,-0.0040318277646730315
full,us_dxy_broad|selfz|w60,o2o,2,-1,0.21903874073250879,0.19266021593773255,0.20952179291662898,0.12632101558962622,0.6190476190476191,21,-0.20060374512311077,-0.004208791844507864
full,us_dxy_broad|selfz|w60,day,1,1,0.024578416929826902,-0.2307727488796166,-0.05987434131163727,-0.15755288193496217,0.3333333333333333,21,0.17267894053199057,0.0040318277646730315
full,us_dxy_broad|selfz|w60,day,2,1,0.07879197478950643,-0.19468183026110372,-0.011276218304314314,-0.0765080069044319,0.47619047619047616,21,0.16441354482578982,0.004208791844507864
full,us_dxy_broad|selfz|w120,c2c,1,-1,0.4156546425871414,0.35255882305974423,0.3914012277005049,0.3822485232481087,0.6666666666666666,21,-0.2129988185502538,-0.00020010828684064965
full,us_dxy_broad|selfz|w120,c2c,2,-1,0.2953862466552404,0.3636036532421508,0.3212958205905448,0.252813742241812,0.5238095238095238,21,-0.20636583556123622,-0.00034198579593835326
full,us_dxy_broad|selfz|w120,o2o,1,-1,0.4272673791823045,0.40179051521593695,0.4179179436231728,0.49274491590811204,0.7142857142857143,21,-0.24632573536356495,-0.00020010828684064965
full,us_dxy_broad|selfz|w120,o2o,2,-1,0.3339577460698117,0.3958253845057873,0.3556487053500805,0.31552489715220383,0.6190476190476191,21,-0.2315356737057525,-0.00034198579593835326
full,us_dxy_broad|selfz|w120,day,1,-1,-0.01170373331256429,0.3753965122706479,0.11845177004667848,0.18510297342317558,0.6666666666666666,21,-0.20311010793068351,-0.00020010828684064965
full,us_dxy_broad|selfz|w120,day,2,1,0.036346797901685844,-0.39930040770513137,-0.10817860319268577,-0.18176441286236272,0.42857142857142855,21,0.19680911882181884,0.00034198579593835326
full,us_dxy_broad|selfz|w252,c2c,1,-1,0.3068241745352756,0.3987748761136738,0.3426740140144192,0.4310501205898898,0.6666666666666666,21,-0.24364215055794064,0.019986035808114613
full,us_dxy_broad|selfz|w252,c2c,2,-1,0.24518430309878508,0.41361002246214346,0.3104258778331224,0.3541492109552653,0.5714285714285714,21,-0.23296431422138075,0.019833977772700885
full,us_dxy_broad|selfz|w252,o2o,1,-1,0.29728278898125216,0.45194587911506423,0.3534254710140252,0.43246048743108917,0.7142857142857143,21,-0.2746882299162115,0.019986035808114613
full,us_dxy_broad|selfz|w252,o2o,2,-1,0.25454424466225223,0.45767942578741866,0.3281369045919162,0.38011338073614687,0.6666666666666666,21,-0.2623937630240722,0.019833977772700885
full,us_dxy_broad|selfz|w252,day,1,1,0.008747524727873478,-0.32946137651330365,-0.10802554528809591,-0.22135364080622882,0.38095238095238093,21,0.2247875176780738,-0.019986035808114613
full,us_dxy_broad|selfz|w252,day,2,1,0.0573083210061103,-0.29160644662151197,-0.06232756521521822,-0.17587052919650029,0.38095238095238093,21,0.21506272485046718,-0.019833977772700885
full,us_dxy_broad|robustz|w60,c2c,1,-1,0.4805023857342949,0.22911336160909376,0.38063509612974766,0.332477340084667,0.5714285714285714,21,-0.11925926894395833,0.027123587558588017
full,us_dxy_broad|robustz|w60,c2c,2,-1,0.3448638252774844,0.24474451983986062,0.3052709714320979,0.24054628382030532,0.5714285714285714,21,-0.11696311871028789,0.02698169745984791
full,us_dxy_broad|robustz|w60,o2o,1,-1,0.47410260436738294,0.3039962946189546,0.4100934636290665,0.3722215223481444,0.6190476190476191,21,-0.1657651833111556,0.027123587558588017
full,us_dxy_broad|robustz|w60,o2o,2,-1,0.35198558157351967,0.2604890901048117,0.31788118671761206,0.2768275887706399,0.5714285714285714,21,-0.15502102895158784,0.02698169745984791
full,us_dxy_broad|robustz|w60,day,1,-1,-0.0018965589450454178,0.15091461979323245,0.05151741999957486,0.11428584099391076,0.6190476190476191,21,-0.13265664640612942,0.027123587558588017
full,us_dxy_broad|robustz|w60,day,2,1,-0.026999978590993005,-0.19263597488901515,-0.08460231098056976,-0.14872116295787582,0.38095238095238093,21,0.12956557903116733,-0.02698169745984791
full,us_dxy_broad|robustz|w120,c2c,1,-1,0.44937070818865243,0.33455632815068626,0.40554189175606653,0.4399273225119418,0.6190476190476191,21,-0.20260484068984738,0.02179586191991761
full,us_dxy_broad|robustz|w120,c2c,2,-1,0.3778149183890269,0.2531963015277131,0.3303133854985485,0.3215204688243659,0.6190476190476191,21,-0.19290277316169258,0.021701433037645282
full,us_dxy_broad|robustz|w120,o2o,1,-1,0.43433186286147346,0.343089387489004,0.40149179455788253,0.48991492016810845,0.7142857142857143,21,-0.24731367401864585,0.02179586191991761
full,us_dxy_broad|robustz|w120,o2o,2,-1,0.37106060204430047,0.32196530720241334,0.3532068534989778,0.37708699389740513,0.6666666666666666,21,-0.23484725954932512,0.021701433037645282
full,us_dxy_broad|robustz|w120,day,1,-1,0.09357560204457625,0.3468512932309121,0.17772882966682413,0.2360596614471964,0.7142857142857143,21,-0.209888866199201,0.02179586191991761
full,us_dxy_broad|robustz|w120,day,2,-1,0.04427721838190839,0.25597953558661346,0.11433277458653796,0.15228318198152735,0.6666666666666666,21,-0.20145505392110177,0.021701433037645282
full,us_dxy_broad|robustz|w252,c2c,1,-1,0.2849785945722031,0.3391169535306067,0.30582788421263063,0.3985789663177166,0.7,20,-0.29317300673672353,-0.023073327247976325
full,us_dxy_broad|robustz|w252,c2c,2,-1,0.24433055338160398,0.35884832782491916,0.288195964228739,0.3561134640733774,0.65,20,-0.284018497297786,-0.02326889442908671
full,us_dxy_broad|robustz|w252,o2o,1,-1,0.26719503869446254,0.3757400411455465,0.3053761195113659,0.39597014123341384,0.7,20,-0.3214319246424252,-0.023073327247976325
full,us_dxy_broad|robustz|w252,o2o,2,-1,0.2316162729751272,0.40011104020862587,0.29119020391757233,0.36761103203459145,0.7,20,-0.31331845953906134,-0.02326889442908671
full,us_dxy_broad|robustz|w252,day,1,1,0.056718101196971966,-0.3396268699862338,-0.07660826082084457,-0.20310550459382337,0.35,20,0.27444704742056664,0.023073327247976325
full,us_dxy_broad|robustz|w252,day,2,1,0.07507076135064601,-0.30510673935182914,-0.052292248956638906,-0.16722972747303252,0.4,20,0.26643952220887335,0.02326889442908671
full,us_dxy_broad|bdtanh|w60,c2c,1,-1,0.2459708387374056,0.12443885000040392,0.20037966698343296,0.1408754684036543,0.6666666666666666,21,-0.17565844325295896,-0.011464539009185495
full,us_dxy_broad|bdtanh|w60,c2c,2,-1,0.10553278797539613,0.16880252870943974,0.1291327627527472,0.029673915805386315,0.42857142857142855,21,-0.16815850578598457,-0.011639721307033979
full,us_dxy_broad|bdtanh|w60,o2o,1,-1,0.31938677433203594,0.2609536464189562,0.29842857918164273,0.19643958991180946,0.7142857142857143,21,-0.21679585651576921,-0.011464539009185495
full,us_dxy_broad|bdtanh|w60,o2o,2,-1,0.11497814566827562,0.19041057316226442,0.1415991206776793,0.06747847741803789,0.5714285714285714,21,-0.19999849270374973,-0.011639721307033979
full,us_dxy_broad|bdtanh|w60,day,1,1,0.12995933701917695,-0.20069545952496412,0.022270916896588146,-0.09785115727864982,0.2857142857142857,21,0.17068890415870788,0.011464539009185495
full,us_dxy_broad|bdtanh|w60,day,2,1,0.1648022105793063,-0.1710224249289613,0.05550407958841026,-0.03227061005942843,0.5238095238095238,21,0.15932653664645474,0.011639721307033979
full,us_dxy_broad|bdtanh|w120,c2c,1,-1,0.3338539473183167,0.42692589722733953,0.3692425948121578,0.41022450269445543,0.5714285714285714,21,-0.216264924346137,-0.014934553787790775
full,us_dxy_broad|bdtanh|w120,c2c,2,-1,0.22462288930236138,0.4033202719209405,0.29222364258927336,0.2570851483470494,0.47619047619047616,21,-0.20830164387413744,-0.015093534951453835
full,us_dxy_broad|bdtanh|w120,o2o,1,-1,0.3925783881964699,0.4557670751075027,0.4145536046772019,0.5434242481753377,0.6666666666666666,21,-0.24849294417178755,-0.014934553787790775
full,us_dxy_broad|bdtanh|w120,o2o,2,-1,0.25368701771131,0.47289634538958353,0.3303762193720978,0.37197086305671595,0.5714285714285714,21,-0.23671400820024988,-0.015093534951453835
full,us_dxy_broad|bdtanh|w120,day,1,1,-0.0014661693320584211,-0.4340065617703819,-0.14488619451236773,-0.34775557723936756,0.23809523809523808,21,0.20048155015367985,0.014934553787790775
full,us_dxy_broad|bdtanh|w120,day,2,1,0.07515850028285967,-0.3494737689220321,-0.06477421727111463,-0.1916108710749755,0.38095238095238093,21,0.19492683013827944,0.015093534951453835
full,us_dxy_broad|bdtanh|w252,c2c,1,-1,0.2561243804518934,0.49232953915380245,0.3462289672439991,0.43852208207867005,0.7142857142857143,21,-0.24820275964648866,-0.003329611906297777
full,us_dxy_broad|bdtanh|w252,c2c,2,-1,0.2417616917755647,0.49405461037767967,0.337278215537153,0.3632987895343325,0.6190476190476191,21,-0.2383730554906669,-0.0034605812210742144
full,us_dxy_broad|bdtanh|w252,o2o,1,-1,0.266593177236806,0.5441767664649275,0.3651865464823058,0.45622593905278697,0.6666666666666666,21,-0.2733132998682698,-0.003329611906297777
full,us_dxy_broad|bdtanh|w252,o2o,2,-1,0.22407908343257904,0.5536086993584571,0.3402870578934295,0.40191531852373363,0.6190476190476191,21,-0.2665237207080525,-0.0034605812210742144
full,us_dxy_broad|bdtanh|w252,day,1,1,-0.006166017764095718,-0.27992724503321814,-0.09884410672029172,-0.2530246624444069,0.38095238095238093,21,0.21901803515491122,0.003329611906297777
full,us_dxy_broad|bdtanh|w252,day,2,1,0.0063388785789700594,-0.22061143358372756,-0.06988418746424578,-0.19394044158798693,0.42857142857142855,21,0.21147116800534768,0.0034605812210742144
full,us_dxy_broad|rankc|w60,c2c,1,-1,0.2719312761474181,0.13351880226381002,0.22047762973000146,0.1797993737564194,0.6190476190476191,21,-0.18089927252622162,-0.014404608913551964
full,us_dxy_broad|rankc|w60,c2c,2,-1,0.15711171448430725,0.17032313254596693,0.16201322171704746,0.034045016028329496,0.5238095238095238,21,-0.17436264251952666,-0.01457868666380008
full,us_dxy_broad|rankc|w60,o2o,1,-1,0.353949002425148,0.24421285860624498,0.31479314496477645,0.26621657916976016,0.6666666666666666,21,-0.22808611827159037,-0.014404608913551964
full,us_dxy_broad|rankc|w60,o2o,2,-1,0.13566653204610388,0.20997560242073154,0.16185776227100573,0.09189195347410026,0.5714285714285714,21,-0.21100897527917983,-0.01457868666380008
full,us_dxy_broad|rankc|w60,day,1,1,0.11963145376241961,-0.24352285009664776,0.001918654372409573,-0.09659273035157678,0.3333333333333333,21,0.18482715346611825,0.014404608913551964
full,us_dxy_broad|rankc|w60,day,2,1,0.11572375278297199,-0.181927320950465,0.019168398942766854,-0.021904756057557376,0.47619047619047616,21,0.17115919326326448,0.01457868666380008
full,us_dxy_broad|rankc|w120,c2c,1,-1,0.32214428793504735,0.38298573256183777,0.3450170204246571,0.3783568611480058,0.6666666666666666,21,-0.21064036831983135,-0.017562753022714376
full,us_dxy_broad|rankc|w120,c2c,2,-1,0.2565093994793651,0.39520089857286955,0.30836727247054824,0.22880887837338082,0.47619047619047616,21,-0.20712565448170311,-0.017724487320407142
full,us_dxy_broad|rankc|w120,o2o,1,-1,0.44567518895465885,0.41681105094511856,0.4350564424792578,0.5287104123316287,0.7142857142857143,21,-0.25542054354534033,-0.017562753022714376
full,us_dxy_broad|rankc|w120,o2o,2,-1,0.23207792747158973,0.43542124417225264,0.3028521277354304,0.3078848729434891,0.6190476190476191,21,-0.23931872893481224,-0.017724487320407142
full,us_dxy_broad|rankc|w120,day,1,1,0.0483296617568982,-0.43142915816295885,-0.10892722527334059,-0.265865817734706,0.3333333333333333,21,0.20785522145101756,0.017562753022714376
full,us_dxy_broad|rankc|w120,day,2,1,0.052311540398038855,-0.3900290010360416,-0.0915304437739328,-0.17337839841162433,0.42857142857142855,21,0.20168960701890298,0.017724487320407142
full,us_dxy_broad|rankc|w252,c2c,1,-1,0.29902639905084766,0.5410542193696696,0.3917275823972469,0.5055871582553051,0.7142857142857143,21,-0.22848044328588232,-0.004016104944957475
full,us_dxy_broad|rankc|w252,c2c,2,-1,0.29463028915072037,0.5284568845296139,0.3836138343284953,0.396383865242695,0.6190476190476191,21,-0.22255670178066894,-0.004136162877552929
full,us_dxy_broad|rankc|w252,o2o,1,-1,0.37956233331707895,0.5470526566206536,0.43888355043126825,0.49999623808789667,0.7619047619047619,21,-0.266848701111066,-0.004016104944957475
full,us_dxy_broad|rankc|w252,o2o,2,-1,0.241271664449524,0.580542261936255,0.36119529007592055,0.4534588857348495,0.7142857142857143,21,-0.2526530682671591,-0.004136162877552929
full,us_dxy_broad|rankc|w252,day,1,1,0.04400230685333956,-0.4356140277285017,-0.11841701024207141,-0.30315394328380085,0.38095238095238093,21,0.21819052060302122,0.004016104944957475
full,us_dxy_broad|rankc|w252,day,2,1,0.011574789396296045,-0.39561299898613483,-0.12461751612791147,-0.2484161960492327,0.42857142857142855,21,0.2108172839259694,0.004136162877552929
full,us_dxy_broad|signth|w60,c2c,1,-1,0.2555996447042843,0.15115531465711196,0.21702323656389783,0.16904501424057042,0.6190476190476191,21,-0.1601781741616732,-0.006413010215770119
full,us_dxy_broad|signth|w60,c2c,2,-1,0.10234563601390326,0.09558050988303526,0.09985813598266098,0.014090048508343837,0.5238095238095238,21,-0.15584936158117427,-0.006579801123256392
