grid,cell,SR_pre,SR_post,dSR
QNT-12 522-cell sweep,us_term_premium_10y_level|selfz|w60,-0.046,0.112,0.158
QNT-12 522-cell sweep,us_term_premium_10y_level|selfz|w120,0.12,0.223,0.10300000000000001
QNT-12 522-cell sweep,us_term_premium_10y_level|selfz|w252,0.226,0.266,0.04000000000000001
QNT-12 522-cell sweep,us_term_premium_10y_level|robustz|w60,-0.03,0.1,0.13
QNT-12 522-cell sweep,us_term_premium_10y_level|robustz|w120,0.106,0.203,0.09700000000000002
QNT-12 522-cell sweep,us_term_premium_10y_level|robustz|w252,0.223,0.253,0.03
QNT-12 522-cell sweep,us_term_premium_10y_level|bdtanh|w60,-0.07,0.146,0.216
QNT-12 522-cell sweep,us_term_premium_10y_level|bdtanh|w120,0.158,0.256,0.098
QNT-12 522-cell sweep,us_term_premium_10y_level|bdtanh|w252,0.22,0.243,0.022999999999999993
QNT-12 522-cell sweep,us_term_premium_10y_level|rankc|w60,-0.044,0.123,0.16699999999999998
QNT-12 522-cell sweep,us_term_premium_10y_level|rankc|w120,0.108,0.215,0.107
QNT-12 522-cell sweep,us_term_premium_10y_level|rankc|w252,0.243,0.29,0.046999999999999986
QNT-12 522-cell sweep,us_term_premium_10y_level|signth|w60,-0.079,0.161,0.24
QNT-12 522-cell sweep,us_term_premium_10y_level|signth|w120,0.086,0.237,0.151
QNT-12 522-cell sweep,us_term_premium_10y_level|signth|w252,0.185,0.164,-0.02099999999999999
QNT-12 522-cell sweep,us_term_premium_10y_level|dev|w60,0.076,0.012,-0.064
QNT-12 522-cell sweep,us_term_premium_10y_level|dev|w120,0.061,0.136,0.07500000000000001
QNT-12 522-cell sweep,us_term_premium_10y_level|dev|w252,0.214,0.229,0.015000000000000013
QNT-12 522-cell sweep,us_real_10y_level|selfz|w60,0.296,0.314,0.018000000000000016
QNT-12 522-cell sweep,us_real_10y_level|selfz|w120,0.349,0.345,-0.0040000000000000036
QNT-12 522-cell sweep,us_real_10y_level|selfz|w252,0.339,0.322,-0.017000000000000015
QNT-12 522-cell sweep,us_real_10y_level|robustz|w60,0.173,0.157,-0.015999999999999986
QNT-12 522-cell sweep,us_real_10y_level|robustz|w120,0.343,0.283,-0.06000000000000005
QNT-12 522-cell sweep,us_real_10y_level|robustz|w252,0.221,0.201,-0.01999999999999999
QNT-12 522-cell sweep,us_real_10y_level|bdtanh|w60,0.278,0.318,0.03999999999999998
QNT-12 522-cell sweep,us_real_10y_level|bdtanh|w120,0.379,0.37,-0.009000000000000008
QNT-12 522-cell sweep,us_real_10y_level|bdtanh|w252,0.34,0.316,-0.02400000000000002
QNT-12 522-cell sweep,us_real_10y_level|rankc|w60,0.218,0.245,0.026999999999999996
QNT-12 522-cell sweep,us_real_10y_level|rankc|w120,0.356,0.328,-0.02799999999999997
QNT-12 522-cell sweep,us_real_10y_level|rankc|w252,0.345,0.333,-0.011999999999999955
QNT-12 522-cell sweep,us_real_10y_level|signth|w60,0.301,0.338,0.03700000000000003
QNT-12 522-cell sweep,us_real_10y_level|signth|w120,0.411,0.432,0.02100000000000002
QNT-12 522-cell sweep,us_real_10y_level|signth|w252,0.319,0.246,-0.07300000000000001
QNT-12 522-cell sweep,us_real_10y_level|dev|w60,0.199,0.227,0.027999999999999997
QNT-12 522-cell sweep,us_real_10y_level|dev|w120,0.349,0.355,0.006000000000000005
QNT-12 522-cell sweep,us_real_10y_level|dev|w252,0.355,0.342,-0.012999999999999956
QNT-12 522-cell sweep,us_breakeven_5y5y_level|selfz|w60,0.043,0.074,0.031
QNT-12 522-cell sweep,us_breakeven_5y5y_level|selfz|w120,-0.087,-0.071,0.016
QNT-12 522-cell sweep,us_breakeven_5y5y_level|selfz|w252,-0.045,-0.024,0.020999999999999998
QNT-12 522-cell sweep,us_breakeven_5y5y_level|robustz|w60,-0.087,-0.042,0.04499999999999999
QNT-12 522-cell sweep,us_breakeven_5y5y_level|robustz|w120,-0.052,0.011,0.063
QNT-12 522-cell sweep,us_breakeven_5y5y_level|robustz|w252,-0.041,-0.043,-0.001999999999999995
QNT-12 522-cell sweep,us_breakeven_5y5y_level|bdtanh|w60,0.125,0.143,0.017999999999999988
QNT-12 522-cell sweep,us_breakeven_5y5y_level|bdtanh|w120,-0.051,-0.067,-0.016000000000000007
QNT-12 522-cell sweep,us_breakeven_5y5y_level|bdtanh|w252,-0.032,-0.056,-0.024
QNT-12 522-cell sweep,us_breakeven_5y5y_level|rankc|w60,0.076,0.061,-0.015
QNT-12 522-cell sweep,us_breakeven_5y5y_level|rankc|w120,-0.047,-0.065,-0.018000000000000002
QNT-12 522-cell sweep,us_breakeven_5y5y_level|rankc|w252,-0.003,-0.025,-0.022000000000000002
QNT-12 522-cell sweep,us_breakeven_5y5y_level|signth|w60,0.168,0.226,0.057999999999999996
QNT-12 522-cell sweep,us_breakeven_5y5y_level|signth|w120,-0.029,-0.065,-0.036000000000000004
QNT-12 522-cell sweep,us_breakeven_5y5y_level|signth|w252,0.021,-0.007,-0.028
QNT-12 522-cell sweep,us_breakeven_5y5y_level|dev|w60,0.03,0.029,-0.0009999999999999974
QNT-12 522-cell sweep,us_breakeven_5y5y_level|dev|w120,-0.011,-0.015,-0.004
QNT-12 522-cell sweep,us_breakeven_5y5y_level|dev|w252,0.035,0.046,0.010999999999999996
QNT-12 522-cell sweep,us_dgs5_level|selfz|w60,-0.033,0.142,0.175
QNT-12 522-cell sweep,us_dgs5_level|selfz|w120,0.144,0.242,0.098
QNT-12 522-cell sweep,us_dgs5_level|selfz|w252,0.182,0.237,0.05499999999999999
QNT-12 522-cell sweep,us_dgs5_level|robustz|w60,-0.067,0.062,0.129
QNT-12 522-cell sweep,us_dgs5_level|robustz|w120,0.059,0.121,0.062
QNT-12 522-cell sweep,us_dgs5_level|robustz|w252,0.143,0.18,0.037000000000000005
QNT-12 522-cell sweep,us_dgs5_level|bdtanh|w60,-0.02,0.222,0.242
QNT-12 522-cell sweep,us_dgs5_level|bdtanh|w120,0.205,0.319,0.11400000000000002
QNT-12 522-cell sweep,us_dgs5_level|bdtanh|w252,0.251,0.316,0.065
QNT-12 522-cell sweep,us_dgs5_level|rankc|w60,-0.032,0.207,0.239
QNT-12 522-cell sweep,us_dgs5_level|rankc|w120,0.122,0.308,0.186
QNT-12 522-cell sweep,us_dgs5_level|rankc|w252,0.22,0.35,0.12999999999999998
QNT-12 522-cell sweep,us_dgs5_level|signth|w60,0.003,0.24,0.237
QNT-12 522-cell sweep,us_dgs5_level|signth|w120,0.224,0.244,0.01999999999999999
QNT-12 522-cell sweep,us_dgs5_level|signth|w252,0.408,0.208,-0.19999999999999998
QNT-12 522-cell sweep,us_dgs5_level|dev|w60,-0.024,0.106,0.13
QNT-12 522-cell sweep,us_dgs5_level|dev|w120,0.202,0.268,0.066
QNT-12 522-cell sweep,us_dgs5_level|dev|w252,0.256,0.297,0.04099999999999998
QNT-12 522-cell sweep,twd_usd_level|selfz|w60,0.165,0.153,-0.01200000000000001
QNT-12 522-cell sweep,twd_usd_level|selfz|w120,0.147,0.154,0.007000000000000006
QNT-12 522-cell sweep,twd_usd_level|selfz|w252,0.053,0.081,0.028000000000000004
QNT-12 522-cell sweep,twd_usd_level|robustz|w60,0.205,0.196,-0.00899999999999998
QNT-12 522-cell sweep,twd_usd_level|robustz|w120,0.082,0.109,0.026999999999999996
QNT-12 522-cell sweep,twd_usd_level|robustz|w252,0.0,0.019,0.019
QNT-12 522-cell sweep,twd_usd_level|bdtanh|w60,0.057,0.073,0.015999999999999993
QNT-12 522-cell sweep,twd_usd_level|bdtanh|w120,0.076,0.119,0.043
QNT-12 522-cell sweep,twd_usd_level|bdtanh|w252,0.13,0.154,0.023999999999999994
QNT-12 522-cell sweep,twd_usd_level|rankc|w60,0.115,0.112,-0.0030000000000000027
QNT-12 522-cell sweep,twd_usd_level|rankc|w120,0.095,0.139,0.04400000000000001
QNT-12 522-cell sweep,twd_usd_level|rankc|w252,0.055,0.059,0.003999999999999997
QNT-12 522-cell sweep,twd_usd_level|signth|w60,0.073,0.114,0.04100000000000001
QNT-12 522-cell sweep,twd_usd_level|signth|w120,0.061,0.095,0.034
QNT-12 522-cell sweep,twd_usd_level|signth|w252,0.053,0.068,0.015000000000000006
QNT-12 522-cell sweep,twd_usd_level|dev|w60,0.092,0.09,-0.0020000000000000018
QNT-12 522-cell sweep,twd_usd_level|dev|w120,0.097,0.101,0.0040000000000000036
QNT-12 522-cell sweep,twd_usd_level|dev|w252,0.049,0.066,0.017
QNT-12 522-cell sweep,krw_usd_level|selfz|w60,-0.016,-0.024,-0.008
QNT-12 522-cell sweep,krw_usd_level|selfz|w120,-0.0,-0.028,-0.028
QNT-12 522-cell sweep,krw_usd_level|selfz|w252,-0.03,0.015,0.045
QNT-12 522-cell sweep,krw_usd_level|robustz|w60,-0.028,-0.033,-0.005000000000000001
QNT-12 522-cell sweep,krw_usd_level|robustz|w120,0.035,0.066,0.031
QNT-12 522-cell sweep,krw_usd_level|robustz|w252,0.019,0.072,0.05299999999999999
QNT-12 522-cell sweep,krw_usd_level|bdtanh|w60,-0.033,0.009,0.042
QNT-12 522-cell sweep,krw_usd_level|bdtanh|w120,-0.022,0.016,0.038
QNT-12 522-cell sweep,krw_usd_level|bdtanh|w252,0.046,-0.058,-0.10400000000000001
QNT-12 522-cell sweep,krw_usd_level|rankc|w60,-0.021,-0.031,-0.009999999999999998
QNT-12 522-cell sweep,krw_usd_level|rankc|w120,-0.04,-0.007,0.033
QNT-12 522-cell sweep,krw_usd_level|rankc|w252,-0.069,-0.035,0.034
QNT-12 522-cell sweep,krw_usd_level|signth|w60,-0.032,0.032,0.064
QNT-12 522-cell sweep,krw_usd_level|signth|w120,0.139,0.145,0.005999999999999978
QNT-12 522-cell sweep,krw_usd_level|signth|w252,0.008,0.085,0.07700000000000001
QNT-12 522-cell sweep,krw_usd_level|dev|w60,-0.053,-0.03,0.023
