signal,dim,window,state_a,state_b,SR_a,SR_b,dSR,n_a,n_b,ep_a,ep_b,hit_a,hit_b,beta_a,beta_b,pos_a,pos_b,enabled,dSR_ci_lo,dSR_ci_hi,p_dSR_gt0,welch_t
lt_top10_bsdiff_selftanh_w15,igrea,full,igrea_high,igrea_low,1.0230952166735003,0.45278633695608045,0.5703088797174198,2262,2013,30,29,0.5272727272727272,0.4947526236881559,-0.12952286959366474,-0.007443398798925649,0.018526966367605063,-0.02656609246208527,True,-0.2005305051781801,1.4272758942411394,0.9285,1.0943224036893306
lt_top10_bsdiff_selftanh_w15,igrea,IS,igrea_high,igrea_low,0.9677983514302166,0.008736389519592902,0.9590619619106238,1275,1140,19,19,0.5239591516103692,0.47791519434628976,-0.18024977759874827,-0.019943611851650778,0.026459091426517815,-0.04338193168072882,True,,,,
lt_top10_bsdiff_selftanh_w15,igrea,OOS,igrea_high,igrea_low,1.090922727561483,0.8365213882222711,0.25440133933921194,987,873,11,11,0.5315682281059063,0.5166858457997698,-0.06841273254847248,-0.001564767135739634,0.008280300258067341,-0.004607264616433881,True,,,,
lt_top10_bsdiff_selftanh_w15,stlfsi,full,stress_on,stress_off,1.139171784324719,0.49462067129226406,0.644551113032455,1589,2686,74,75,0.5335018963337548,0.4992520568436799,0.002550050722901897,-0.1178057359422598,0.09669839614603992,-0.06151276905387655,True,-0.3330077941892303,1.6253305212811355,0.908,1.4122366065042873
lt_top10_bsdiff_selftanh_w15,stlfsi,IS,stress_on,stress_off,0.7452392797520949,0.4436802910488739,0.301558988703221,864,1551,39,39,0.5290697674418605,0.487378640776699,0.04354397713506967,-0.22183867258573667,0.10600450788164384,-0.06918630261570659,True,,,,
lt_top10_bsdiff_selftanh_w15,stlfsi,OOS,stress_on,stress_off,1.5191977000705281,0.5566402707682799,0.9625574293022482,725,1135,36,36,0.538781163434903,0.5155004428697962,-0.027493598036302747,-0.028799826156236517,0.08560807816043745,-0.05102673332312904,True,,,,
lt_top10_bsdiff_selftanh_w15,epu,full,epu_high,epu_low,0.7068555720780165,0.7835469491724737,-0.07669137709445717,1991,2284,37,38,0.5149065184436584,0.5094422485726834,0.0518136994358016,-0.18228462630306808,0.011233784864643347,-0.01485814880392289,True,-0.8790837887855683,0.9486267707231555,0.4805,-0.10465719657346322
lt_top10_bsdiff_selftanh_w15,epu,IS,epu_high,epu_low,0.4928558740506684,0.6226553455394901,-0.1297994714888217,1152,1263,21,21,0.506108202443281,0.4988085782366958,-0.1140596460859851,-0.12182214541072815,-0.03238998597640706,0.017096756371813373,True,,,,
lt_top10_bsdiff_selftanh_w15,epu,OOS,epu_high,epu_low,0.9550327277953422,0.9469868604047811,0.008045867390561123,839,1021,17,17,0.5270108043217286,0.5225933202357563,0.20709137858944354,-0.22345575208369203,0.07113197796224774,-0.05438708635236061,True,,,,
lt_top10_bsdiff_selftanh_w15,nfci,full,nfci_tight,nfci_loose,1.0544133186089952,0.49252719479526685,0.5618861238137284,1739,2536,27,28,0.5341040462427745,0.49683293745051466,0.0032758989158889235,-0.14613305194280898,0.051732046353584506,-0.040036109941458384,True,-0.39970710749688104,1.4395147248986415,0.881,1.4464764092432036
lt_top10_bsdiff_selftanh_w15,nfci,IS,nfci_tight,nfci_loose,0.5188463832756534,0.5831637866126669,-0.06431740333701352,954,1461,15,15,0.5142255005268704,0.4945054945054945,-0.007623683956921857,-0.203422295888515,0.029817271609977818,-0.03022979990632409,True,,,,
lt_top10_bsdiff_selftanh_w15,nfci,OOS,nfci_tight,nfci_loose,1.535297623004742,0.38520190487658346,1.1500957181281586,785,1075,13,13,0.558258642765685,0.5,0.00930773364431403,-0.08236546797285342,0.07836477897192946,-0.05336356944037113,True,,,,
lt_top10_bsdiff_selftanh_w15,stlfsi_lvl,full,stress_on_lvl,stress_off_lvl,0.9951141225853126,0.6387014072400302,0.3564127153452824,1186,3089,40,40,0.5258693808312129,0.506662333441664,-0.14376032627321683,-0.02701969584020442,0.05337905824506398,-0.024239918834995423,True,-0.5998664582270912,1.5585671290418623,0.767,0.8590848894737702
lt_top10_bsdiff_selftanh_w15,stlfsi_lvl,IS,stress_on_lvl,stress_off_lvl,0.6558267575289278,0.485508380408085,0.1703183771208428,921,1494,26,25,0.5109170305676856,0.49697783747481533,-0.09555361253280248,-0.1470311423567537,0.029672283348973292,-0.028814078655706198,True,,,,
lt_top10_bsdiff_selftanh_w15,stlfsi_lvl,OOS,stress_on_lvl,stress_off_lvl,2.0019391172835173,0.7545564504002763,1.247382666883241,265,1595,15,15,0.5779467680608364,0.5157430730478589,-0.2602252347589316,0.024124059016810407,0.1357712834499679,-0.019955408006066343,True,,,,
lt_top10_bsdiff_selftanh_w15,nfci_lvl,full,nfci_tight_lvl,nfci_loose_lvl,0.8308927362977077,0.7442054901789192,0.08668724611878842,205,4070,2,2,0.5147058823529411,0.5118460019743336,-0.2548795830980688,-0.0474106551435109,-0.018981671729356827,-0.001886561056053271,True,,,,0.27715518775097553
lt_top10_bsdiff_selftanh_w15,nfci_lvl,IS,nfci_tight_lvl,nfci_loose_lvl,0.6508477815739852,0.5528347212392618,0.09801306033472335,168,2247,1,1,0.5059523809523809,0.5020116227089853,-0.26510709351756095,-0.08729811945143562,-0.06517090151653095,-0.00212343083775855,True,,,,
lt_top10_bsdiff_selftanh_w15,nfci_lvl,OOS,nfci_tight_lvl,nfci_loose_lvl,1.6132555237079393,0.9340812422022907,0.6791742815056486,37,1823,1,2,0.5555555555555556,0.5239669421487604,-0.23048089468214272,-0.020614142838787937,0.19074239865564993,-0.0015945992351581858,True,,,,
