cand,family,series,kind,periods,freq,pub_lag_days,transform,window,variant,shift,sign_IS,SR_IS,SR_OOS,SR_net,SR_gross,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,n_bars,start_date,end_date,gate_srsr,gate_posyr,gate_beta,gate_nyr,n_gates
us_semi_ip_yoy|selfz|w60,semis,us_semi_ip,yoy,12,M,46,selfz,60,c2c,2,1,0.3815198244448614,-0.10485951900852727,0.24647403747787625,0.2590343031028403,0.2009055616322932,0.5384615384615384,-1.8917837254348684,26,-0.023941846273994514,0.01048379878629571,0.6457818681430312,-51.32765137627556,2502,9.97296018975726,99.46445959104186,6162,2001-08-21,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|selfz|w60,semis,us_semi_ip,yoy,12,M,46,selfz,60,day,2,1,0.14138110700227638,0.12303224573988907,0.13537461880278173,0.15134047360584668,0.23067586371885995,0.6153846153846154,-1.5627216921415146,26,0.004425127342219992,0.01048379878629571,0.6457818681430312,-40.82847972967761,4011,9.97296018975726,99.46445959104186,6162,2001-08-21,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|selfz|w60,semis,us_semi_ip,yoy,12,M,46,selfz,60,o2o,2,1,0.32907711358820163,-0.0402735078578882,0.2318028231123507,0.24391370627127215,0.1834873823015906,0.5769230769230769,-1.8517028260322568,26,-0.029114721753364357,0.01048379878629571,0.6457818681430312,-51.94967085480726,3625,9.97296018975726,99.46445959104186,6162,2001-08-21,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|selfz|w60,semis,us_semi_ip,yoy,12,M,46,selfz,60,ongap,2,-1,1.1549909988072722,0.18010633427895767,0.3012024019366488,0.3263014415259935,0.35143393072863577,0.7,-1.225048743316897,10,0.0700877350984191,0.03901385193704815,0.6411468619100535,-7.59594604024971,435,9.471507721947038,99.5581087052585,2263,2017-05-16,2026-08-31,False,True,True,True,3
us_semi_ip_yoy|selfz|w120,semis,us_semi_ip,yoy,12,M,46,selfz,120,c2c,2,1,0.400808916161935,-0.6029842957097489,0.12463986548141251,0.13216246353477104,0.12300465805971603,0.5384615384615384,-1.8733507154453972,26,-0.016410035489389012,0.018246031381515232,0.6704257656129007,-108.5882668441335,3977,6.291246234441945,99.49445531637312,6132,2001-10-08,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|selfz|w120,semis,us_semi_ip,yoy,12,M,46,selfz,120,day,2,1,0.22099111682287884,-0.09197869767191748,0.150441965849138,0.16010458088453874,0.2210155528853418,0.5,-1.7517584745132435,26,-0.005085575299525682,0.018246031381515232,0.6704257656129007,-52.59122338467949,4381,6.291246234441945,99.49445531637312,6132,2001-10-08,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|selfz|w120,semis,us_semi_ip,yoy,12,M,46,selfz,120,o2o,2,1,0.38720942858743956,-0.5269935507203626,0.1464794140790323,0.15379605361808607,0.1263105502389972,0.5,-1.9201695051838297,26,-0.03967849918465946,0.018246031381515232,0.6704257656129007,-100.21243710468768,4071,6.291246234441945,99.49445531637312,6132,2001-10-08,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|selfz|w120,semis,us_semi_ip,yoy,12,M,46,selfz,120,ongap,2,-1,1.2899472477867777,0.37991636152774194,0.49834825827944695,0.5149150206339216,0.3727049872551945,0.7,-1.44681162784608,10,0.008312207670637974,0.04113947438151878,0.6474169472870933,-8.365007177947827,450,6.710153365625454,99.42554131683606,2263,2017-05-16,2026-08-31,False,True,True,True,3
us_semi_ip_yoy|selfz|w252,semis,us_semi_ip,yoy,12,M,46,selfz,252,c2c,2,1,0.3006784577161207,-0.6131854387785236,0.04154065221803635,0.04602372684311974,-0.015655697160792043,0.56,-2.3045133375438698,25,-0.028723450727126183,0.024352482934357714,0.6993624506188202,-96.96924350822579,2401,3.9004286339070564,99.65380811078141,6066,2002-01-10,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|selfz|w252,semis,us_semi_ip,yoy,12,M,46,selfz,252,day,2,1,0.06844108442365635,-0.044533666464669004,0.04223087199593227,0.048017648221167955,0.09377953049455137,0.6,-1.3778770158269331,25,-0.03904483651476138,0.024352482934357714,0.6993624506188202,-48.05218992096141,4381,3.9004286339070564,99.65380811078141,6066,2002-01-10,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|selfz|w252,semis,us_semi_ip,yoy,12,M,46,selfz,252,o2o,2,1,0.27543965821334043,-0.5637026207845496,0.04731801465101391,0.05163346807124576,-0.004940616832596104,0.56,-2.0803869102837447,25,-0.0826533933998008,0.024352482934357714,0.6993624506188202,-92.01162405936579,2400,3.9004286339070564,99.65380811078141,6066,2002-01-10,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|selfz|w252,semis,us_semi_ip,yoy,12,M,46,selfz,252,ongap,2,-1,1.1695205403750881,0.6558036948983251,0.7201680332845023,0.7319716324432555,0.6336411696284444,0.7,-1.332028696887805,10,-0.14032776608330952,0.05685438598740273,0.6688955436739759,-6.7122183288793185,424,4.943022200133547,99.6464869642068,2263,2017-05-16,2026-08-31,True,True,True,True,4
us_semi_ip_yoy|robustz|w60,semis,us_semi_ip,yoy,12,M,46,robustz,60,c2c,2,1,0.25544650954248294,-0.009596225399202754,0.18414499877869786,0.19679730234484724,0.09345923826823307,0.5384615384615384,-1.6157906419417343,26,-0.07667461348025881,0.007549270114312011,0.5382274900142846,-56.55244456773841,3977,8.433417762428627,98.74449698353172,6133,2001-10-05,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|robustz|w60,semis,us_semi_ip,yoy,12,M,46,robustz,60,day,2,1,0.0465770542272192,0.11452459359631507,0.060388760744267835,0.07642751994973643,0.1342480634819531,0.6538461538461539,-1.1629177271481002,26,-0.0387416874296145,0.007549270114312011,0.5382274900142846,-37.938283876447436,6078,8.433417762428627,98.74449698353172,6133,2001-10-05,2026-08-31,False,True,True,True,3
us_semi_ip_yoy|robustz|w60,semis,us_semi_ip,yoy,12,M,46,robustz,60,o2o,2,1,0.1842294628317666,0.04917355993136175,0.1490991857609119,0.16134552358535897,0.07048797365219801,0.5384615384615384,-1.6157879818561125,26,-0.06978102181042393,0.007549270114312011,0.5382274900142846,-51.58447442585501,3976,8.433417762428627,98.74449698353172,6133,2001-10-05,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|robustz|w60,semis,us_semi_ip,yoy,12,M,46,robustz,60,ongap,2,-1,0.9376584027372125,-0.035881236751324604,0.08707033577399756,0.11470469322566673,0.15267322497979305,0.7,-1.4612264537220925,10,0.2217952515165075,0.05336916850990941,0.5315919729473286,-10.247863564957047,903,8.529115981988497,98.89527176314627,2263,2017-05-16,2026-08-31,False,True,False,True,2
us_semi_ip_yoy|robustz|w120,semis,us_semi_ip,yoy,12,M,46,robustz,120,c2c,2,1,0.18608328463395563,0.0155296803335409,0.1429303858415812,0.15017954847754972,0.0620191736932217,0.48,-1.7584127851918816,25,-0.12126515574158295,-0.028561031393637203,0.6344951686562624,-59.533183942020315,3977,5.609004299259033,99.37427959822163,6073,2001-12-31,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|robustz|w120,semis,us_semi_ip,yoy,12,M,46,robustz,120,day,2,1,-0.0029581732169887513,0.3917832112521815,0.07429186444829287,0.08359148780032206,0.18665101701397485,0.52,-1.7448516201539193,25,-0.11475862548171972,-0.028561031393637203,0.6344951686562624,-59.71530032181535,4381,5.609004299259033,99.37427959822163,6073,2001-12-31,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|robustz|w120,semis,us_semi_ip,yoy,12,M,46,robustz,120,o2o,2,1,0.1723172188792103,0.08888344607199312,0.15082846897883062,0.15779573873689007,0.0856064910392205,0.48,-1.623958172007802,25,-0.14948733966071004,-0.028561031393637203,0.6344951686562624,-58.12061453153099,4071,5.609004299259033,99.37427959822163,6073,2001-12-31,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|robustz|w120,semis,us_semi_ip,yoy,12,M,46,robustz,120,ongap,2,-1,1.175559104585836,-0.0023060160327961878,0.18891149624047018,0.20920827958838858,0.18615356838531807,0.7,-1.8455069109195372,10,0.17553499721516658,0.07916733178688955,0.5640964580491522,-9.91958868280648,1007,6.497452295570104,98.89527176314627,2263,2017-05-16,2026-08-31,False,True,False,True,2
us_semi_ip_yoy|robustz|w252,semis,us_semi_ip,yoy,12,M,46,robustz,252,c2c,2,1,0.2577511886212391,-0.4044716231476189,0.0622315303325041,0.06637450235859817,0.000813035403525344,0.52,-1.783966624272741,25,-0.11581637965629127,-0.002798926833462604,0.751595910620726,-82.2222003646297,2368,3.8840911391362654,99.71385288671941,5941,2002-07-18,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|robustz|w252,semis,us_semi_ip,yoy,12,M,46,robustz,252,day,2,1,0.06901339011024545,0.13395926706376673,0.08373962450713482,0.08919091787019558,0.1317972833347435,0.52,-1.207263543505597,25,-0.1729791395301953,-0.002798926833462604,0.751595910620726,-64.10134479010695,4381,3.8840911391362654,99.71385288671941,5941,2002-07-18,2026-08-31,False,False,False,True,1
us_semi_ip_yoy|robustz|w252,semis,us_semi_ip,yoy,12,M,46,robustz,252,o2o,2,1,0.23051684789590027,-0.34826541881579837,0.06558882495733918,0.06961041959531386,0.009481970946130534,0.52,-1.7463581296844641,25,-0.1874695270189048,-0.002798926833462604,0.751595910620726,-74.99223390280876,2367,3.8840911391362654,99.71385288671941,5941,2002-07-18,2026-08-31,False,False,False,True,1
us_semi_ip_yoy|robustz|w252,semis,us_semi_ip,yoy,12,M,46,robustz,252,ongap,2,-1,1.2702595515985322,0.5840704760257537,0.6634363883829676,0.6757508606471959,0.5151020122576457,0.7,-1.3074118768547964,10,-0.1759274856519732,0.05410231217656608,0.7034489806609439,-8.359251121236575,530,5.358022101896417,99.60229783473265,2263,2017-05-16,2026-08-31,False,True,False,True,2
us_semi_ip_yoy|bdtanh|w60,semis,us_semi_ip,yoy,12,M,46,bdtanh,60,c2c,2,1,0.4384597323743282,-0.1296124531557749,0.27396636982156114,0.2824201517649012,0.2593572015923395,0.5,-1.7924133455881468,26,-0.014833540043824261,0.020129063841061105,0.6998967171610553,-54.08016760897401,2400,7.169849888498396,99.7078870496592,6162,2001-08-21,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|bdtanh|w60,semis,us_semi_ip,yoy,12,M,46,bdtanh,60,day,2,1,0.15554432301410848,0.11817185098584616,0.14523430471532398,0.15603250732303445,0.2607413339242269,0.5769230769230769,-1.5909116514257604,26,0.011368399502557284,0.020129063841061105,0.6998967171610553,-49.536324751573524,3861,7.169849888498396,99.7078870496592,6162,2001-08-21,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|bdtanh|w60,semis,us_semi_ip,yoy,12,M,46,bdtanh,60,o2o,2,1,0.3728784620396471,-0.08187717986069795,0.248865293592076,0.2569959650273705,0.22168717945714156,0.5769230769230769,-1.7401574615886926,26,-0.03105101979601354,0.020129063841061105,0.6998967171610553,-49.04251168413026,2425,7.169849888498396,99.7078870496592,6162,2001-08-21,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|bdtanh|w60,semis,us_semi_ip,yoy,12,M,46,bdtanh,60,ongap,2,-1,1.1305137538779269,0.2699989921383701,0.37591858375432524,0.3935139264869464,0.4936691196110748,0.8,-0.9051541003317273,10,0.04266756438035041,0.035261817100694065,0.7220188000694854,-7.276762454009465,486,7.517277919863503,99.82324348210341,2263,2017-05-16,2026-08-31,False,True,True,True,3
us_semi_ip_yoy|bdtanh|w120,semis,us_semi_ip,yoy,12,M,46,bdtanh,120,c2c,2,1,0.4739142276033687,-0.6419326747982349,0.15223385683266882,0.15772133813657002,0.1397578129025689,0.5769230769230769,-2.359414335621851,26,0.0018190482615660598,0.034123699917031354,0.7107372757881045,-107.3566364249992,2401,4.925762032732552,99.65753424657534,6132,2001-10-08,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|bdtanh|w120,semis,us_semi_ip,yoy,12,M,46,bdtanh,120,day,2,1,0.30363463982646494,-0.15357820958607432,0.19606759167830454,0.2031023759484806,0.2631062610699808,0.6538461538461539,-1.7920913702435408,26,0.014497380941646517,0.034123699917031354,0.7107372757881045,-52.22955502004436,4014,4.925762032732552,99.65753424657534,6132,2001-10-08,2026-08-31,False,True,True,True,3
us_semi_ip_yoy|bdtanh|w120,semis,us_semi_ip,yoy,12,M,46,bdtanh,120,o2o,2,1,0.4673052234884782,-0.5626438924864051,0.18291569282651104,0.18825544150383522,0.1502440574167439,0.5769230769230769,-2.1809015690785074,26,-0.026003402633005726,0.034123699917031354,0.7107372757881045,-96.65957908178677,2357,4.925762032732552,99.65753424657534,6132,2001-10-08,2026-08-31,False,False,True,True,2
us_semi_ip_yoy|bdtanh|w120,semis,us_semi_ip,yoy,12,M,46,bdtanh,120,ongap,2,-1,1.223945090008999,0.3878909838782589,0.494118978489564,0.5085154679598545,0.4150933376943774,0.7,-1.3561508925771684,10,-0.04267356825065067,0.021261812113503455,0.7077006474585946,-7.641217334679131,593,6.175153828884307,99.69067609368095,2263,2017-05-16,2026-08-31,False,True,True,True,3
us_semi_ip_yoy|bdtanh|w252,semis,us_semi_ip,yoy,12,M,46,bdtanh,252,c2c,2,1,0.2487501068623222,-0.4180693697042655,0.055509796064134836,0.05931386529533565,0.02013328153644062,0.52,-1.906987395432178,25,0.004725838149541152,0.03841755194930518,0.7175437777556654,-77.37009314417739,2284,3.435412178072317,99.57138147049126,6066,2002-01-10,2026-08-31,False,False,True,True,2
