series,SR_med,SRSR_med,SR_max,SRSR_max,n_years
igrea,0.412,0.356,0.545,0.577,26.0
kr_kospi,0.367,0.218,0.514,0.345,26.0
us_real_10y,0.34,0.195,0.411,0.274,24.0
us_dxy_broad,0.305,0.35,0.402,0.513,21.0
epu_global,0.266,0.24,0.372,0.439,26.0
us_semi_ppi,0.255,0.192,0.346,0.311,26.0
us_semi_ip_nsa,0.185,0.152,0.33,0.336,26.0
us_electronics_ppi,0.155,0.112,0.391,0.381,26.0
us_dgs5,0.144,0.229,0.408,0.33,26.0
cn_leading_idx,0.14,0.095,0.237,0.19,26.0
us_semi_ip,0.134,0.109,0.288,0.297,26.0
cn_shanghai_comp,0.126,0.128,0.256,0.24,26.0
copper,0.122,0.122,0.288,0.309,26.0
us_term_premium_10y,0.107,0.153,0.243,0.28,26.0
us_philly_fed,0.089,0.119,0.297,0.297,26.0
us_stlfsi,0.088,0.046,0.196,0.127,26.0
twd_usd,0.079,0.037,0.205,0.167,26.0
us_freight_tsi,0.064,0.04,0.187,0.193,26.0
wti,0.06,0.184,0.148,0.239,26.0
us_cfnai,0.058,0.042,0.178,0.193,26.0
us_empire_state,0.054,0.08,0.206,0.241,25.0
us_mfg_new_orders,0.045,-0.086,0.163,0.18,26.0
us_recession_prob,0.041,0.008,0.217,0.154,26.0
us_retail_inv_sales,0.026,-0.007,0.148,0.172,26.0
cn_exports,0.024,0.042,0.26,0.171,26.0
kr_exports,0.005,-0.107,0.269,0.319,26.0
krw_usd,-0.019,-0.009,0.139,0.139,26.0
us_breakeven_5y5y,-0.02,0.204,0.168,0.311,24.0
kr_exports_sa,-0.022,-0.117,0.228,0.239,26.0
