,selfz|w60,selfz|w120,selfz|w252,robustz|w60,robustz|w120,robustz|w252,bdtanh|w60,bdtanh|w120,bdtanh|w252,rankc|w60,rankc|w120,rankc|w252,signth|w60,signth|w120,signth|w252,dev|w60,dev|w120,dev|w252
selfz|w60,1.0,0.84,0.677,0.847,0.796,0.609,0.963,0.798,0.622,0.902,0.833,0.688,0.88,0.7,0.454,0.895,0.73,0.604
selfz|w120,0.84,1.0,0.839,0.776,0.906,0.75,0.796,0.968,0.77,0.727,0.895,0.803,0.732,0.849,0.547,0.882,0.87,0.761
selfz|w252,0.677,0.839,1.0,0.572,0.79,0.864,0.68,0.831,0.969,0.657,0.825,0.952,0.647,0.796,0.812,0.762,0.874,0.936
robustz|w60,0.847,0.776,0.572,1.0,0.764,0.494,0.757,0.689,0.508,0.712,0.674,0.56,0.671,0.558,0.315,0.8,0.608,0.483
robustz|w120,0.796,0.906,0.79,0.764,1.0,0.746,0.768,0.863,0.73,0.739,0.849,0.753,0.737,0.808,0.595,0.866,0.844,0.702
robustz|w252,0.609,0.75,0.864,0.494,0.746,1.0,0.612,0.74,0.823,0.586,0.74,0.832,0.604,0.776,0.745,0.644,0.782,0.837
bdtanh|w60,0.963,0.796,0.68,0.757,0.768,0.612,1.0,0.789,0.646,0.925,0.85,0.705,0.934,0.726,0.501,0.887,0.751,0.63
bdtanh|w120,0.798,0.968,0.831,0.689,0.863,0.74,0.789,1.0,0.786,0.716,0.919,0.808,0.742,0.901,0.584,0.844,0.887,0.763
bdtanh|w252,0.622,0.77,0.969,0.508,0.73,0.823,0.646,0.786,1.0,0.622,0.792,0.963,0.616,0.764,0.877,0.691,0.827,0.942
rankc|w60,0.902,0.727,0.657,0.712,0.739,0.586,0.925,0.716,0.622,1.0,0.865,0.715,0.897,0.682,0.486,0.867,0.735,0.613
rankc|w120,0.833,0.895,0.825,0.674,0.849,0.74,0.85,0.919,0.792,0.865,1.0,0.862,0.837,0.905,0.642,0.856,0.91,0.784
rankc|w252,0.688,0.803,0.952,0.56,0.753,0.832,0.705,0.808,0.963,0.715,0.862,1.0,0.678,0.785,0.827,0.727,0.836,0.926
signth|w60,0.88,0.732,0.647,0.671,0.737,0.604,0.934,0.742,0.616,0.897,0.837,0.678,1.0,0.756,0.537,0.848,0.763,0.611
signth|w120,0.7,0.849,0.796,0.558,0.808,0.776,0.726,0.901,0.764,0.682,0.905,0.785,0.756,1.0,0.696,0.761,0.904,0.778
signth|w252,0.454,0.547,0.812,0.315,0.595,0.745,0.501,0.584,0.877,0.486,0.642,0.827,0.537,0.696,1.0,0.509,0.678,0.827
dev|w60,0.895,0.882,0.762,0.8,0.866,0.644,0.887,0.844,0.691,0.867,0.856,0.727,0.848,0.761,0.509,1.0,0.866,0.695
dev|w120,0.73,0.87,0.874,0.608,0.844,0.782,0.751,0.887,0.827,0.735,0.91,0.836,0.763,0.904,0.678,0.866,1.0,0.866
dev|w252,0.604,0.761,0.936,0.483,0.702,0.837,0.63,0.763,0.942,0.613,0.784,0.926,0.611,0.778,0.827,0.695,0.866,1.0
