cand,family,series,kind,periods,pub_lag_days,first_obs,transform,window,sign_IS,SR_IS,SR_OOS,SR_full,SR_full_gross,SR_full_stubcost,SR_of_SR,positive_years,n_years,beta,mean_pos,max_dd_days,max_dd_pct,turnover_ann,held_pct,tcost_pct_of_gross,gate_srsr,gate_posyr,gate_beta,gate_nyr,gate_oos,n_gates
igrea_level|selfz|w120,commodity,igrea,level,0,40,1968-01-01,selfz,120,1,0.522,0.601,0.544,0.553,0.55,0.493,0.692,26,-0.031,0.053883102288054666,1557,-28.38,6.84,99.25,1.59,False,True,True,True,True,4
igrea_level|bdtanh|w120,commodity,igrea,level,0,40,1968-01-01,bdtanh,120,1,0.544,0.476,0.524,0.531,0.529,0.52,0.654,26,-0.026,0.05883673077679689,1251,-33.86,6.14,99.64,1.42,False,True,True,True,True,4
kr_kospi_yoy|signth|w120,kr_tech_demand,kr_kospi,yoy,12,31,1981-01-01,signth,120,1,0.379,0.683,0.455,0.461,0.459,0.306,0.654,26,-0.043,0.023851694633722036,3838,-49.68,5.01,99.17,1.37,False,True,True,True,True,4
igrea_level|selfz|w252,commodity,igrea,level,0,40,1968-01-01,selfz,252,1,0.232,0.89,0.421,0.428,0.425,0.511,0.68,25,-0.001,0.07772691632534733,1148,-43.65,5.26,99.51,1.5,False,True,True,True,True,4
igrea_level|bdtanh|w252,commodity,igrea,level,0,40,1968-01-01,bdtanh,252,1,0.228,0.912,0.419,0.425,0.423,0.577,0.72,25,0.008,0.07856671458464988,1290,-45.45,4.83,99.62,1.34,False,True,True,True,True,4
igrea_level|dev|w60,commodity,igrea,level,0,40,1968-01-01,dev,60,1,0.383,0.528,0.419,0.43,0.427,0.34,0.654,26,-0.077,0.033713259996939776,2486,-41.76,8.54,99.37,2.62,False,True,True,True,True,4
igrea_level|dev|w252,commodity,igrea,level,0,40,1968-01-01,dev,252,1,0.25,0.851,0.416,0.422,0.42,0.526,0.72,25,0.001,0.0721801284463487,1218,-42.93,5.04,99.47,1.38,False,True,True,True,True,4
igrea_level|rankc|w252,commodity,igrea,level,0,40,1968-01-01,rankc,252,1,0.268,0.783,0.408,0.414,0.412,0.546,0.68,25,-0.006,0.07367693997432664,867,-42.96,5.44,99.49,1.54,False,True,True,True,True,4
epu_global_level|robustz|w120,risk,epu_global,level,0,31,1997-01-01,robustz,120,-1,0.492,0.097,0.377,0.387,0.384,0.445,0.68,25,-0.023,0.05359511134385319,1367,-31.12,7.89,99.29,2.8,False,True,True,True,True,4
igrea_level|signth|w252,commodity,igrea,level,0,40,1968-01-01,signth,252,1,0.112,0.932,0.347,0.352,0.35,0.313,0.654,26,-0.1,0.01709546883710409,1455,-82.22,4.4,99.83,1.5,False,True,True,True,True,4
