grid,sd_source,sd,S,neff_eig,neff_deff,d_min_rawS,d_min_eig,d_min_deff
"G1 QNT-12 (S=29), EW-of-18",house 0.13,0.13,29,11.3305,9.1863,0.0676,0.1081,0.1201
"G1 QNT-12 (S=29), EW-of-18",measured,0.1352,29,11.3305,9.1863,0.0703,0.1125,0.1249
"G1 QNT-12 (S=29), median-cell",house 0.13,0.13,29,12.6739,11.5697,0.0676,0.1022,0.107
"G1 QNT-12 (S=29), median-cell",measured,0.1195,29,12.6739,11.5697,0.0621,0.094,0.0983
"G2 QNT-14 (S=11), EW-of-18, c2c",house 0.13,0.13,11,4.6127,4.7299,0.1098,0.1695,0.1674
"G2 QNT-14 (S=11), EW-of-18, c2c",measured,0.1409,11,4.6127,4.7299,0.1189,0.1837,0.1814
"G2 QNT-14 (S=11), median-cell, c2c",house 0.13,0.13,11,4.683,6.3736,0.1098,0.1682,0.1442
"G2 QNT-14 (S=11), median-cell, c2c",measured,0.1256,11,4.683,6.3736,0.106,0.1625,0.1393
G2 paired d(day-c2c) PnL,house 0.13,0.13,11,5.3829,4.2437,0.1098,0.1569,0.1767
G2 paired d(day-c2c) PnL,measured,0.165,11,5.3829,4.2437,0.1393,0.1992,0.2243
