cand,variant,mine,ref,diff
us_dxy_broad|selfz|w60,c2c,0.1976,0.1897,0.0079
us_dxy_broad|selfz|w120,c2c,0.3274,0.3213,0.0062
us_dxy_broad|selfz|w252,c2c,0.3168,0.3104,0.0064
us_dxy_broad|robustz|w60,c2c,0.3123,0.3053,0.007
us_dxy_broad|robustz|w120,c2c,0.3346,0.3303,0.0043
us_dxy_broad|robustz|w252,c2c,0.2956,0.2882,0.0074
us_dxy_broad|bdtanh|w60,c2c,0.1366,0.1291,0.0075
us_dxy_broad|bdtanh|w120,c2c,0.2988,0.2922,0.0065
us_dxy_broad|bdtanh|w252,c2c,0.3427,0.3373,0.0054
us_dxy_broad|rankc|w60,c2c,0.1695,0.162,0.0075
us_dxy_broad|rankc|w120,c2c,0.315,0.3084,0.0066
us_dxy_broad|rankc|w252,c2c,0.3885,0.3836,0.0049
us_dxy_broad|signth|w60,c2c,0.1069,0.0999,0.0071
us_dxy_broad|signth|w120,c2c,0.1455,0.1393,0.0062
us_dxy_broad|signth|w252,c2c,0.3634,0.3593,0.0041
us_dxy_broad|dev|w60,c2c,0.1125,0.1046,0.0079
us_dxy_broad|dev|w120,c2c,0.1488,0.1435,0.0053
us_dxy_broad|dev|w252,c2c,0.2196,0.222,-0.0024
us_real_10y|selfz|w60,c2c,0.3155,0.3144,0.0011
us_real_10y|selfz|w120,c2c,0.3422,0.3449,-0.0027
us_real_10y|selfz|w252,c2c,0.3163,0.3223,-0.006
us_real_10y|robustz|w60,c2c,0.1595,0.1568,0.0027
us_real_10y|robustz|w120,c2c,0.2827,0.2834,-0.0007
us_real_10y|robustz|w252,c2c,0.1945,0.2008,-0.0063
us_real_10y|bdtanh|w60,c2c,0.3188,0.3185,0.0003
us_real_10y|bdtanh|w120,c2c,0.365,0.3697,-0.0047
us_real_10y|bdtanh|w252,c2c,0.3094,0.3161,-0.0066
us_real_10y|rankc|w60,c2c,0.2479,0.2454,0.0025
us_real_10y|rankc|w120,c2c,0.3248,0.3277,-0.0029
us_real_10y|rankc|w252,c2c,0.3268,0.3328,-0.006
us_real_10y|signth|w60,c2c,0.3409,0.3383,0.0026
us_real_10y|signth|w120,c2c,0.4269,0.4321,-0.0053
us_real_10y|signth|w252,c2c,0.2397,0.2464,-0.0067
us_real_10y|dev|w60,c2c,0.2285,0.2274,0.0011
us_real_10y|dev|w120,c2c,0.3497,0.3547,-0.005
us_real_10y|dev|w252,c2c,0.3353,0.3421,-0.0068
us_breakeven_10y|selfz|w60,c2c,0.0263,0.0324,-0.0061
us_breakeven_10y|selfz|w120,c2c,-0.0821,-0.0817,-0.0004
us_breakeven_10y|selfz|w252,c2c,-0.0053,-0.0035,-0.0019
us_breakeven_10y|robustz|w60,c2c,0.0021,0.0077,-0.0056
us_breakeven_10y|robustz|w120,c2c,0.0294,0.03,-0.0007
us_breakeven_10y|robustz|w252,c2c,0.0297,0.0273,0.0024
us_breakeven_10y|bdtanh|w60,c2c,0.0725,0.079,-0.0064
us_breakeven_10y|bdtanh|w120,c2c,-0.0484,-0.0478,-0.0006
us_breakeven_10y|bdtanh|w252,c2c,0.0337,0.0364,-0.0027
us_breakeven_10y|rankc|w60,c2c,0.025,0.0311,-0.006
us_breakeven_10y|rankc|w120,c2c,-0.0154,-0.0149,-0.0005
us_breakeven_10y|rankc|w252,c2c,0.0589,0.0611,-0.0022
us_breakeven_10y|signth|w60,c2c,0.1511,0.1575,-0.0064
us_breakeven_10y|signth|w120,c2c,0.1351,0.1358,-0.0007
us_breakeven_10y|signth|w252,c2c,-0.0787,-0.0775,-0.0012
us_breakeven_10y|dev|w60,c2c,0.0068,0.0128,-0.006
us_breakeven_10y|dev|w120,c2c,0.0291,0.0285,0.0006
us_breakeven_10y|dev|w252,c2c,0.0336,0.0354,-0.0018
us_breakeven_5y5y|selfz|w60,c2c,0.0663,0.0738,-0.0075
us_breakeven_5y5y|selfz|w120,c2c,-0.0778,-0.0706,-0.0072
us_breakeven_5y5y|selfz|w252,c2c,-0.0321,-0.0244,-0.0078
us_breakeven_5y5y|robustz|w60,c2c,-0.0508,-0.0424,-0.0084
us_breakeven_5y5y|robustz|w120,c2c,0.003,0.0105,-0.0075
us_breakeven_5y5y|robustz|w252,c2c,-0.0512,-0.0435,-0.0077
us_breakeven_5y5y|bdtanh|w60,c2c,0.136,0.1429,-0.0069
us_breakeven_5y5y|bdtanh|w120,c2c,-0.0733,-0.0667,-0.0066
us_breakeven_5y5y|bdtanh|w252,c2c,-0.0632,-0.056,-0.0072
us_breakeven_5y5y|rankc|w60,c2c,0.0542,0.0613,-0.0071
us_breakeven_5y5y|rankc|w120,c2c,-0.0722,-0.0654,-0.0068
us_breakeven_5y5y|rankc|w252,c2c,-0.0328,-0.0254,-0.0074
