series,variant,op,window,grid,published,recomputed,diff
cny_usd,ongap,dev,252,G2 night,1.0431653222611197,1.0431653222611197,0.0
us_dxy_broad,o2o,signth,252,G2 night,0.6764126639663747,0.6710792856509087,-0.005333378315465986
us_dgs30,day,dev,120,G2 night,0.5135422644719934,0.5135422644719934,0.0
twd_usd,day,dev,252,G2 night,0.4689129918549369,0.4689129918549369,0.0
kr_kospi,ongap,dev,252,G3 slow,0.7551128251955522,0.7551128251955522,0.0
us_semi_ip,ongap,selfz,252,G3 slow,0.7201680332845023,0.7201680332845023,0.0
us_semi_ip_nsa,ongap,rankc,252,G3 slow,0.6909843085706611,0.6909843085706611,0.0
copper,ongap,bdtanh,252,G3 slow,0.6313979710883363,0.6313979710883363,0.0
epu_global,ongap,robustz,252,G3 slow,0.6138358671882106,0.6138358671882106,0.0
us_empire_state,ongap,robustz,252,G3 slow,0.6095476764071445,0.6095476764071445,0.0
igrea,c2c,selfz,252,G1 near,0.419,0.41932653872581566,0.00032653872581567267
