shift,series,op,op_family,window,SR_net,SR_of_SR,positive_years,beta,n_years,n_gates
577,cny_usd,selfz,location,20,-0.138407387855419,-0.27515283159850157,0.5,-0.20797915913482837,10,1
577,cny_usd,selfz,location,40,-0.07060088146951984,-0.12613180277677133,0.4,0.20460447828593636,10,1
577,cny_usd,selfz,location,60,-0.10746694881548309,-0.1886724712562342,0.3,0.16907782895422702,10,1
577,cny_usd,selfz,location,90,-0.11632718808326831,-0.27061019407406717,0.4,0.13825662829919153,10,2
577,cny_usd,selfz,location,120,-0.06502327160905545,-0.21088597662568495,0.4,0.1293650327829246,10,2
577,cny_usd,selfz,location,180,-0.08328303865082332,-0.2530043249149844,0.4,0.04599986863562294,10,2
577,cny_usd,selfz,location,252,-0.06568848227495344,-0.3288633306970968,0.4,-0.04001845946917335,10,2
577,cny_usd,selfz,location,378,0.1885468851131121,-0.13923024447659463,0.4,-0.11683419913693781,10,2
577,cny_usd,selfz,location,504,0.42184674399318095,0.10238180785119116,0.6,-0.11658063543609039,10,2
577,cny_usd,robustz,location,20,-0.07676281019836215,-0.07903999448601076,0.4,0.16526415716509804,10,1
577,cny_usd,robustz,location,40,-0.1362838766368454,-0.2573607856354562,0.3,0.15230974135670272,10,1
577,cny_usd,robustz,location,60,0.1100972853797377,0.27213871252503175,0.6,-0.10691498781922028,10,2
577,cny_usd,robustz,location,90,0.06942006791128696,0.22029113046198578,0.6,-0.08732689468119885,10,2
577,cny_usd,robustz,location,120,-0.0655454642729826,-0.19566144676714609,0.4,0.12525049766246063,10,2
577,cny_usd,robustz,location,180,-0.23316534426860472,-0.3408462893420352,0.4,0.07242586343111845,10,2
577,cny_usd,robustz,location,252,0.016693127008878615,-0.2390896410261735,0.5,-0.12376499166800096,10,2
577,cny_usd,robustz,location,378,0.22706638481888083,-0.0821589406146845,0.5,-0.22564435285089082,10,1
577,cny_usd,robustz,location,504,0.44235544180001796,0.1272147555144627,0.6,-0.12234562213624667,10,2
577,cny_usd,bdtanh,location,20,0.059934775530096136,0.1775068476349067,0.5,0.1897982838376599,10,1
577,cny_usd,bdtanh,location,40,0.022887181613588936,0.10170794064467771,0.5,0.18837305907156082,10,1
577,cny_usd,bdtanh,location,60,0.039246047839830114,0.060330831618340804,0.5,0.16117586230994194,10,1
577,cny_usd,bdtanh,location,90,0.02579824118030903,-0.051271819436774384,0.3,0.1051278844773484,10,2
577,cny_usd,bdtanh,location,120,0.10407495604134774,0.055609623546890044,0.6,0.08051904151323468,10,2
577,cny_usd,bdtanh,location,180,0.09161445396339897,-0.01262935985685644,0.5,-0.007488986237030811,10,2
577,cny_usd,bdtanh,location,252,0.08360695358402641,-0.14524069761406527,0.5,-0.050929228602527674,10,2
577,cny_usd,bdtanh,location,378,0.2899563192972511,0.06487623236515073,0.6,-0.06006744105718507,10,2
577,cny_usd,bdtanh,location,504,0.48307417563832583,0.1905531482537209,0.7,-0.07338228481433119,10,3
577,cny_usd,rankc,location,20,-0.003143987287227181,0.046300112144517576,0.4,0.17493593828603896,10,1
577,cny_usd,rankc,location,40,0.07628332748224347,0.14777365308358764,0.5,0.15824495004264694,10,1
577,cny_usd,rankc,location,60,-0.02810783533842915,-0.042177001528536644,0.5,0.16852538950589646,10,1
577,cny_usd,rankc,location,90,-0.026584187975968055,-0.1000223330793955,0.3,0.14130417290176167,10,2
577,cny_usd,rankc,location,120,0.03740197741140734,-0.015945760613163672,0.4,0.1209776582829576,10,2
577,cny_usd,rankc,location,180,0.003075791027508384,-0.11871036592472003,0.5,0.01629635863012211,10,2
577,cny_usd,rankc,location,252,0.08662681049706715,-0.15897127774402903,0.5,-0.04924349002198699,10,2
577,cny_usd,rankc,location,378,0.269828318920469,0.037877221445040396,0.6,-0.0641071464177921,10,2
577,cny_usd,rankc,location,504,0.3965640915355463,0.12896475801392596,0.6,-0.07731527500835451,10,2
577,cny_usd,signth,location,20,0.11651299455397547,0.24146085907293122,0.4,0.18649906748462008,10,1
577,cny_usd,signth,location,40,0.13230312379555842,0.3521633666495027,0.5,0.1942362445857886,10,1
577,cny_usd,signth,location,60,-0.12452427472076488,-0.26086765540987444,0.3,0.17547888137550324,10,1
577,cny_usd,signth,location,90,0.14906893654656897,-0.13796466944282282,0.3,0.014880659049785848,10,2
577,cny_usd,signth,location,120,0.09826824014459634,-0.13678842107353842,0.5,0.012834974051024501,10,2
577,cny_usd,signth,location,180,0.10115939426108024,-0.18310374929609816,0.4,-0.034047406446648304,10,2
577,cny_usd,signth,location,252,0.3069031623459357,0.08557233020504983,0.5,-0.039898159319454674,10,2
577,cny_usd,signth,location,378,0.41921759893160193,0.19898982540817675,0.6,-0.0635895975980957,10,2
577,cny_usd,signth,location,504,0.4902327123756541,0.3143651947584551,0.6,-0.10248152312886855,10,2
577,cny_usd,dev,location,20,-0.060544302832374074,-0.11526071064190443,0.7,-0.11881390973212333,10,3
577,cny_usd,dev,location,40,0.06371705358249187,0.20557223682219175,0.7,-0.09989570845174418,10,3
577,cny_usd,dev,location,60,0.1302712080218618,0.3154288390947607,0.7,-0.09168430008044796,10,3
577,cny_usd,dev,location,90,-0.15750137004123566,-0.46732081947350096,0.2,0.04352576414035923,10,2
577,cny_usd,dev,location,120,-0.08430620847463773,-0.34727027420905093,0.3,-0.01672876420980488,10,2
577,cny_usd,dev,location,180,-0.10658772706351537,-0.41979202045398684,0.3,-0.1031336407750472,10,2
577,cny_usd,dev,location,252,0.022751575406908732,-0.38358847300642934,0.4,-0.2020439164051182,10,1
577,cny_usd,dev,location,378,0.3799183764728057,0.10471547701564861,0.7,-0.14840373202280932,10,3
577,cny_usd,dev,location,504,0.4723288509349746,0.19268731875750947,0.7,-0.11658438211916038,10,3
577,cny_usd,instStdev,swap,20,0.10993343227966834,0.15305025807220457,0.6,-0.23172732830756856,10,1
577,cny_usd,instStdev,swap,40,0.04091195842568513,0.17897714514121724,0.6,-0.18734286643071033,10,1
577,cny_usd,instStdev,swap,60,0.1564200689996517,0.30844163780031414,0.6,0.19383949974077264,10,1
577,cny_usd,instStdev,swap,90,0.5974289858857236,0.8372507547262223,0.8,-0.1448147647738524,10,4
577,cny_usd,instStdev,swap,120,0.6082091882713327,0.8661797568933659,0.9,-0.22319317954819126,10,3
577,cny_usd,instStdev,swap,180,0.4202637886800565,0.4929641603519401,0.9,-0.23124422805014636,10,2
