cell,window,sign,n_on,SR,null_med,null_p90,pct
CPI|off-2|h2|c2c,c2c,1,199,0.5278935524763297,0.1796405108056787,0.42418031086861024,0.9825
CPI|off-1|h1|night,night,1,199,0.4167759130976403,0.13373454312867006,0.5802951963084011,0.8175
CPI|off-1|h2|ongap,ongap,1,199,0.6938047813986207,0.05051950809379441,0.49607143891239636,0.975
CPI|off1|h2|night,night,1,199,0.5913411321796236,0.26813552674439045,0.6449153803738764,0.86
CPI|off2|h1|night,night,1,199,0.2474749241838465,0.14833219775632422,0.5463194857665982,0.645
GDP_advance|off-2|h2|night,night,1,67,0.6572305139958828,0.13392639065153183,0.5427942291906501,0.9425
GDP_advance|off-1|h1|night,night,1,67,0.8206946737568036,0.08109222934658142,0.5333066158833594,0.985
GDP_advance|off0|h1|ongap,ongap,1,67,0.2297735567397226,-0.027668904942577878,0.44148773270851,0.7375
GDP_advance|off0|h2|ongap,ongap,1,67,0.325557328004502,0.047025837425083594,0.4769998394174707,0.8025
GDP_advance|off1|h1|day,day,1,67,0.4725541851286852,-0.04789782323744515,0.20052603972819708,0.9975
JOLTS|off-2|h1|o2o,o2o,1,191,0.5097830161485994,0.09158099684935941,0.34557876634578183,0.9925
JOLTS|off-1|h2|night,night,1,191,1.1027554541293554,0.28238508896978587,0.6720548327175375,0.995
JOLTS|off0|h1|night,night,1,191,0.7093074541846556,0.1560144842935674,0.5904599917267171,0.9625
JOLTS|off2|h1|c2c,c2c,1,191,0.7499744375943498,0.10252404114678426,0.32761294230100213,1.0
JOLTS|off2|h2|c2c,c2c,1,191,0.6858393293303864,0.19204563421675735,0.443732518287047,0.985
NFP|off0|h2|o2o,o2o,1,199,0.4452978754606835,0.18428549270535696,0.4401291587953958,0.9025
NFP|off1|h2|night,night,1,199,0.7525536990985883,0.2752465320083822,0.6370226847125221,0.9675
NFP|off2|h1|night,night,1,199,0.5859818079221254,0.15086272260322942,0.5672158870575736,0.9075
PCE|off-2|h1|night,night,1,198,0.6477427968684383,0.14121681897212557,0.5351106150323359,0.9425
PPI|off-2|h1|night,night,1,149,0.2637242153623036,0.12500625647271144,0.5490158150656538,0.63
PPI|off-1|h1|o2o,o2o,1,149,0.3188377605122701,0.09281423892955962,0.3439510248494805,0.8675
PPI|off0|h1|night,night,1,149,0.738196325875934,0.17614449610084026,0.568644179729191,0.9725
case_shiller|off-1|h1|o2o,o2o,1,140,0.4131306975376544,0.11589670821120622,0.34827885342282167,0.935
case_shiller|off-1|h2|o2o,o2o,1,140,0.2881878823001925,0.1977332933485556,0.4517324893587648,0.6825
case_shiller|off0|h1|ongap,ongap,1,140,0.5784600172212107,-0.07277360708102601,0.3605449029988419,0.985
case_shiller|off0|h2|night,night,1,140,0.5193705660550075,0.3084997756802465,0.6769685477350174,0.7975
case_shiller|off1|h2|c2c,c2c,1,140,0.2965284251751952,0.1979511196121242,0.4499235816483535,0.705
case_shiller|off1|h2|night,night,1,140,0.3335116966270877,0.26272278727145293,0.651907460037283,0.5725
case_shiller|off2|h2|o2o,o2o,1,140,0.3925767672308579,0.18778435173010571,0.44727151979406365,0.85
claims|off-1|h2|c2c,c2c,1,518,0.4617102660448142,0.3854151931549416,0.5935074075817462,0.6725
claims|off-1|h2|o2o,o2o,1,518,0.4724090821427416,0.40478438901584024,0.6002042470168517,0.68
claims|off0|h1|c2c,c2c,1,518,0.4555690619883825,0.2578808608802322,0.5061583627321065,0.84
claims|off0|h1|o2o,o2o,1,518,0.4708840919362523,0.2538491037346786,0.4793374424951743,0.89
claims|off0|h2|o2o,o2o,1,518,0.6984524138149812,0.41542038293227923,0.6261898628952225,0.95
durable_goods|off-2|h2|o2o,o2o,1,199,0.2837467993835921,0.18399617106264,0.4167046793898913,0.7225
durable_goods|off-1|h2|c2c,c2c,1,199,0.6311657155685623,0.1718888562975699,0.41764784989715215,0.9975
durable_goods|off0|h1|c2c,c2c,1,199,0.5209105299905735,0.08863959598023731,0.3252549802895722,0.99
durable_goods|off0|h2|c2c,c2c,1,199,0.7345498413933728,0.18408082137306642,0.4584391319774872,1.0
durable_goods|off1|h1|c2c,c2c,1,199,0.4390090282943368,0.12268447485929442,0.3479568846934655,0.96
durable_goods|off1|h2|o2o,o2o,1,199,0.5827725624116346,0.179233468390191,0.42401404477213284,0.98
durable_goods|off1|h2|day,day,1,199,0.6771081327571215,-0.0172002940641035,0.22361320410891056,1.0
durable_goods|off2|h2|day,day,1,199,0.5217417406116984,-0.007340058974117404,0.2450847975418948,0.995
housing_starts|off1|h1|o2o,o2o,1,194,0.4675889785128528,0.09095496617676188,0.3220020326492587,0.97
industrial_production|off-2|h1|night,night,1,198,0.7724730681843659,0.13437795950885634,0.5564945401841392,0.9625
industrial_production|off-2|h2|c2c,c2c,1,198,0.3241915740997076,0.159001819409622,0.42039316326023596,0.7875
industrial_production|off-2|h2|night,night,1,198,0.7624682483189996,0.28140003551911175,0.6686213197259576,0.955
new_home_sales|off-1|h2|c2c,c2c,1,195,0.2680502704388657,0.18236392203746696,0.4434859829238088,0.6625
new_home_sales|off-1|h2|o2o,o2o,1,195,0.2828341816121275,0.17671305507814875,0.4055093863223398,0.7225
new_home_sales|off0|h2|c2c,c2c,1,195,0.7191343173242347,0.19606821949439274,0.4406347713672519,0.9975
new_home_sales|off1|h1|c2c,c2c,1,195,0.6462469550542856,0.09272192294609603,0.3658823799654562,0.9975
new_home_sales|off1|h2|c2c,c2c,1,195,0.7237530572018651,0.19252463947124812,0.4230853871534187,0.9975
new_home_sales|off1|h2|o2o,o2o,1,195,0.5384496137509566,0.17449378645139932,0.4373346581818136,0.965
new_home_sales|off1|h2|day,day,1,195,0.3508734359915219,-0.031289782144242835,0.2273950560985409,0.965
new_home_sales|off2|h1|o2o,o2o,1,195,0.5169722229113547,0.0769414516167459,0.33357083354867034,0.9825
new_home_sales|off2|h1|day,day,1,195,0.5210450632139039,-0.07308976339420782,0.1851865296711038,1.0
new_home_sales|off2|h2|o2o,o2o,1,195,0.3612008318879726,0.18310750585484348,0.3864687948209409,0.8575
new_home_sales|off2|h2|day,day,1,195,0.5999589482993282,-0.02210956507546563,0.19084308870424974,1.0
retail_sales|off-2|h1|night,night,1,200,0.9337441520539712,0.12061928783290832,0.49393720868790636,0.9975
retail_sales|off-2|h2|night,night,1,200,0.69044599171836,0.29093547841924733,0.6685946080905071,0.915
trade_balance|off-2|h2|night,night,1,199,0.5498325151610642,0.30831635834580684,0.671690468316875,0.8175
trade_balance|off-1|h2|night,night,1,199,0.6419930842081493,0.2982026933147162,0.7056084257644514,0.8575
trade_balance|off0|h1|night,night,1,199,0.2816740385690494,0.15091146745357054,0.5525286241427619,0.655
trade_balance|off2|h1|night,night,1,199,0.4641892028089231,0.12431555731211821,0.5348229890920688,0.855
umich_sentiment|off-2|h1|c2c,c2c,1,197,0.518464247094593,0.09871849091971402,0.3569299311900708,0.99
umich_sentiment|off-2|h2|c2c,c2c,1,197,0.7331982974880249,0.20003084169477092,0.42826554715500015,1.0
umich_sentiment|off-2|h2|o2o,o2o,1,197,0.4329793339385075,0.19298811194793336,0.4329966432952536,0.9
umich_sentiment|off-2|h2|night,night,1,197,0.4267504518561323,0.2603858986237766,0.6487494237950919,0.71
umich_sentiment|off-1|h1|o2o,o2o,1,197,0.5988200356180937,0.07980812378181146,0.3642447839463244,0.9925
umich_sentiment|off-1|h2|night,night,1,197,0.4413322580887347,0.30413699371117175,0.6936497572936112,0.6525
umich_sentiment|off2|h2|night,night,1,197,0.710107515432567,0.2666086479287899,0.6454832552660958,0.9425
