event,field,kwin,hold,shape,variant,cell,sign,SR_IS,SR_OOS,full_SR_net,full_SR_of_SR,full_positive_years,full_yr_sr_min,full_n_years,full_beta,full_mean_exec_w,full_abs_exec_w,full_turnover_ann,full_held_pct,full_max_dd_days,full_n_bars
CPI,cpi_core_sa,12,3,z,o2o,CPI|cpi_core_sa|k12|h3|z|o2o,1,0.2997255019983788,0.11875194241684865,0.19718121803191296,0.6408182270504549,0.8235294117647058,-0.9809426473586607,17,0.0027697823430909768,-0.0007919624418582635,0.027686757859153276,4.651375320337751,9.162136232811001,2181,6254
CPI,cpi_core_sa,36,3,z,o2o,CPI|cpi_core_sa|k36|h3|z|o2o,1,0.37886400569087,0.1847313957858418,0.2550216475815406,0.7222450624453555,0.8235294117647058,-1.0087317679922232,17,0.003959117805882307,0.0005934184062158703,0.02728379144325203,4.583676962466341,9.401982731052126,2181,6254
CPI,cpi_core_sa,36,3,sgn,o2o,CPI|cpi_core_sa|k36|h3|sgn|o2o,1,0.29509495870542496,0.2833402178161882,0.28006658068157947,0.7408585246980106,0.7647058823529411,-0.6383601354875417,17,0.006354860870536744,0.0019187719859290054,0.030700351774864087,5.157659098177167,3.0700351774864085,2200,6254
PCE,pce_core_sa,36,1,sgn,o2o,PCE|pce_core_sa|k36|h1|sgn|o2o,1,0.3276882717065547,0.90518188817727,0.5647267431076372,0.778398861339382,0.8235294117647058,-1.0139988560198194,17,0.0007448089120533808,0.002398464982411257,0.010073552926127279,5.077070674768148,1.0073552926127278,2517,6254
PPI,ppi_final_demand_sa,12,3,sgn,ongap,PPI|ppi_final_demand_sa|k12|h3|sgn|ongap,-1,0.20522793145077362,0.3114899130164188,0.29266353612117757,0.6964256734267907,0.7,-0.6284684918191666,10,-0.023881248394585428,0.0017667844522968198,0.053886925795053005,9.015901060070671,5.3886925795053005,447,2264
NFP,nfp_thousands,36,3,sgn,o2o,NFP|nfp_thousands|k36|h3|sgn|o2o,-1,0.20785263489983616,0.8290830304180353,0.4659439128547055,0.6097385239913193,0.8,-1.379398454193779,15,-0.0022923856896099703,0.0019187719859290054,0.030700351774864087,5.157659098177167,3.0700351774864085,2230,6254
NFP,unemployment_rate,36,10,z,c2c,NFP|unemployment_rate|k36|h10|z|c2c,1,0.2855225093880376,0.3922389125989457,0.3194851870974843,0.6469511624358139,0.7647058823529411,-1.2769156851328198,17,-0.015008851333255604,-0.00545536002779556,0.07446620068031705,3.755837379255974,30.84425967380876,2176,6254
NFP,unemployment_rate,36,10,z,o2o,NFP|unemployment_rate|k36|h10|z|o2o,1,0.1603817700576872,0.5327279747533865,0.29866978933114685,0.677429391758757,0.8235294117647058,-1.6571639993283058,17,-0.013777283539048155,-0.00545536002779556,0.07446620068031705,3.755837379255974,30.84425967380876,2176,6254
NFP,unemployment_rate,36,10,z,day,NFP|unemployment_rate|k36|h10|z|day,1,0.265497040469714,0.4614015216888272,0.3341494672277494,0.6700162189766322,0.8823529411764706,-1.5439787052576448,17,-0.011039033777833628,-0.0054544878679190145,0.07445429561226265,3.755236925638187,30.839328537170264,2176,6255
claims,initial_claims,12,1,z,c2c,claims|initial_claims|k12|h1|z|c2c,1,0.23563350579410444,0.6186912014014472,0.3723131090800191,0.6102477432681477,0.7272727272727273,-1.0444831797326086,11,0.00012535085798277143,0.0013366603635693388,0.022768626566450775,11.469674264050035,8.042852574352414,3850,6254
