frac,sign,n_bars,SR_gross,SR_net,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,start_date,end_date,passes
0.05,1,2264,0.055370635653327054,-0.059565970722381754,0.22786818977486709,0.6,-1.9185462412321799,10,0.0580064040480475,0.053886925795053005,0.053886925795053005,-10.522131441900305,1562,26.379858657243815,5.3886925795053005,2017-05-16,2026-09-01,False
0.05,1,2264,-0.3794291137911299,-0.4780702978873817,-0.17609670487366655,0.4,-2.0539179906504996,10,0.08015815628356235,0.054770318021201414,0.054770318021201414,-20.500262715232264,1760,26.379858657243815,5.477031802120141,2017-05-16,2026-09-01,False
0.05,1,2264,-0.2068026355740338,-0.3102972836334442,-0.303832752161192,0.4,-2.0237472337656652,10,0.05502420361010217,0.04814487632508834,0.04814487632508834,-10.49132905251088,1578,22.26148409893993,4.814487632508834,2017-05-16,2026-09-01,False
0.05,1,2264,0.48090052338884537,0.3998997692402861,0.42752432871190343,0.6,-0.9897929653670482,10,0.09819711954989908,0.052120141342756186,0.052120141342756186,-4.542682119232029,684,24.821554770318023,5.212014134275619,2017-05-16,2026-09-01,False
0.05,1,2264,0.33251391751378817,0.17590810830992207,0.17637280446578488,0.5,-1.69805535022454,10,0.02605860098284018,0.04814487632508834,0.04814487632508834,-8.573026636960826,1484,23.263250883392228,4.814487632508834,2017-05-16,2026-09-01,False
0.05,1,2264,0.49222817953625847,0.3592394443932422,0.3028021082031034,0.5,-1.113796753498452,10,0.04076316571806199,0.05035335689045936,0.05035335689045936,-3.946077141059083,1097,24.598939929328623,5.035335689045936,2017-05-16,2026-09-01,False
0.05,1,2264,0.2480053987351572,0.13408435204462793,0.04155896150497101,0.6,-1.9703470631961384,10,0.05089324090042586,0.04814487632508834,0.04814487632508834,-5.921833891770151,846,23.151943462897528,4.814487632508834,2017-05-16,2026-09-01,False
0.05,1,2264,0.10282430618978554,-0.043730327955126796,0.08690511323513071,0.5,-1.737688953451066,10,0.03365760266549526,0.053003533568904596,0.053003533568904596,-8.797633391775847,1085,25.934628975265017,5.30035335689046,2017-05-16,2026-09-01,False
0.05,1,2264,-0.17155298166466335,-0.2976813882477206,0.04191616705419264,0.5,-1.8871164708643973,10,0.04467549109339765,0.05167844522968198,0.05167844522968198,-11.759469317590316,1004,24.487632508833922,5.167844522968198,2017-05-16,2026-09-01,False
0.05,1,2264,0.26242562111023576,0.1530262138593159,0.510974260960968,0.7,-0.9860156016238449,10,0.044550824209037776,0.04549469964664311,0.04549469964664311,-6.745222695946443,462,22.15017667844523,4.54946996466431,2017-05-16,2026-09-01,False
0.05,1,2264,0.9095159821721803,0.7952135344925527,1.4961096806386083,0.9,-0.14800160525527997,10,0.04123995419523025,0.045936395759717315,0.045936395759717315,-2.6860104466698953,344,22.26148409893993,4.593639575971731,2017-05-16,2026-09-01,True
0.05,1,2264,-0.06725476876351084,-0.19517696831849649,0.05014595093011776,0.3,-0.8385718456751003,10,0.03682055406170848,0.05035335689045936,0.05035335689045936,-6.678796905033299,2071,23.151943462897528,5.035335689045936,2017-05-16,2026-09-01,False
0.05,1,2264,0.5871847688110416,0.462745031368884,0.4123604915714058,0.7,-1.1124595330861282,10,0.03888903639359234,0.04726148409893993,0.04726148409893993,-3.2522723416392325,413,22.59540636042403,4.726148409893993,2017-05-16,2026-09-01,False
0.05,1,2264,0.1845998025178409,0.07303848394983654,0.36134974780266543,0.7,-1.202315025033092,10,0.03961384742949878,0.04107773851590106,0.04107773851590106,-7.57994553618717,879,20.146643109540637,4.107773851590106,2017-05-16,2026-09-01,False
