panel,feature,transform,window,variant,cell,sign,SR_IS,SR_OOS,full_SR_net,full_SR_of_SR,full_positive_years,full_yr_sr_min,full_n_years,full_beta,full_mean_exec_w,full_abs_exec_w,full_turnover_ann,full_held_pct,full_max_dd_days,full_n_bars
monthly,put_oi_total,selfz,20,c2c,monthly|put_oi_total|selfz|w20|c2c,-1,0.06580460680833347,0.1690892549929694,0.12221230527646629,0.07281467035003152,0.5,-2.0425355214561716,18,0.016844569252411273,-0.053609666068065165,0.8731665252883157,84.73861728055515,99.35245143385754,3457,4324
monthly,put_oi_total,selfz,20,o2o,monthly|put_oi_total|selfz|w20|o2o,-1,0.16879564519862225,0.06429551503159306,0.11302436659774351,0.062478523399394366,0.5,-3.179931546853397,18,0.003375826504633349,-0.053609666068065165,0.8731665252883157,84.73861728055515,99.35245143385754,1461,4324
monthly,put_oi_total,selfz,20,day,monthly|put_oi_total|selfz|w20|day,-1,0.2541261825044231,-0.1439399378003403,0.05387684330153878,0.019375507723865384,0.5,-3.3449895466567026,18,-0.005143630580792992,-0.05344227268434081,0.8731196351595877,84.7235476513615,99.35260115606937,1228,4325
monthly,put_oi_total,selfz,60,c2c,monthly|put_oi_total|selfz|w60|c2c,1,-0.009115583971568246,-0.3015511543637454,-0.17288382572374006,-0.18029646378413766,0.3888888888888889,-1.9318716408326486,18,-0.05335833089315487,0.004647471002302346,0.8512140300210269,80.11326599736825,99.27973977695167,4266,4304
monthly,put_oi_total,selfz,60,o2o,monthly|put_oi_total|selfz|w60|o2o,1,-0.015779934161008823,-0.18084846637262508,-0.10706079382823157,-0.08074885357936439,0.3888888888888889,-1.9338066717056956,18,-0.033597208021684255,0.004647471002302346,0.8512140300210269,80.11326599736825,99.27973977695167,4244,4304
monthly,put_oi_total,selfz,60,day,monthly|put_oi_total|selfz|w60|day,-1,0.24845785871163747,-0.4071429719485588,-0.09079103675856687,-0.09677235409036944,0.6111111111111112,-2.9599681469581895,18,0.04323068583883443,-0.004479262382563222,0.8511834322526073,80.0975855573589,99.27990708478514,1911,4305
monthly,put_oi_total,selfz,120,c2c,monthly|put_oi_total|selfz|w120|c2c,1,-0.0519881814680117,-0.3260400949432913,-0.20884062543996057,-0.18859598657989093,0.4444444444444444,-1.9020981941134194,18,-0.09946055359376932,-0.026155381798380003,0.842208241344858,76.80747846392663,99.22788956481048,4266,4274
monthly,put_oi_total,selfz,120,o2o,monthly|put_oi_total|selfz|w120|o2o,1,-0.0943643137374705,-0.22460169308860772,-0.16817689192527988,-0.0990882094684202,0.3888888888888889,-2.1610554358845615,18,-0.0848543992490513,-0.026155381798380003,0.842208241344858,76.80747846392663,99.22788956481048,4244,4274
monthly,put_oi_total,selfz,120,day,monthly|put_oi_total|selfz|w120|day,-1,0.3268993802968484,-0.4326508986683219,-0.08006640970931377,-0.10753127776830936,0.6111111111111112,-2.7370564815942644,18,0.09269686685984349,0.02635575771115931,0.8422177276998487,76.79182288209779,99.2280701754386,1911,4275
monthly,put_oi_total,selfz,252,c2c,monthly|put_oi_total|selfz|w252|c2c,1,-0.08785073200733458,-0.37969325446445296,-0.2611363927144058,-0.2585324235467509,0.5,-1.9510053470358644,18,-0.16741940920442785,-0.060652734672634226,0.8570157646510117,72.63043130032544,99.42965779467681,2214,4208
monthly,put_oi_total,selfz,252,o2o,monthly|put_oi_total|selfz|w252|o2o,-1,0.017918830674117443,0.16521892975822927,0.10435889655885969,0.02601170744515223,0.5,-2.639304665465632,18,0.14341368643034821,0.060652734672634226,0.8570157646510117,72.63043130032544,99.42965779467681,1868,4208
monthly,put_oi_total,selfz,252,day,monthly|put_oi_total|selfz|w252|day,-1,0.36279762815751243,-0.46524292319160604,-0.09243628870848415,-0.12807547951453965,0.5555555555555556,-2.6040884346006083,18,0.13374943867667913,0.06088717544790396,0.8570610006199194,72.6150674389263,99.42979330007128,2723,4209
monthly,put_oi_total,robustz,20,c2c,monthly|put_oi_total|robustz|w20|c2c,-1,0.08783043641782574,-0.5428823616085537,-0.32755551208971573,-0.2763346320144135,0.3888888888888889,-3.1828824637369344,18,-0.2209875187655042,-0.2884759515332447,0.9387290921070661,98.60628300829286,99.11935110081113,3616,4315
monthly,put_oi_total,robustz,20,o2o,monthly|put_oi_total|robustz|w20|o2o,-1,0.045396003395757625,-0.5620510089178425,-0.3513466961488928,-0.200478567262999,0.3333333333333333,-4.184378211845511,18,-0.20293355962963608,-0.2884759515332447,0.9387290921070661,98.60628300829286,99.11935110081113,2689,4315
monthly,put_oi_total,robustz,20,day,monthly|put_oi_total|robustz|w20|day,-1,0.3788989021320504,-0.23529966589507276,-0.010896275339006329,0.0015119240978585617,0.5555555555555556,-3.776670948055033,18,-0.200042640045996,-0.2882706260317686,0.9386500790905532,98.58586832182154,99.11955514365152,1020,4316
monthly,put_oi_total,robustz,60,c2c,monthly|put_oi_total|robustz|w60|c2c,1,-0.09282750255869371,0.013369569826862698,-0.026959324767169085,0.017535658690409548,0.5555555555555556,-1.197058938794315,18,0.13278108371234712,0.21329269006811555,0.8588077709392178,85.50994843349707,98.76023391812866,4219,4275
monthly,put_oi_total,robustz,60,o2o,monthly|put_oi_total|robustz|w60|o2o,-1,-0.034839346149634215,-0.3700094647067932,-0.24093939846640935,-0.2262754048290816,0.3333333333333333,-4.121140356483023,18,-0.14084693602930815,-0.21329269006811555,0.8588077709392178,85.50994843349707,98.76023391812866,3616,4275
monthly,put_oi_total,robustz,60,day,monthly|put_oi_total|robustz|w60|day,-1,0.2976961129572677,-0.6044613216139694,-0.2301703558363156,-0.17690958812353785,0.5,-3.272160236906059,18,-0.12827859891557467,-0.21314510955672733,0.8587046263661795,85.49253381107974,98.76052385406922,1911,4276
monthly,put_oi_total,robustz,120,c2c,monthly|put_oi_total|robustz|w120|c2c,1,0.004295862970720564,-0.04567860860154157,-0.02735924963787528,0.021973341381762667,0.5555555555555556,-1.332695326119424,18,0.10165768641485377,0.17465910761925663,0.8381828483732987,80.21592814140253,98.69513641755636,1626,4215
monthly,put_oi_total,robustz,120,o2o,monthly|put_oi_total|robustz|w120|o2o,-1,-0.07227768309469083,-0.241069680482893,-0.1776205270056942,-0.1954716675636658,0.3333333333333333,-3.848700621809998,18,-0.10855255544843999,-0.17465910761925663,0.8381828483732987,80.21592814140253,98.69513641755636,3631,4215
