date,put_oi_monthly,put_oi_all
2001-12-24,90,90
2001-12-25,221,221
2001-12-26,414,414
2001-12-27,555,555
2001-12-28,680,680
2001-12-31,941,941
2002-01-02,1072,1072
2002-01-03,1277,1277
2002-01-04,1512,1512
2002-01-07,1683,1683
2002-01-08,1810,1810
2002-01-09,2039,2039
2002-01-10,2203,2203
2002-01-11,2310,2310
2002-01-14,2337,2337
2002-01-15,2371,2371
2002-01-16,2522,2522
2002-01-17,861,861
2002-01-18,943,943
2002-01-21,1169,1169
2002-01-22,1378,1378
2002-01-23,1664,1664
2002-01-24,1824,1824
2002-01-25,2008,2008
2002-01-28,2125,2125
2002-01-29,2174,2174
2002-01-30,2233,2233
2002-01-31,2241,2241
2002-02-01,2223,2223
2002-02-04,2194,2194
2002-02-05,2226,2226
2002-02-06,2275,2275
2002-02-18,2353,2353
2002-02-19,2508,2508
2002-02-20,2869,2869
2002-02-21,1175,1175
2002-02-22,1577,1577
2002-02-25,1988,1988
2002-02-26,2641,2641
2002-02-27,2748,2748
2002-03-01,3028,3028
2002-03-04,3280,3280
2002-03-05,3442,3442
2002-03-06,3609,3609
2002-03-07,3788,3788
2002-03-08,3957,3957
2002-03-11,4177,4177
2002-03-12,4303,4303
2002-03-13,4579,4579
2002-03-14,4726,4726
2002-03-15,4853,4853
2002-03-18,5049,5049
2002-03-19,5228,5228
2002-03-20,5721,5721
2002-03-21,1729,1729
2002-03-22,2120,2120
2002-03-25,2452,2452
2002-03-26,2716,2716
2002-03-27,2919,2919
2002-03-28,3064,3064
2002-03-29,3390,3390
2002-04-01,3516,3516
2002-04-02,3752,3752
2002-04-03,3996,3996
2002-04-04,4069,4069
2002-04-08,4216,4216
2002-04-09,4300,4300
2002-04-10,4715,4715
2002-04-11,5109,5109
2002-04-12,5763,5763
2002-04-15,6141,6141
2002-04-16,6561,6561
2002-04-17,7184,7184
2002-04-18,3645,3645
2002-04-19,4394,4394
2002-04-22,4868,4868
2002-04-23,5667,5667
2002-04-24,6379,6379
2002-04-25,6902,6902
2002-04-26,7258,7258
2002-04-29,7621,7621
2002-04-30,7739,7739
