signal,variant,window,live,max|stored-raw|,max|stored-fix|,SR_raw,SR_fix,dSR,SoS_raw,SoS_fix,posyr_raw,posyr_fix
lt_top10_bsdiff_selftanh_w15,c2c,full,True,0.00e+00,2.91e-02,0.789,0.798,0.009,0.786,0.789,0.722,0.722
lt_top10_bsdiff_selftanh_w15,c2c,2019+,True,0.00e+00,2.91e-02,1.031,0.993,-0.038,1.068,1.007,0.75,0.75
lt_top10_bsdiff_selftanh_w15,o2o,full,False,0.00e+00,2.32e-02,0.88,0.872,-0.008,0.759,0.754,0.722,0.722
lt_top10_bsdiff_selftanh_w15,o2o,2019+,False,0.00e+00,2.32e-02,1.03,0.985,-0.046,0.988,0.934,0.75,0.75
lt_top10_bsdiff_selftanh_w15,noonpause,full,False,0.00e+00,3.07e-02,-0.277,-0.694,-0.416,-0.374,-1.187,0.3,0.1
lt_top10_bsdiff_selftanh_w15,noonpause,2019+,False,0.00e+00,3.07e-02,-0.341,-0.727,-0.386,-0.726,-1.383,0.25,0.0
lt_top10_bsdiff_selftanh_w15,day,full,False,0.00e+00,0.00e+00,0.887,0.887,0.0,0.742,0.742,0.778,0.778
lt_top10_bsdiff_selftanh_w15,day,2019+,False,0.00e+00,0.00e+00,0.753,0.753,0.0,0.703,0.703,0.75,0.75
lt_top10_bsdiff_selftanh_w15,ongap,full,False,0.00e+00,0.00e+00,-0.081,-0.081,0.0,-0.076,-0.076,0.5,0.5
lt_top10_bsdiff_selftanh_w15,ongap,2019+,False,0.00e+00,0.00e+00,-0.153,-0.153,0.0,-0.067,-0.067,0.5,0.5
lt_top10_bsdiff_selftanh_w15,night,full,False,0.00e+00,0.00e+00,1.044,1.044,0.0,0.982,0.982,0.7,0.7
lt_top10_bsdiff_selftanh_w15,night,2019+,False,0.00e+00,0.00e+00,1.09,1.09,0.0,1.159,1.159,0.75,0.75
lt_top10npct_signth_w60,c2c,full,False,0.00e+00,2.86e-02,0.656,0.602,-0.054,0.885,0.795,0.722,0.722
lt_top10npct_signth_w60,c2c,2019+,False,0.00e+00,2.86e-02,0.909,0.888,-0.021,1.422,1.429,0.875,0.875
lt_top10npct_signth_w60,o2o,full,False,0.00e+00,2.04e-02,0.743,0.7,-0.043,0.804,0.734,0.778,0.778
lt_top10npct_signth_w60,o2o,2019+,False,0.00e+00,2.04e-02,0.906,0.858,-0.048,1.158,1.066,0.875,0.875
lt_top10npct_signth_w60,noonpause,full,False,0.00e+00,3.01e-02,-0.117,-0.386,-0.27,-0.204,-0.613,0.4,0.2
lt_top10npct_signth_w60,noonpause,2019+,False,0.00e+00,3.01e-02,-0.188,-0.403,-0.215,-0.745,-0.665,0.375,0.125
lt_top10npct_signth_w60,day,full,True,0.00e+00,0.00e+00,0.789,0.789,0.0,0.588,0.588,0.778,0.778
lt_top10npct_signth_w60,day,2019+,True,0.00e+00,0.00e+00,0.799,0.799,0.0,0.581,0.581,0.75,0.75
lt_top10npct_signth_w60,ongap,full,False,0.00e+00,0.00e+00,0.14,0.14,0.0,0.302,0.302,0.7,0.7
lt_top10npct_signth_w60,ongap,2019+,False,0.00e+00,0.00e+00,0.117,0.117,0.0,0.294,0.294,0.75,0.75
lt_top10npct_signth_w60,night,full,False,0.00e+00,0.00e+00,0.72,0.72,0.0,1.083,1.083,0.9,0.9
lt_top10npct_signth_w60,night,2019+,False,0.00e+00,0.00e+00,0.792,0.792,0.0,1.246,1.246,0.875,0.875
month_turn_drift_d5_d10,c2c,full,True,0.00e+00,3.17e-02,0.603,0.668,0.065,0.742,0.82,0.692,0.692
month_turn_drift_d5_d10,c2c,2019+,True,0.00e+00,3.17e-02,1.082,1.127,0.045,1.281,1.377,0.875,0.875
month_turn_drift_d5_d10,o2o,full,False,0.00e+00,2.90e-02,0.546,0.606,0.06,0.728,0.797,0.731,0.731
month_turn_drift_d5_d10,o2o,2019+,False,0.00e+00,2.90e-02,0.994,1.043,0.049,1.148,1.259,0.875,0.875
month_turn_drift_d5_d10,noonpause,full,False,0.00e+00,3.19e-02,0.138,0.353,0.215,0.128,0.708,0.3,0.8
month_turn_drift_d5_d10,noonpause,2019+,False,0.00e+00,3.19e-02,0.211,0.418,0.207,0.382,1.123,0.375,1.0
month_turn_drift_d5_d10,day,full,False,0.00e+00,0.00e+00,0.184,0.184,0.0,0.303,0.303,0.615,0.615
month_turn_drift_d5_d10,day,2019+,False,0.00e+00,0.00e+00,0.25,0.25,0.0,0.394,0.394,0.625,0.625
month_turn_drift_d5_d10,ongap,full,False,0.00e+00,0.00e+00,0.229,0.229,0.0,0.535,0.535,0.6,0.6
month_turn_drift_d5_d10,ongap,2019+,False,0.00e+00,0.00e+00,0.26,0.26,0.0,0.498,0.498,0.625,0.625
month_turn_drift_d5_d10,night,full,False,0.00e+00,0.00e+00,1.026,1.026,0.0,1.703,1.703,0.9,0.9
month_turn_drift_d5_d10,night,2019+,False,0.00e+00,0.00e+00,1.015,1.015,0.0,1.467,1.467,0.875,0.875
nfci_loose_drift_d3_12,c2c,full,True,0.00e+00,2.82e-02,0.59,0.661,0.071,0.812,0.861,0.75,0.75
nfci_loose_drift_d3_12,c2c,2019+,True,0.00e+00,1.68e-02,1.1,1.182,0.082,1.287,1.405,1.0,1.0
nfci_loose_drift_d3_12,o2o,full,False,0.00e+00,2.32e-02,0.574,0.631,0.057,0.826,0.875,0.708,0.75
nfci_loose_drift_d3_12,o2o,2019+,False,0.00e+00,1.76e-02,1.147,1.229,0.082,1.641,1.908,1.0,1.0
nfci_loose_drift_d3_12,noonpause,full,False,0.00e+00,1.85e-02,-0.073,0.822,0.895,-0.095,0.741,0.333,0.667
nfci_loose_drift_d3_12,noonpause,2019+,False,0.00e+00,1.70e-02,0.219,0.925,0.706,0.097,0.876,0.429,0.714
nfci_loose_drift_d3_12,day,full,False,0.00e+00,0.00e+00,0.136,0.136,0.0,0.243,0.243,0.5,0.5
nfci_loose_drift_d3_12,day,2019+,False,0.00e+00,0.00e+00,0.356,0.356,0.0,0.322,0.322,0.571,0.571
nfci_loose_drift_d3_12,ongap,full,False,0.00e+00,0.00e+00,0.18,0.18,0.0,0.355,0.355,0.556,0.556
nfci_loose_drift_d3_12,ongap,2019+,False,0.00e+00,0.00e+00,0.092,0.092,0.0,0.101,0.101,0.429,0.429
nfci_loose_drift_d3_12,night,full,False,0.00e+00,0.00e+00,1.38,1.38,0.0,1.889,1.889,1.0,1.0
nfci_loose_drift_d3_12,night,2019+,False,0.00e+00,0.00e+00,1.383,1.383,0.0,1.961,1.961,1.0,1.0
opt_call_all_oi_signth_w20,c2c,full,False,0.00e+00,3.01e-02,0.274,0.085,-0.189,0.391,0.21,0.64,0.52
