signal,window,live_variant,SR_live_page,SR_live_rolladj,dSR_live,SoS_live,SoS_live_rolladj,posyr_live,posyr_live_rolladj,SR_c2c_real_raw,SR_c2c_real_adj
lt_top10_bsdiff_selftanh_w15,full,c2c,0.789,0.798,0.009,0.786,0.789,0.722,0.722,0.739,0.747
lt_top10_bsdiff_selftanh_w15,2019+,c2c,1.031,0.993,-0.038,1.068,1.007,0.75,0.75,0.99,0.951
lt_top10npct_signth_w60,full,day,0.789,,,0.588,,0.778,,0.616,0.561
lt_top10npct_signth_w60,2019+,day,0.799,,,0.581,,0.75,,0.882,0.861
month_turn_drift_d5_d10,full,c2c,0.603,0.668,0.065,0.742,0.82,0.692,0.692,0.586,0.651
month_turn_drift_d5_d10,2019+,c2c,1.082,1.127,0.045,1.281,1.377,0.875,0.875,1.072,1.117
nfci_loose_drift_d3_12,full,c2c,0.59,0.661,0.071,0.812,0.861,0.75,0.75,0.592,0.663
nfci_loose_drift_d3_12,2019+,c2c,1.1,1.182,0.082,1.287,1.405,1.0,1.0,1.122,1.205
tv_taiex_over_spy_chg_ratio_n60_pctw120,full,c2c,0.403,0.413,0.01,0.591,0.611,0.68,0.76,0.41,0.424
tv_taiex_over_spy_chg_ratio_n60_pctw120,2019+,c2c,0.654,0.653,-0.001,0.701,0.726,0.75,0.875,0.618,0.618
us_log_ratio_pct_chg_w120,full,ongap,0.793,,,0.486,,0.9,,0.396,0.399
us_log_ratio_pct_chg_w120,2019+,ongap,0.948,,,1.19,,1.0,,0.818,0.784
us_sox_agree_amp_n20_robustw20,full,day,0.232,,,0.457,,0.769,,0.351,0.335
us_sox_agree_amp_n20_robustw20,2019+,day,0.728,,,0.955,,1.0,,0.723,0.73
us_sox_spy_ret_product_n5_pctw20,full,c2c,0.261,0.302,0.04,0.37,0.401,0.769,0.731,0.172,0.209
us_sox_spy_ret_product_n5_pctw20,2019+,c2c,0.564,0.647,0.083,0.868,0.975,0.875,0.75,0.512,0.592
us_sox_spy_rollcorr_w60_rz_w120,full,c2c,0.089,0.101,0.011,0.157,0.167,0.654,0.577,0.121,0.136
us_sox_spy_rollcorr_w60_rz_w120,2019+,c2c,0.399,0.412,0.013,0.86,0.912,0.875,0.75,0.392,0.405
