signal,window,enabled,frozen_sign,rec_variants,SR_net_raw,SR_net_adj,SR_net_d,SR_gross_raw,SR_gross_adj,SR_gross_d,SR_of_SR_raw,SR_of_SR_adj,SR_of_SR_d,positive_years_raw,positive_years_adj,positive_years_d,beta_raw,beta_adj,beta_d,n_years_raw,n_years_adj,n_years_d,yr_sr_min_raw,yr_sr_min_adj,yr_sr_min_d,max_dd_days_raw,max_dd_days_adj,max_dd_days_d,turnover_ann_raw,turnover_ann_adj,turnover_ann_d,alpha_ann_pct_raw,alpha_ann_pct_adj,alpha_ann_pct_d,n_bars_raw,n_bars_adj,n_bars_d,gates_raw,gates_adj,pass4_raw,pass4_adj,fails_adj,fails_raw,gate_status_changed,gate_flips,autoflip_sign_raw,autoflip_sign_adj
lt_top10_bsdiff_selftanh_w15,full,True,1,c2c,0.739,0.747,0.008,0.828,0.838,0.01,0.724,0.728,0.004,0.722,0.722,0.0,-0.074,-0.068,0.006,18,18,0,-1.495,-1.365,0.13,543,400,-143,73.49,73.49,0.0,11.261,11.448,0.187,4275,4275,0,4,4,True,True,-,-,False,-,1,1
lt_top10_bsdiff_selftanh_w15,2019+,True,1,c2c,0.99,0.951,-0.039,1.054,1.016,-0.038,1.024,0.965,-0.059,0.75,0.75,0.0,-0.042,-0.028,0.014,8,8,0,-0.437,-0.546,-0.109,253,253,0,80.48,80.48,0.0,16.619,15.489,-1.13,1860,1860,0,4,4,True,True,-,-,False,-,1,1
lt_top10npct_signth_w60,full,True,1,day,0.616,0.561,-0.055,0.676,0.622,-0.054,0.825,0.733,-0.092,0.722,0.667,-0.055,-0.083,-0.08,0.003,18,18,0,-0.626,-0.582,0.044,702,706,4,49.45,49.45,0.0,9.749,9.201,-0.548,4281,4281,0,4,4,True,True,-,-,False,-,1,1
lt_top10npct_signth_w60,2019+,True,1,day,0.882,0.861,-0.021,0.924,0.903,-0.021,1.395,1.4,0.005,0.875,0.875,0.0,-0.073,-0.067,0.006,8,8,0,-0.203,-0.223,-0.02,333,333,0,52.91,52.91,0.0,15.501,14.984,-0.517,1860,1860,0,4,4,True,True,-,-,False,-,1,1
month_turn_drift_d5_d10,full,True,1,c2c,0.586,0.651,0.065,0.611,0.676,0.065,0.724,0.803,0.079,0.692,0.692,0.0,0.721,0.729,0.008,26,26,0,-1.222,-1.148,0.074,798,743,-55,22.93,22.93,0.0,3.186,0.984,-2.202,6253,6253,0,3,3,False,False,|beta|<0.15,|beta|<0.15,False,-,1,1
month_turn_drift_d5_d10,2019+,True,1,c2c,1.072,1.117,0.045,1.088,1.132,0.044,1.274,1.37,0.096,0.875,0.875,0.0,0.735,0.752,0.017,8,8,0,-0.684,-0.528,0.156,327,318,-9,22.76,22.76,0.0,2.671,0.677,-1.994,1860,1860,0,3,3,False,False,|beta|<0.15,|beta|<0.15,False,-,1,1
nfci_loose_drift_d3_12,full,True,1,c2c,0.592,0.663,0.071,0.6,0.671,0.071,0.812,0.861,0.049,0.75,0.75,0.0,0.152,0.153,0.001,24,24,0,-0.482,-0.704,-0.222,595,550,-45,3.59,3.59,0.0,3.536,3.421,-0.115,6253,6253,0,3,3,False,False,|beta|<0.15,|beta|<0.15,False,-,1,1
nfci_loose_drift_d3_12,2019+,True,1,c2c,1.122,1.205,0.083,1.128,1.211,0.083,1.322,1.452,0.13,1.0,1.0,0.0,0.148,0.15,0.002,7,7,0,0.464,0.641,0.177,595,393,-202,4.2,4.2,0.0,5.918,6.002,0.084,1860,1860,0,4,3,True,False,|beta|<0.15,-,True,|beta|<0.15:True→False,1,1
opt_call_all_oi_signth_w20,full,False,-1,(auto),0.21,0.021,-0.189,0.306,0.117,-0.189,0.323,0.137,-0.186,0.64,0.44,-0.2,-0.084,-0.07,0.014,25,25,0,-2.359,-2.404,-0.045,1689,4434,2745,87.6,87.6,0.0,4.146,1.401,-2.745,6014,6014,0,2,2,False,False,"SR_of_SR>0.6,posyr>=0.65","SR_of_SR>0.6,posyr>=0.65",False,-,1,1
opt_call_all_oi_signth_w20,2019+,False,-1,(auto),0.32,0.18,-0.14,0.437,0.299,-0.138,0.246,0.118,-0.128,0.625,0.5,-0.125,-0.088,-0.068,0.02,8,8,0,-1.442,-1.364,0.078,816,1211,395,150.21,150.21,0.0,7.006,4.525,-2.481,1860,1860,0,2,2,False,False,"SR_of_SR>0.6,posyr>=0.65","SR_of_SR>0.6,posyr>=0.65",False,-,1,1
opt_put_mo_oi_selftanh_w60,full,False,-1,o2o,0.254,0.036,-0.218,0.308,0.091,-0.217,0.311,0.053,-0.258,0.68,0.56,-0.12,0.086,0.106,0.02,25,25,0,-2.1,-2.142,-0.042,2362,5408,3046,41.43,41.43,0.0,2.877,-1.131,-4.008,5985,5985,0,3,2,False,False,"SR_of_SR>0.6,posyr>=0.65",SR_of_SR>0.6,True,posyr>=0.65:True→False,1,1
opt_put_mo_oi_selftanh_w60,2019+,False,-1,o2o,0.573,0.397,-0.176,0.609,0.434,-0.175,0.523,0.249,-0.274,0.75,0.75,0.0,0.087,0.122,0.035,8,8,0,-1.152,-1.938,-0.786,336,390,54,42.91,42.91,0.0,6.452,2.473,-3.979,1860,1860,0,3,3,False,False,SR_of_SR>0.6,SR_of_SR>0.6,False,-,1,1
tv_taiex_over_spy_chg_ratio_n60_pctw120,full,True,-1,c2c,0.41,0.424,0.014,0.48,0.493,0.013,0.534,0.551,0.017,0.68,0.68,0.0,-0.009,-0.012,-0.003,25,25,0,-0.991,-1.204,-0.213,1533,1688,155,44.18,44.18,0.0,5.409,5.632,0.223,5953,5953,0,3,3,False,False,SR_of_SR>0.6,SR_of_SR>0.6,False,-,1,1
tv_taiex_over_spy_chg_ratio_n60_pctw120,2019+,True,-1,c2c,0.618,0.618,0.0,0.665,0.664,-0.001,0.645,0.669,0.024,0.75,0.875,0.125,-0.021,-0.022,-0.001,8,8,0,-0.905,-0.954,-0.049,561,338,-223,41.72,41.72,0.0,7.957,7.988,0.031,1844,1844,0,4,4,True,True,-,-,False,-,1,1
us_log_ratio_pct_chg_w120,full,True,1,(auto),0.396,0.399,0.003,0.422,0.425,0.003,0.601,0.57,-0.031,0.8,0.76,-0.04,-0.103,-0.103,0.0,25,25,0,-1.412,-1.407,0.005,1876,1859,-17,21.71,21.71,0.0,7.782,8.231,0.449,6071,6071,0,4,3,True,False,SR_of_SR>0.6,-,True,SR_of_SR>0.6:True→False,1,1
