signal,sign,SR_gross,SR_net,cum_gross_pct,cum_net_pct,turnover_avg,held_pct,n_bars,SR_gross_oos,SR_net_oos,cum_net_pct_oos,n_bars_oos,oos_is_ratio
TXF_自營商_churn_chgskew60,-1,0.71,0.694,6.95,6.79,0.06821,73.7,583,3.982,3.977,23.77,114,5.608
TE_net_lots_外資div投信_ma60,1,1.027,1.022,39.7,39.48,0.10515,83.3,515,3.904,3.901,26.52,68,3.801
STF_自營商_oi_net_lots_chgskew20,1,0.714,0.708,27.06,26.86,0.08425,97.2,604,3.762,3.759,33.0,114,5.269
TF_投信_oi_net_lots_ma5,-1,0.732,0.729,30.33,30.24,0.03878,96.4,596,3.649,3.648,35.65,114,4.985
TF_外資_net_lots_chgskew120,1,0.713,0.707,5.97,5.92,0.02352,87.5,554,3.558,3.555,7.01,114,4.99
TF_投信_oi_net_lots_ma20,-1,0.715,0.713,29.77,29.69,0.03294,96.4,596,3.469,3.468,34.82,114,4.852
TE_oi_net_lots_外資div投信_ma5,1,0.723,0.717,26.28,26.06,0.09101,97.6,604,3.46,3.456,25.77,114,4.786
TXFdivMXF_投信_oi_net_lots_spot,1,0.574,0.567,19.51,19.27,0.09631,98.1,605,3.436,3.433,42.41,111,5.986
TE_外資_oi_net_lots_chgskew120,1,1.412,1.41,29.13,29.08,0.01875,89.1,554,3.417,3.416,38.52,114,2.42
TE_net_lots_投信div自營商_spot,-1,1.43,1.391,24.76,24.08,0.28321,94.2,594,3.415,3.395,21.38,114,2.388
TE_oi_net_lots_外資minus自營商_ma5,1,0.62,0.613,22.23,21.98,0.10106,97.6,604,3.384,3.378,22.99,114,5.458
TMF_自營商_oi_net_lots_chgskew120,-1,1.11,1.107,10.48,10.45,0.01128,46.8,288,3.25,3.249,14.93,114,2.928
TE_net_lots_外資div投信_ma20,1,1.127,1.118,34.61,34.32,0.13685,79.4,489,3.254,3.246,23.41,83,2.887
STF_自營商_oi_net_lots_chgskew120,1,1.476,1.475,53.9,53.88,0.0107,89.9,554,3.185,3.185,35.29,114,2.158
STF_外資_oi_net_lots_chgskew120,1,1.148,1.147,54.81,54.79,0.00811,89.9,554,3.151,3.151,44.06,114,2.745
MXF_oi_net_lots_外資div投信_ma60,1,0.939,0.937,41.41,41.31,0.04363,93.2,576,3.138,3.137,39.85,114,3.342
STF_自營商_oi_net_lots_lo,-1,0.91,0.902,12.43,12.32,0.04708,11.7,614,3.136,3.135,9.45,114,3.446
TF_投信_oi_net_lots_spot,-1,0.774,0.772,32.68,32.59,0.04061,96.4,596,3.13,3.129,30.11,114,4.044
TF_投信_oi_net_lots_chgskew60,-1,0.517,0.515,24.69,24.61,0.03343,93.8,584,3.112,3.111,41.85,114,6.019
STF_外資_oi_net_lots_chgskew60,1,1.017,1.016,48.27,48.22,0.02143,94.8,584,3.068,3.068,42.1,114,3.017
TMF_投信_net_lots_lo,-1,0.807,0.807,24.55,24.55,0.00162,46.9,348,3.064,3.064,45.0,114,3.797
TMF_投信_churn_hi,1,0.829,0.829,25.22,25.22,0.00162,46.8,348,3.064,3.064,45.0,114,3.696
TMF_投信_net_lots_hi,1,0.807,0.807,24.55,24.55,0.00162,46.9,348,3.064,3.064,45.0,114,3.797
TMF_投信_oi_net_lots_lo,-1,0.807,0.807,24.55,24.55,0.00162,46.9,348,3.064,3.064,45.0,114,3.797
TMF_投信_oi_net_lots_hi,1,0.807,0.807,24.55,24.55,0.00162,46.9,348,3.064,3.064,45.0,114,3.797
TF_投信_oi_net_lots_lo,-1,1.201,1.199,20.66,20.62,0.01461,19.2,614,3.064,3.064,45.0,114,2.551
TXF_外資_oi_net_lots_ma60,-1,0.704,0.703,32.15,32.09,0.02621,93.3,576,3.021,3.021,40.68,114,4.291
TE_net_lots_外資div自營商_ma60,-1,1.177,1.173,39.94,39.79,0.06379,93.2,576,2.988,2.986,34.76,114,2.539
MXF_外資_oi_net_lots_chgskew60,-1,0.533,0.528,8.13,8.05,0.03554,91.2,584,2.978,2.977,19.46,114,5.587
TXF_oi_net_lots_外資minus投信_ma60,-1,0.76,0.759,34.09,34.04,0.02265,93.5,576,2.895,2.895,40.04,114,3.809
TXF_投信_net_lots_spot,-1,0.7,0.665,26.69,25.38,0.54454,97.4,605,2.85,2.828,30.55,114,4.071
MXF_net_lots_外資div投信_ma5,-1,0.731,0.711,22.93,22.3,0.2618,95.9,600,2.824,2.812,27.34,114,3.863
MXFdivTMF_外資_net_lots_ma5,-1,0.61,0.593,8.85,8.6,0.11038,54.2,337,2.79,2.782,19.93,114,4.574
STF_自營商_oi_net_lots_chgskew60,1,1.211,1.21,46.96,46.9,0.02435,94.5,584,2.773,2.772,27.32,114,2.29
TMF_外資_oi_net_lots_chgskew60,-1,2.021,2.017,27.94,27.88,0.02695,51.1,318,2.725,2.724,37.77,114,1.348
TE_外資_oi_net_lots_chgskew60,1,1.21,1.206,27.9,27.82,0.03693,94.6,584,2.712,2.711,29.6,114,2.241
TMF_外資_oi_net_lots_chgskew120,-1,1.482,1.477,14.7,14.66,0.01955,46.8,288,2.705,2.705,38.27,114,1.825
STF_投信_oi_net_lots_chgskew120,-1,0.583,0.581,25.89,25.82,0.02915,89.9,554,2.7,2.7,31.36,114,4.631
