signal,sign,n_bars,start_date,end_date,cum_gross_pct,cum_net_pct,ann_ret_gross_pct,ann_ret_net_pct,SR_gross,SR_net,sortino,calmar,max_dd_pct,max_dd_days,beta,alpha_ann_pct,corr_bh,info_ratio,win_rate,profit_factor,win_loss_ratio,best_day_pct,worst_day_pct,ret_skew,ret_kurt,downside_dev_pct,yr_sr_min,yr_sr_max,yr_sr_mean,yr_sr_std,SR_of_SR,positive_years,n_years,held_pct,turnover_avg,turnover_ann,n_trades,tcost_pct_of_gross,n_bars_oos,start_date_oos,end_date_oos,cum_gross_pct_oos,cum_net_pct_oos,ann_ret_gross_pct_oos,ann_ret_net_pct_oos,SR_gross_oos,SR_net_oos,sortino_oos,calmar_oos,max_dd_pct_oos,max_dd_days_oos,beta_oos,alpha_ann_pct_oos,corr_bh_oos,info_ratio_oos,win_rate_oos,profit_factor_oos,win_loss_ratio_oos,best_day_pct_oos,worst_day_pct_oos,ret_skew_oos,ret_kurt_oos,downside_dev_pct_oos,yr_sr_min_oos,yr_sr_max_oos,yr_sr_mean_oos,yr_sr_std_oos,SR_of_SR_oos,positive_years_oos,n_years_oos,held_pct_oos,turnover_avg_oos,turnover_ann_oos,n_trades_oos,tcost_pct_of_gross_oos,oos_is_ratio
skew_otm10_front_xtreme240_norm60,1,1582,2013-01-04,2024-12-19,54.215,51.789,8.636,8.25,0.869,0.83,1.182,0.845,-9.76,253,-0.013,8.308,-0.023,0.817,0.506,1.222,1.189,9.635,-5.575,2.741,45.911,6.981,0.036,2.472,0.848,0.659,1.287,1.0,12,97.53,0.28092,70.79,964,4.47,126,2025-01-06,2025-12-05,4.667,4.547,9.334,9.095,0.92,0.897,1.35,1.182,-7.69,49,-0.01,9.517,-0.029,0.912,0.482,1.22,1.31,2.415,-2.807,0.805,6.417,6.735,,,,,,,1,88.89,0.25392,63.99,67,2.56,1.081
skew_otm10_front_xtreme240_norm120,1,1588,2013-01-04,2024-12-19,46.615,44.284,7.397,7.027,0.777,0.738,1.072,0.605,-11.61,270,-0.018,7.109,-0.033,0.722,0.5,1.197,1.189,9.68,-4.624,3.248,52.317,6.553,-0.532,2.479,0.761,0.731,1.041,0.833,12,98.99,0.26939,67.89,964,5.0,126,2025-01-06,2025-12-05,7.776,7.66,15.551,15.321,1.571,1.549,2.378,3.068,-4.99,49,0.031,14.01,0.094,1.562,0.455,1.428,1.714,2.399,-2.832,0.79,7.427,6.444,,,,,,,1,96.03,0.24485,61.7,77,1.48,2.099
skew_otm10_front_xtreme240_norm252,1,1588,2013-01-04,2024-12-19,43.081,40.872,6.837,6.486,0.727,0.69,1.003,0.472,-13.73,347,-0.042,6.674,-0.077,0.659,0.497,1.189,1.198,9.725,-4.48,3.476,56.142,6.469,-0.503,2.108,0.75,0.724,1.035,0.75,12,99.31,0.25439,64.11,943,5.13,126,2025-01-06,2025-12-05,12.837,12.729,25.673,25.458,2.176,2.159,2.576,4.233,-6.01,36,0.277,13.83,0.696,3.858,0.619,1.614,0.993,2.727,-2.858,0.11,5.649,9.882,,,,,,,1,100.0,0.23,57.96,68,0.84,3.129
total_call_all_oi_dev60_240_norm252,-1,2922,2013-01-02,2024-12-31,92.141,84.532,7.946,7.29,0.658,0.603,0.753,0.227,-32.15,584,0.128,5.869,0.178,0.591,0.525,1.131,1.022,6.983,-8.905,-0.316,20.044,9.685,-0.887,1.408,0.661,0.672,0.983,0.833,12,99.62,0.48008,120.98,2933,8.26,226,2025-01-02,2025-12-05,37.025,36.471,41.285,40.667,2.12,2.088,3.845,5.708,-7.13,56,-0.034,41.535,-0.046,2.039,0.531,1.541,1.36,8.081,-4.379,2.187,13.814,10.576,,,,,,,1,99.12,0.66177,166.77,226,1.5,3.463
total_call_all_oi_dev60_240_norm120,-1,2922,2013-01-02,2024-12-31,92.015,84.376,7.936,7.277,0.664,0.609,0.768,0.247,-29.49,587,0.111,6.039,0.157,0.6,0.523,1.131,1.031,6.413,-8.419,-0.294,16.565,9.481,-0.953,1.433,0.669,0.704,0.949,0.833,12,99.76,0.48201,121.47,2933,8.3,226,2025-01-02,2025-12-05,40.497,39.916,45.156,44.509,2.308,2.274,3.959,8.125,-5.48,50,0.07,42.736,0.094,2.409,0.531,1.608,1.421,8.933,-5.047,2.07,15.509,11.241,,,,,,,1,100.0,0.69401,174.89,226,1.43,3.734
total_put_monthly_oi_ma5_rank240_norm60,-1,2922,2013-01-02,2024-12-31,99.655,96.883,8.594,8.355,0.778,0.756,1.017,0.54,-15.48,440,0.006,8.284,0.01,0.757,0.508,1.158,1.123,4.954,-5.408,-0.009,7.397,8.219,-0.571,1.657,0.676,0.73,0.926,0.833,12,99.21,0.17241,43.45,2933,2.78,226,2025-01-02,2025-12-05,19.8,19.639,22.078,21.898,1.583,1.57,2.492,3.409,-6.42,73,-0.085,24.041,-0.159,1.488,0.547,1.335,1.107,4.333,-2.976,0.683,3.839,8.787,,,,,,,1,99.56,0.19208,48.4,226,0.82,2.077
total_call_monthly_oi_rank240,-1,2922,2013-01-02,2024-12-31,100.543,97.455,8.671,8.405,0.777,0.754,0.853,0.253,-33.18,559,0.289,5.198,0.435,0.825,0.531,1.182,1.042,6.21,-9.702,-1.328,30.71,9.847,-0.752,2.452,0.874,0.967,0.905,0.833,12,98.94,0.19557,49.28,2863,3.07,226,2025-01-02,2025-12-05,7.794,7.591,8.69,8.464,0.47,0.458,0.583,0.343,-24.67,192,0.442,-2.671,0.622,-0.383,0.529,1.116,0.993,9.294,-5.346,1.427,21.766,14.51,,,,,,,1,98.67,0.24126,60.8,221,2.6,0.607
skew_otm10_front_xtreme240_norm504,1,1588,2013-01-04,2024-12-19,40.732,38.605,6.464,6.126,0.72,0.682,0.992,0.377,-16.27,630,-0.1,6.578,-0.194,0.613,0.506,1.199,1.165,9.759,-3.247,4.174,66.326,6.176,-0.527,2.383,0.774,0.877,0.883,0.833,12,96.54,0.24386,61.45,957,5.22,126,2025-01-06,2025-12-05,13.512,13.405,27.024,26.809,2.466,2.448,3.049,5.707,-4.7,36,0.239,16.801,0.645,4.318,0.619,1.706,1.05,2.41,-2.854,0.249,5.639,8.793,,,,,,,1,100.0,0.22909,57.73,62,0.79,3.589
total_call_monthly_volume_chgskew60_norm504,-1,2922,2013-01-02,2024-12-31,71.279,70.414,6.147,6.073,0.644,0.636,0.832,0.335,-18.14,509,0.237,3.44,0.417,0.618,0.527,1.132,1.015,5.431,-4.866,0.174,9.23,7.297,-0.449,2.009,0.596,0.704,0.847,0.667,12,99.35,0.05283,13.31,2933,1.21,226,2025-01-02,2025-12-05,6.125,6.06,6.83,6.757,0.533,0.528,0.659,0.433,-15.61,158,0.233,0.9,0.472,0.133,0.535,1.098,0.953,3.199,-3.548,-0.676,3.991,10.252,,,,,,,1,100.0,0.07805,19.67,226,1.07,0.83
total_call_all_oi_dev60_240_norm60,-1,2922,2013-01-02,2024-12-31,83.487,75.785,7.2,6.536,0.603,0.548,0.689,0.241,-27.1,504,0.098,5.449,0.138,0.53,0.516,1.116,1.045,6.006,-7.965,-0.354,15.482,9.484,-0.83,1.499,0.624,0.744,0.839,0.833,12,99.66,0.48597,122.47,2933,9.22,226,2025-01-02,2025-12-05,38.265,37.658,42.668,41.991,2.257,2.221,3.832,6.688,-6.28,50,0.049,40.764,0.067,2.311,0.524,1.586,1.438,8.484,-4.865,1.996,14.938,10.957,,,,,,,1,99.56,0.72676,183.14,226,1.59,4.053
